GenContext.norep	Lineage.final	count
<-Phage_holin_4_2<-PspC+TM(s)<-PspC+Toast-rack*<-Toast-rack*	bacteria>firmicutes	8
<-SIG+Toast-rack*<-?<-ABC-ATPase	bacteria>firmicutes	8
Toast-rack*->SIG+PADR-HTH-><-?<-?<-ADH_N+ADH_zinc_N	bacteria>actinobacteria	8
<-SIG+TM(s)<-ABC-ATPase<-Toast-rack*	bacteria>actinobacteria	7
SIG+PADR-HTH->DUF1700-alpha-helical+TM(s)->SIG+Toast-rack*->adh_short->	bacteria>firmicutes	7
<-Phage_holin_4_2<-PspC+TM(s)<-Toast-rack*<-?<-ABC-ATPase(s)<-RNA-Helicase+A18	bacteria>firmicutes	6
<-SIG+TM(s)<-ABC-ATPase<-Toast-rack*<-TraJ-RHH	bacteria>actinobacteria	6
ADH_N+ADH_zinc_N->?->?-><-SIG+PADR-HTH<-Toast-rack*	bacteria>actinobacteria	6
Amidohydro_1->G->?-><-SIG+LTD+IG+Calcineurin<-Phage_holin_4_2<-PspC+TM(s)<-Toast-rack*	bacteria>firmicutes	6
LiaI-LiaF-TM+Toast-rack*->	bacteria>firmicutes	6
SIG+PADR-HTH->DUF1700-alpha-helical+TM(s)->SIG+Toast-rack*->Acetyltransf_7->	bacteria>firmicutes	6
SIG+TM+HISKIN-LiaS-like->REC+LYTTR->SIG+Toast-rack*->	bacteria>actinobacteria	6
SIG+Toast-rack*->	archaea>euryarchaeota	6
SIG+Toast-rack*->	bacteria>proteobacteria>gammaproteobacteria	6
Toast-rack*->?->Phage_holin_4_2->	bacteria>firmicutes	6
TraJ-RHH->Toast-rack*->	bacteria>actinobacteria	6
<-LiaI-LiaF-TM(s)+Toast-rack*<-?<-?<-?<-?<-Amidase<-Glu-tRNAGln	bacteria>firmicutes	5
<-SIG+Toast-rack*	archaea>euryarchaeota	5
<-SIG+Toast-rack*	bacteria>proteobacteria>deltaproteobacteria	5
<-SIG+Toast-rack*<-?<-?<-ABC-ATPase<-SIG+TM+HAMP+HISKIN<-REC+LYTTR	bacteria>firmicutes	5
<-SIG+Toast-rack*<-ABC-ATPase(s)<-RNA-Helicase+A18	bacteria>firmicutes	5
LiaI-LiaF-TM->PspA->SIG+Toast-rack*->LiaI-LiaF-TM+Toast-rack*->SIG+TM+HAMP+HISKIN-LiaS-like->REC+LYTTR->	bacteria>firmicutes	5
LiaI-LiaF-TM+Toast-rack*-><-Aldo_ket_red	bacteria>firmicutes	5
<-BPL_LplA_LipB+Lip_prot_lig_C<-DUF1700-alpha-helical+Toast-rack*<-SIG+PADR-HTH	bacteria>firmicutes	4
<-DUF1700-alpha-helical+Toast-rack*<-SIG+PADR-HTH	bacteria>firmicutes	4
<-SIG+Toast-rack*	eukaryota>metazoa	4
<-Thy1||TraJ-RHH->Toast-rack*->	bacteria>actinobacteria	4
<-Toast-rack*	eukaryota>metazoa	4
<-Toast-rack*<-SIG+PADR-HTH	bacteria>firmicutes	4
<-Toast-rack*<-TraJ-RHH||Thy1->	bacteria>actinobacteria	4
ABC-ATPase->?->SIG+Toast-rack*->	bacteria>firmicutes	4
REC+LYTTR->SIG+TM+HAMP+HISKIN->ABC-ATPase->?->?->SIG+Toast-rack*->	bacteria>firmicutes	4
SIG+PADR-HTH->DUF1700-alpha-helical+TM(s)->SIG+Toast-rack*-><-LexA-HTH+Peptidase_S24	bacteria>firmicutes	4
SIG+PADR-HTH->Toast-rack*->PspC+TM(s)-><-?||?-><-MacB_PCD+FtsX<-ABC-ATPase	bacteria>firmicutes	4
SIGMA-HTH->?->SIG+Toast-rack*->DnaB+DnaB_C->	bacteria>proteobacteria>gammaproteobacteria	4
TM+Toast-rack*->	eukaryota>fungi	4
Toast-rack*->?-><-PRK	bacteria>firmicutes	4
<-DUF362<-SIG+Toast-rack*<-SIG+TM(s)<-ABC-ATPase	archaea>euryarchaeota	3
<-Phage_holin_4_2<-PspC+TM(s)<-Toast-rack*<-ABC-ATPase(s)<-RNA-Helicase+A18	bacteria>firmicutes	3
<-Phage_holin_4_2<-Toast-rack*	bacteria>firmicutes	3
<-PspC+TM(s)<-?<-Toast-rack*<-SIG+PADR-HTH	bacteria>firmicutes	3
<-REC+LYTTR<-SIG+Toast-rack*	bacteria>firmicutes	3
<-SIG+Toast-rack*	eukaryota>fungi	3
<-SIG+Toast-rack*<-SIG+TM(s)<-SIG+TM(s)	bacteria>proteobacteria>alphaproteobacteria	3
<-SIG+Toast-rack*<-SIG+Toast-rack*	bacteria>fcb group	3
<-TM(s)+LiaI-LiaF-TM(s)+Toast-rack*	bacteria>firmicutes	3
<-Toast-rack*	bacteria>other unclassified bacteria	3
<-Toast-rack*<-ABC-ATPase(s)<-RNA-Helicase+A18	bacteria>firmicutes	3
Abhydrolase_1-><-SIG+Toast-rack*	bacteria>firmicutes	3
ADH_N+ADH_zinc_N-><-SIG+PADR-HTH<-Toast-rack*	bacteria>actinobacteria	3
Aldo_ket_red->SIG+Toast-rack*->	archaea>others	3
BirA-HTH-><-PspC+TM(s)<-PspC+TM(s)<-SIG+Toast-rack*	bacteria>firmicutes	3
SIG+Beta-lactamase->Toast-rack*->SIG+PADR-HTH->	bacteria>actinobacteria	3
SIG+TM+HISKIN-LiaS-like->REC+LYTTR->TM+Toast-rack*->	bacteria>actinobacteria	3
SIG+Toast-rack*->	bacteria>pvc group	3
SIGMA-HTH->?->?->LiaI-LiaF-TM+Toast-rack*->	bacteria>firmicutes	3
SIGMA-HTH->?->SIG+Toast-rack*-><-MODE-HTH+PBPII	bacteria>proteobacteria>gammaproteobacteria	3
SIGMA-HTH->SIG+Toast-rack*->SIG+Bactofilin+TM(s)->	bacteria>fcb group	3
SIGMA-HTH->ZnF+TM+HEAT_2->SIG+Toast-rack*->SIG+Toast-rack*->	bacteria>fcb group	3
Toast-rack*->	archaea>euryarchaeota	3
Toast-rack*->	eukaryota>metazoa	3
ZNR+DUF2089-HTH->Toast-rack*->	bacteria>firmicutes	3
<-Adenine_glyco<-SIG+TM(s)<-SIG+Toast-rack*<-DUF1700-alpha-helical+TM(s)<-SIG+PADR-HTH||PspC+TM(s)->	bacteria>firmicutes	2
<-DnaB+DnaB_C<-SIG+Toast-rack*<-?<-SIGMA-HTH	bacteria>proteobacteria>gammaproteobacteria	2
<-DUF1700-alpha-helical+Toast-rack*	bacteria>firmicutes	2
<-LiaI-LiaF-TM(s)+Toast-rack*	bacteria>firmicutes	2
<-LiaI-LiaF-TM+Toast-rack*<-?<-?<-SIGMA-HTH	bacteria>firmicutes	2
<-MFS_1+TM(s)<-SIG+Toast-rack*	bacteria>actinobacteria	2
<-Phage_holin_4_2<-?<-PspC+TM(s)<-Toast-rack*	bacteria>firmicutes	2
<-Phage_holin_4_2<-PspC+TM(s)<-Toast-rack*<-?<-ABC-ATPase<-ABC-ATPase<-?<-?<-SIG+PBP_like_2	bacteria>firmicutes	2
<-REC+LYTTR<-SIG+TM+HISKIN-LiaS-like||ABC-ATPase->?-><-SIG+TM(s)<-ABC-ATPase<-Toast-rack*<-TraJ-RHH	bacteria>actinobacteria	2
<-SIG+TM(s)+Toast-rack*	eukaryota>sar>stramenopiles	2
<-SIG+Toast-rack*	bacteria>acidobacteria	2
<-SIG+Toast-rack*	bacteria>chloroflexi	2
<-SIG+Toast-rack*	eukaryota>sar>stramenopiles	2
<-SIG+Toast-rack*||Cluster539_2clades->	bacteria>firmicutes	2
<-SIG+Toast-rack*<-?<-?<-PspA	bacteria>spirochaetes	2
<-SIG+Toast-rack*<-?<-SIGMA-HTH||?->?-><-?<-?||DUF45->	bacteria>proteobacteria>gammaproteobacteria	2
<-SIG+Toast-rack*<-REC+LYTTR<-SIG+TM+HISKIN-LiaS-like	bacteria>actinobacteria	2
<-SIG+Toast-rack*<-SIG+Toast-rack*<-ZnF+TM+HEAT_2<-SIGMA-HTH	bacteria>fcb group	2
<-SNO<-SOR_SNZ+ThiG||SIG+Aminotran_1_2->?->SIG+PADR-HTH->Toast-rack*->PspC+TM(s)-><-DNA_topoisoIV+DNA_gyraseA_C(s)<-HATPase_c+DNA_gyraseB+Toprim+DNA_gyraseB_C<-?<-?<-DNA_pol3_beta+DNA_pol3_beta_2+DNA_pol3_beta_3	bacteria>firmicutes	2
<-TM(s)+LiaI-LiaF-TM(s)+Toast-rack*<-?<-?<-Amidase<-Glu-tRNAGln	bacteria>firmicutes	2
<-TM+Toast-rack*<-REC+LYTTR<-SIG+TM+HISKIN-LiaS-like	bacteria>actinobacteria	2
<-Toast-rack*	archaea>tack group	2
<-Toast-rack*	bacteria>deinococcus-thermus	2
<-Toast-rack*	eukaryota>fungi	2
<-Toast-rack*<-?<-?<-?<-?<-?<-HTH_3	bacteria>firmicutes	2
<-Toast-rack*<-DUF2089-HTH<-ZNR+DUF2089-HTH	bacteria>chloroflexi	2
<-Toast-rack*<-SIG+Toast-rack*<-ZnF+TM+HEAT_2<-SIGMA-HTH	bacteria>fcb group	2
<-Toast-rack*<-SIG+YibE_F<-SIG+YibE_F	bacteria>firmicutes	2
ABC-ATPase->?->SIG+Toast-rack*->	bacteria>actinobacteria	2
ABC-ATPase->SIG+TM(s)->SIG+Toast-rack*->	bacteria>firmicutes	2
Aldedh->Acetate_kinase->SIG+PADR-HTH->DUF1700-alpha-helical+TM(s)->SIG+Toast-rack*->	bacteria>firmicutes	2
Aldose_epim-><-SIG+Toast-rack*<-DUF1700-alpha-helical+TM(s)<-SIG+PADR-HTH	bacteria>firmicutes	2
CN_hydrolase+NAD_synthase-><-SIG+Toast-rack*	bacteria>firmicutes	2
Cob_adeno_trans-><-SIG+TM(s)<-Toast-rack*<-SIG+TM(s)<-HTH	archaea>euryarchaeota	2
GreA_GreB_N+GreA_GreB-><-?<-?<-Smr<-?||?-><-SIG+Toast-rack*	bacteria>proteobacteria>gammaproteobacteria	2
HTH->SIG+TM(s)->Toast-rack*->SIG+TM(s)->	archaea>euryarchaeota	2
MFS_1+TM-><-Phage_holin_4_2<-PspC+TM(s)<-Toast-rack*	bacteria>firmicutes	2
REC+LYTTR->SIG+TM+HAMP+HISKIN-><-SIG+Toast-rack*<-DUF1700-alpha-helical+TM(s)<-SIG+PADR-HTH	bacteria>firmicutes	2
RNA-Helicase+A18->ABC-ATPase(s)->?->PIG-L->Toast-rack*->Phage_holin_4_2->	bacteria>firmicutes	2
RNA-Helicase+A18->ABC-ATPase(s)->?->Toast-rack*->Phage_holin_4_2->	bacteria>firmicutes	2
RNA-Helicase+A18->ABC-ATPase(s)->Toast-rack*->PspC+TM(s)->Phage_holin_4_2->	bacteria>firmicutes	2
SIG+PADR-HTH->DUF1700-alpha-helical+TM(s)->SIG+Toast-rack*->ABC-ATPase->	bacteria>firmicutes	2
SIG+PADR-HTH->DUF1700-alpha-helical+TM(s)->SIG+Toast-rack*->Acetyltransf_7-><-?<-?<-?||?->SIG+TM(s)+ABC-ATPase->SIG+TM(s)+ABC-ATPase->	bacteria>firmicutes	2
SIG+PADR-HTH->DUF1700-alpha-helical+TM(s)->SIG+Toast-rack*->PspC+TM(s)->	bacteria>firmicutes	2
SIG+TM(s)+Toast-rack*->	eukaryota>sar>stramenopiles	2
SIG+Toast-rack*->	eukaryota>fungi	2
SIG+Toast-rack*->	eukaryota>sar>stramenopiles	2
SIG+Toast-rack*-><-CN_hydrolase+NAD_synthase	bacteria>firmicutes	2
SIG+Toast-rack*-><-Dus	bacteria>fcb group	2
SIG+Toast-rack*->SIG+Toast-rack*->	bacteria>actinobacteria	2
SIG+Toast-rack*->SIG+Toast-rack*->	bacteria>fcb group	2
SIGMA-HTH->?->SIG+Toast-rack*->	bacteria>fcb group	2
SIGMA-HTH->?->SIG+Toast-rack*->DnaB+DnaB_C->?-><-?||?->NMN_transporter->	bacteria>proteobacteria>gammaproteobacteria	2
SIGMA-HTH->zf-HC2+TM->SIG+Toast-rack*->	bacteria>fcb group	2
Toast-rack*->	bacteria>deinococcus-thermus	2
Toast-rack*->	bacteria>other unclassified bacteria	2
Toast-rack*-><-SIG+DHO_dh<-?<-Smr<-?||THF_DHG_CYH+THF_DHG_CYH_C->	bacteria>proteobacteria>deltaproteobacteria	2
Toast-rack*->Phage_holin_4_2->	bacteria>firmicutes	2
Toast-rack*->PspC+TM(s)->?->Phage_holin_4_2->	bacteria>firmicutes	2
Toast-rack*->PspC+TM(s)->Phage_holin_4_2->SIG+LTD+IG+Calcineurin-><-?<-G<-Amidohydro_1	bacteria>firmicutes	2
Toast-rack*->SIG+PADR-HTH-><-?<-?<-?||?-><-?<-ADH_N+ADH_zinc_N	bacteria>actinobacteria	2
TraJ-RHH->Toast-rack*-><-?<-ABC-ATPase<-?||?->?->ENOYCOADEHYD->	bacteria>actinobacteria	2
TraJ-RHH->Toast-rack*->ABC-ATPase->SIG+TM(s)->p450->	bacteria>actinobacteria	2
TraJ-RHH->Toast-rack*->p450->	bacteria>actinobacteria	2
<-AAA+AAA_assoc_2+MgsA_C||?->tRNA->?->SurE-><-?||?-><-?<-SIG+Toast-rack*	bacteria>other unclassified bacteria	1
<-ABC-ATPase<-?<-SIG+Toast-rack*<-?<-ABC-ATPase<-GNTR-HTH	bacteria>firmicutes	1
<-ABC-ATPase<-?<-SIG+Toast-rack*<-DUF1700-alpha-helical+TM(s)<-SIG+PADR-HTH	bacteria>firmicutes	1
<-ABC-ATPase<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-SIG+Toast-rack*<-ABC-ATPase	bacteria>acidobacteria	1
<-ABC-ATPase<-SIG+PADR-HTH||?-><-Toast-rack*	archaea>tack group	1
<-Acyl-CoA_dh_N+Acyl-CoA_dh_M+Acyl-CoA_dh_1||SIG+Toast-rack*->	eukaryota>archaeplastida>viridiplantae>chlorophyta	1
<-ADH_N+ADH_zinc_N<-?<-HI0933_like<-?<-GreA_GreB_N+GreA_GreB||SIG+Toast-rack*->SIG+Toast-rack*-><-?||?->?->?->?-><-SIG+Acetyltransf_1	bacteria>proteobacteria>alphaproteobacteria	1
<-adh_short||TraJ-RHH->Toast-rack*->	bacteria>actinobacteria	1
<-adh_short<-SIG+Toast-rack*	bacteria>proteobacteria>gammaproteobacteria	1
<-AIRS+AIRS_C+AIRS+AIRS_C||?->?->SIG+Toast-rack*->	bacteria>other unclassified bacteria	1
<-AlaDh_PNT_N+AlaDh_PNT_C<-?<-Cluster1104_2clades<-HTH_24+ROK<-SIG+GFO_IDH_MocA<-?<-SIG+Toast-rack*<-PNTB<-PNTB_4TM<-AlaDh_PNT_N+AlaDh_PNT_C	bacteria>other unclassified bacteria	1
<-AraC-HTH(s)||?->?-><-SIG+PADR-HTH<-Toast-rack*<-?||?-><-T2SSE	bacteria>actinobacteria	1
<-Asp_Glu_race||Cob_adeno_trans-><-?<-?<-SIG+TM(s)<-Toast-rack*	archaea>euryarchaeota	1
<-Asp_Glu_race||Cob_adeno_trans-><-SIG+TM(s)<-SIG+TM(s)<-Toast-rack*<-?<-SIG+TM(s)<-HTH	archaea>euryarchaeota	1
<-CN_hydrolase+NAD_synthase<-SIG+Toast-rack*	bacteria>other unclassified bacteria	1
<-COesterase<-?<-SIG+Toast-rack*<-?||HTH_24+ROK->?->Lyase_1+ASL_C2->	bacteria>acidobacteria	1
<-Cys_Met_Meta_PP||?->REC+LYTTR->SIG+TM+HAMP+HISKIN-><-ZNR+DUF2089-HTH<-?<-DUF2089-HTH<-Toast-rack*<-?<-?<-?<-?||Arginase->?-><-ATP-grasp	bacteria>deinococcus-thermus	1
<-DAGK_cat<-?<-PTPS<-?<-SIGMA-HTH<-SIG+Toast-rack*<-PspC+TM(s)<-PspC+TM(s)	bacteria>firmicutes	1
<-DNA_ligase_A_N+DNA_ligase_A_M+DNA_ligase_A_C||?->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->TM+Toast-rack*->CstA+CstA_5TM+TM->	bacteria>actinobacteria	1
<-DNA_photolyase+FAD_binding_7||?->TraJ-RHH->Toast-rack*-><-?<-?||SIGMA-HTH->?->?->?->?->?->DUF1707-SHOCT-bihelical+Toast-rack*-><-?||Peptidase_M24->	bacteria>actinobacteria	1
<-DUF1700-alpha-helical+TM(s)<-SIG+PADR-HTH<-SIG+Toast-rack*	bacteria>thermotogae	1
<-DUF2089-HTH+Toast-rack*<-?<-DUF2089-HTH<-Toast-rack*	bacteria>other unclassified bacteria	1
<-DUF2089-HTH<-Toast-rack*<-ZNR+DUF2089-HTH	bacteria>fcb group	1
<-DUF2252<-RNA-Helicase+A18||His_Phos_1->?-><-?<-SIG+Toast-rack*<-SIG+BLBD<-?<-LexA-HTH+Peptidase_S24	bacteria>acidobacteria	1
<-DUF520<-Toast-rack*	bacteria>pvc group	1
<-Dus||HSP33-><-SIG+Toast-rack*<-DUF1700-alpha-helical+TM(s)<-SIG+PADR-HTH<-Maf||?->Pribosyltran->SIG+TM+AAA+Peptidase_M41->	bacteria>tenericutes	1
<-Dus<-?||?-><-TM+Toast-rack*	bacteria>chloroflexi	1
<-Dus<-SIG+Toast-rack(s)*<-DUF1700-alpha-helical+TM(s)<-SIG+PADR-HTH	bacteria>firmicutes	1
<-EPSP_synthase<-PDH||?->SIG+PADR-HTH->DUF1700-alpha-helical+Toast-rack*->Peptidase_M32->?->THF_DHG_CYH+THF_DHG_CYH_C->Lyase_1+ADSL_C->	bacteria>tenericutes	1
<-FAA_hydrolase||?-><-?<-adh_short||TetR_N-><-?<-Toast-rack*<-TraJ-RHH<-?<-SIGMA-HTH	bacteria>actinobacteria	1
<-Fer2_3+Fer2_2<-?<-?<-?<-?||?->?-><-SIG+Toast-rack*	bacteria>firmicutes	1
<-Fer2_3+Fer4_8||Glyco_tran_WecB->Cob_adeno_trans->?->PGK->?-><-EVE<-Toast-rack*<-ZNR+DUF2089-HTH	bacteria>armatimonadetes	1
<-Flavoprotein+DFP||?-><-?<-?||Toast-rack*-><-?<-?<-?<-?<-?<-?<-SIG+SBP_bac_8	bacteria>firmicutes	1
<-GATase_5<-PurS||?->TraJ-RHH->Toast-rack*->ABC-ATPase->SIG+TM(s)-><-?<-?<-SIG+HTH_11+WYL||ABC-ATPase->SIG+TM(s)->	bacteria>actinobacteria	1
<-GFA<-?||SIG+tRNA_U5-meth_tr->?-><-?||ADH_N+ADH_zinc_N->SIG+Toast-rack*-><-?<-UDG<-?<-?<-SIG+CDP-OH_P_transf+TM(s)	bacteria>actinobacteria	1
<-Glyco_hydro_1<-MarR||?-><-SIG+PADR-HTH<-Toast-rack*||?->SIG+Toast-rack*->	bacteria>actinobacteria	1
<-Glyoxalase||?->TraJ-RHH->Toast-rack*->	bacteria>actinobacteria	1
<-Glyoxalase<-YbjQ_1<-?||?->?->NDK-><-LiaI-LiaF-TM(s)+Toast-rack*<-TM+LiaI-LiaF-TM<-?<-SIGMA-HTH	bacteria>acidobacteria	1
<-GTP-bdg_N+GTP-bdg_M+MMR_HSR1||?->SIG+Toast-rack*-><-?<-SIG+PPK2	archaea>others	1
<-HAD_2||?-><-?<-Toast-rack*	bacteria>firmicutes	1
<-Isochorismatase||SIG+PADR-HTH->DUF1700-alpha-helical+TM(s)->SIG+Toast-rack(s)*->	bacteria>firmicutes	1
<-LACI-HTH+PBPI<-SIG+Toast-rack*<-DUF1700-alpha-helical+TM(s)<-SIG+PADR-HTH	bacteria>firmicutes	1
<-LiaI-LiaF-TM(s)+Toast-rack*<-TM+LiaI-LiaF-TM<-?<-SIGMA-HTH	bacteria>acidobacteria	1
<-LiaI-LiaF-TM+Toast-rack*	bacteria>firmicutes	1
<-LiaI-LiaF-TM+Toast-rack*<-?<-?<-Amidase<-Glu-tRNAGln	bacteria>firmicutes	1
<-LiaI-LiaF-TM+Toast-rack*<-LiaI-LiaF-TM<-BBOX+TM(s)+LiaI-LiaF-TM<-?<-SIGMA-HTH||?->ATP-cone->	bacteria>acidobacteria	1
<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-?<-SIG+Toast-rack*	bacteria>fcb group	1
<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-?<-?<-SIG+Toast-rack*	bacteria>pvc group	1
<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-SIG+Toast-rack*||?-><-?<-FAD_binding_4+FAD-oxidase_C	bacteria>fcb group	1
<-MacB_PCD+FtsX<-ABC-ATPase<-?<-?<-?<-?<-Toast-rack*<-?<-ZNR+DUF2089-HTH	bacteria>thermotogae	1
<-MacB_PCD+FtsX<-ABC-ATPase<-?<-?<-?<-?<-Toast-rack*<-?<-ZNR+DUF2089-HTH||?->?->Cation_efflux+ZT_dimer->Acetyltransf_3->	bacteria>thermotogae	1
<-MerR-HTH||Toast-rack*->SIG+PADR-HTH->	bacteria>actinobacteria	1
<-MerR-HTH<-?||SIG+Toast-rack*-><-?<-Ldh_1_N+Ldh_1_C	bacteria>firmicutes	1
<-MODE-HTH+PBPII||?->AP_endonuc_2->SIG+Toast-rack*->	bacteria>firmicutes	1
<-MODE-HTH+PBPII||?->SIG+Toast-rack(s)*->	bacteria>proteobacteria>betaproteobacteria	1
<-NAD_binding_10<-?||SIG+PADR-HTH->DUF1700-alpha-helical+ZetaToxin+Toast-rack*->YbjQ_1->	bacteria>firmicutes	1
<-NifU_N<-Aldedh<-Endonuclease_5||?->ZNR+DUF2089-HTH->?->Toast-rack+DUF2089-HTH*->?-><-PDT	bacteria>thermobaculum	1
<-NTP_transferase<-NAD_Gly3P_dh_N+NAD_Gly3P_dh_C<-?<-?<-Phage_holin_4_2<-PspC+TM(s)<-Toast-rack*	bacteria>firmicutes	1
<-ParBc<-AAA_31<-GidB<-?<-?<-ZNR+DUF2089-HTH<-?<-Toast-rack*	bacteria>deinococcus-thermus	1
<-Phage_holin_4_2<-DUF2089-HTH<-Toast-rack*<-ZNR+DUF2089-HTH	bacteria>firmicutes	1
<-Phage_holin_4_2<-PSE<-Toast-rack*	bacteria>firmicutes	1
<-Phage_holin_4_2<-PspC+TM(s)<-PspC+TM(s)<-Toast-rack*<-?<-?<-ABC-ATPase(s)	bacteria>firmicutes	1
<-Phage_holin_4_2<-Toast-rack*<-?<-ABC-ATPase(s)<-RNA-Helicase+A18	bacteria>firmicutes	1
<-Phage_holin_4_2<-Toast-rack*<-PIG-L	bacteria>firmicutes	1
<-PhyH<-SIG+Toast-rack*	bacteria>other unclassified bacteria	1
<-PIG-L<-?||TraJ-RHH->Toast-rack*->ABC-ATPase->SIG+TM(s)->	bacteria>actinobacteria	1
<-PspC+TM(s)<-PspC+TM(s)<-?<-SIG+Toast-rack*<-?<-SIGMA-HTH	bacteria>caldiserica	1
<-PspC+TM(s)<-SIG+Toast-rack*	bacteria>firmicutes	1
<-PspC+TM(s)<-SIG+Toast-rack*<-DUF1700-alpha-helical+TM(s)<-SIG+PADR-HTH	bacteria>firmicutes	1
<-PspC+TM(s)<-Toast-rack*<-SIG+PADR-HTH	bacteria>firmicutes	1
<-PTA_PTB<-?<-?||?-><-PspC+TM(s)<-Toast-rack*<-SIG+PADR-HTH	bacteria>firmicutes	1
<-Radical_SAM||OsmC->?-><-?<-SIG+TM+Toast-rack*<-PspC+TM(s)<-PspC+TM(s)	archaea>euryarchaeota	1
<-REC+LYTTR||TraJ-RHH->?->?->Toast-rack*->ABC-ATPase->SIG+TM(s)->	bacteria>actinobacteria	1
<-REC+LYTTR<-?<-?<-Toast-rack*	bacteria>actinobacteria	1
<-REC+LYTTR<-SIG+TM+HAMP+HISKIN-LiaS-like<-LiaI-LiaF-TM+Toast-rack*<-SIG+Toast-rack*<-PspA<-LiaI-LiaF-TM	bacteria>firmicutes	1
<-REC+LYTTR<-SIG+Toast-rack*<-SIG+TM+HISKIN-LiaS-like<-?<-?<-?<-SIG+PADR-HTH	bacteria>deinococcus-thermus	1
<-REC+NtrC-AAA+FIS-HTH||PspA->?->?->SIG+Toast-rack*->SIG+TM(s)->ABC-ATPase->	bacteria>proteobacteria>alphaproteobacteria	1
<-RecG_wedge+DEAD+Helicase_C<-SIG+Toast-rack*	bacteria>actinobacteria	1
<-Response_reg+PAS_9+HisKA+HATPase_c<-?<-Toast-rack*	bacteria>actinobacteria	1
<-Rhodanese(s)||SufE-><-ZNR+DUF2089-HTH<-?<-Toast-rack*	bacteria>deinococcus-thermus	1
<-RNA-Helicase+A18||?->?-><-?<-SIG+Toast-rack*<-SIG+BLBD<-LexA-HTH+Peptidase_S24	bacteria>acidobacteria	1
<-RuvX||SIG+YceG->?->?->SIG+Toast-rack*->	bacteria>acidobacteria	1
<-SIG+Aminotran_1_2||?->Toast-rack*->SIG+PADR-HTH-><-MerR-HTH||?->?->?->SIG+DoxX+TM->	bacteria>actinobacteria	1
<-SIG+Aminotran_1_2<-?<-SIG+Toast-rack*	archaea>euryarchaeota	1
<-SIG+Bactofilin+TM(s)<-SIG+Toast-rack*	bacteria>fcb group	1
<-SIG+Bactofilin+TM(s)<-SIG+Toast-rack*	bacteria>other unclassified bacteria	1
