GenContext.norep	Lineage.final	count
<-SIG+Toast-rack*<-DUF1700-alpha-helical+TM(s)<-SIG+PADR-HTH	bacteria>firmicutes	40
SIG+PADR-HTH->DUF1700-alpha-helical+TM(s)->SIG+Toast-rack*->	bacteria>firmicutes	33
<-SIG+Toast-rack*<-?<-SIGMA-HTH	bacteria>proteobacteria>gammaproteobacteria	30
SIG+Toast-rack*->	bacteria>actinobacteria	27
<-SIG+Toast-rack*	bacteria>actinobacteria	26
DUF1700-alpha-helical+TM(s)->SIG+Toast-rack*->	bacteria>firmicutes	24
SIG+Toast-rack*->	bacteria>firmicutes	24
<-SIG+Toast-rack*	bacteria>firmicutes	21
<-SIG+PADR-HTH<-Toast-rack*	bacteria>actinobacteria	20
SIGMA-HTH->?->SIG+Toast-rack*->	bacteria>proteobacteria>gammaproteobacteria	20
<-SIG+Toast-rack*<-DUF1700-alpha-helical+TM(s)	bacteria>firmicutes	19
Toast-rack*->SIG+PADR-HTH->	bacteria>actinobacteria	19
<-Toast-rack*	bacteria>actinobacteria	18
SIG+Toast-rack*->	bacteria>fcb group	18
<-SIG+Toast-rack*	bacteria>proteobacteria>gammaproteobacteria	17
Toast-rack*->	bacteria>firmicutes	16
LexA-HTH+Peptidase_S24-><-SIG+Toast-rack*<-DUF1700-alpha-helical+TM(s)<-SIG+PADR-HTH	bacteria>firmicutes	14
SIG+Toast-rack*->	bacteria>other unclassified bacteria	14
GNTR-HTH->ABC-ATPase->SIG+TM(s)->SIG+Toast-rack*->	bacteria>proteobacteria>gammaproteobacteria	13
<-Phage_holin_4_2<-PspC+TM(s)<-Toast-rack*	bacteria>firmicutes	12
<-SIG+Toast-rack*	bacteria>fcb group	12
<-Toast-rack*	bacteria>firmicutes	12
SIG+PADR-HTH->DUF1700-alpha-helical+Toast-rack*->	bacteria>firmicutes	12
SIG+Toast-rack*->	eukaryota>metazoa	12
TraJ-RHH->Toast-rack*->ABC-ATPase->SIG+TM(s)->	bacteria>actinobacteria	12
RNA-Helicase+A18->ABC-ATPase(s)->Toast-rack*->	bacteria>firmicutes	11
Toast-rack*->	bacteria>actinobacteria	11
Toast-rack*->ABC-ATPase->SIG+TM(s)->	bacteria>actinobacteria	11
<-SIG+LTD+IG+Calcineurin<-Phage_holin_4_2<-PspC+TM(s)<-Toast-rack*	bacteria>firmicutes	10
<-SIG+Toast-rack*	bacteria>other unclassified bacteria	10
<-SIG+Toast-rack*<-SIG+TM(s)<-ABC-ATPase<-GNTR-HTH	bacteria>proteobacteria>gammaproteobacteria	10
<-Toast-rack*<-TraJ-RHH	bacteria>actinobacteria	10
Toast-rack*->PspC+TM(s)->Phage_holin_4_2->	bacteria>firmicutes	9
