GenContext.norep	Lineage.final	count
Snf7*->	eukaryota>metazoa	244
<-Snf7*	eukaryota>metazoa	170
<-Snf7*	eukaryota>fungi	128
Snf7*->	eukaryota>fungi	124
Snf7*->	eukaryota>archaeplastida>viridiplantae	116
<-Snf7*	eukaryota>archaeplastida>viridiplantae	65
Snf7*->	eukaryota>euglenozoa	65
<-Snf7*	eukaryota>sar>alveolata	52
<-Snf7*	eukaryota>sar>stramenopiles	51
Snf7*->	eukaryota>sar>alveolata	51
LiaI:SIG+TM->PspA*->LiaF:SIG+TM+Toast-rack->LiaS:SIG+TMs+HisKin->LiaR:REC+HTH->	bacteria>firmicutes	50
<-PspA*	bacteria>firmicutes	47
<-Snf7*	eukaryota>euglenozoa	47
<-Snf7*	eukaryota>archaeplastida>viridiplantae>chlorophyta	46
PspA*->SIG+TPR+TM->	bacteria>proteobacteria>betaproteobacteria	46
Snf7*->	eukaryota>sar>stramenopiles	46
Snf7*->	NA	44
<-Snf7*	eukaryota>others	41
PspA*->PspB->PspC+PspB->	bacteria>proteobacteria>gammaproteobacteria	39
PspA*->	bacteria>cyanobacteria	35
Snf7*->	eukaryota>archaeplastida>viridiplantae>chlorophyta	35
<-PspA*	bacteria>actinobacteria	33
<-Snf7*	NA	33
<-PspA*	bacteria>cyanobacteria	32
<-PspC+PspB<-PspB<-PspA*	bacteria>proteobacteria>gammaproteobacteria	29
<-Snf7*	eukaryota>amoebozoa	29
PspA*->	bacteria>firmicutes	29
<-DUF4178<-SIG+TMs-DUF350<-PspA*	bacteria>firmicutes	28
<-SIG+TPR+TM<-PspA*	bacteria>proteobacteria>betaproteobacteria	28
PspA*->SIG+TMs-DUF1449->SIG+Band_7+DUF390->	bacteria>proteobacteria>alphaproteobacteria	28
Snf7*->	eukaryota>others	28
<-LiaR:REC+HTH<-LiaS:SIG+TMs+HisKin<-LiaF:SIG+TM+Toast-rack<-PspA*<-LiaI:SIG+TM	bacteria>firmicutes	27
<-PspC<-PspA*	bacteria>proteobacteria>gammaproteobacteria	27
PspA*->ZnR+TM->SIG+TPM_phosphatase+TM->Band_7_1+ZnR->	bacteria>firmicutes	27
NYN-><-PspA*	bacteria>actinobacteria	25
PspA*->	bacteria>actinobacteria	25
PspA*->	bacteria>proteobacteria>alphaproteobacteria	24
<-DUF3046||?->ABC-ATPase->?-><-PspA*<-ClgR:HTH<-CinA<-PgsA:CDP-OH_P_transf+TMs||YCII->	bacteria>actinobacteria	23
<-PspA*	archaea>euryarchaeota	23
DUF2170->PspA*->SIG+Ion_trans_2->DUF2491->SIG+TMs-DUF350->SIG+DUF1190->SpermGS-ATPgrasp->	bacteria>proteobacteria>gammaproteobacteria	23
<-TMs+IIGP1-DUF697<-DUF463-ATPase<-PspC+PspB<-PspB<-PspA*||PspF:Sigma54+HTH->SIG+SBP->SIG+BPD->OppC+BPD->ABC-ATPase->ABC-ATPase->	bacteria>proteobacteria>gammaproteobacteria	20
<-LiaR:REC+HTH<-LiaS:SIG+TMs+HisKin<-X?<-PspA*	bacteria>actinobacteria	19
<-X?<-PspA*	bacteria>actinobacteria	19
NYN-><-PspA*<-Thioredoxin:trxA	bacteria>actinobacteria	19
Snf7*->	eukaryota>amoebozoa	19
<-SpermGS-ATPgrasp<-SIG+DUF1190<-SIG+TMs-DUF350<-DUF2491<-SIG+Ion_trans_2<-PspA*<-DUF2170	bacteria>proteobacteria>gammaproteobacteria	18
PspA*->X?->LiaS:SIG+TMs+HisKin->LiaR:REC+HTH->	bacteria>actinobacteria	18
<-TMs+IIGP1-DUF697<-DUF463-ATPase<-SIG+PspD<-PspC+PspB<-PspB<-PspA*	bacteria>proteobacteria>gammaproteobacteria	17
DUF2170->PspA*->SIG+TMs-DUF1449->SIG+Band_7+DUF390->	bacteria>proteobacteria>gammaproteobacteria	17
PspA*->X?->	bacteria>actinobacteria	17
SIG+TMs-DUF350->TMs+Methylase:SpeE->DUF2170->PspA*->	bacteria>proteobacteria>gammaproteobacteria	17
<-X?<-PspA*	archaea>euryarchaeota	16
Snf7*->	eukaryota>holozoa	16
<-PspA*<-DUF2170	bacteria>proteobacteria>gammaproteobacteria	15
<-PspM:SIG+TMs<-PspA*	bacteria>actinobacteria	15
<-TMs+IIGP1-DUF697<-DUF463-ATPase<-SIG+PspD<-PspC+PspB<-PspB<-PspA*||PspF:Sigma54+HTH->	bacteria>proteobacteria>gammaproteobacteria	15
PspA*->	archaea>euryarchaeota	15
<-ABC-ATPase<-ABC-ATPase<-OppC+BPD<-SIG+BPD<-SIG+SBP<-PspF:Sigma54+HTH||PspA*->PspB->PspC+PspB->DUF463-ATPase->TMs+IIGP1-DUF697->	bacteria>proteobacteria>gammaproteobacteria	14
<-LiaR:REC+HTH<-LiaS:SIG+TMs+HisKin<-LiaF:SIG+TM+Toast-rack<-PspA*<-PspC+PspB<-PspA<-LiaI:SIG+TM	bacteria>firmicutes	14
<-PspA*<-DUF2170<-TMs+Methylase:SpeE<-SIG+TMs-DUF350	bacteria>proteobacteria>gammaproteobacteria	14
