GenContext.norep	Lineage.final	count
<-SIG+PspD<-PspC+PspB<-PspB<-PspA*||PspF:Sigma54+HTH->SIG+SBP->SIG+BPD->OppC+BPD->ABC-ATPase->ABC-ATPase->	bacteria>proteobacteria>gammaproteobacteria	14
DUF2170->PspA*->	bacteria>proteobacteria>gammaproteobacteria	13
<-NLPC+PspA_IM30*	bacteria>cyanobacteria	12
<-PspA*	bacteria>deinococcus-thermus	12
<-PspC+PspB<-PspB<-PspA*||PspF:Sigma54+HTH->SIG+SBP->SIG+BPD->OppC+BPD->ABC-ATPase->ABC-ATPase->	bacteria>proteobacteria>gammaproteobacteria	12
PspA*->X?->	archaea>euryarchaeota	12
<-PspA*	bacteria>proteobacteria>alphaproteobacteria	11
DUF4306->PspA*->ZnR+TM->SIG+TPM_phosphatase+TM->Band_7_1+ZnR->	bacteria>firmicutes	11
NLPC+PspA_IM30*->	bacteria>cyanobacteria	11
PspA*->PspC->	bacteria>proteobacteria>gammaproteobacteria	11
<-Snf7*<-Snf7	eukaryota>metazoa	10
PspA*->PspB->PspC+PspB->SIG+PspD->DUF463-ATPase->TMs+IIGP1-DUF697->	bacteria>proteobacteria>gammaproteobacteria	10
Snf7*->Snf7->	eukaryota>metazoa	10
TM?->PspA*->PspA->	bacteria>cyanobacteria	10
<-LiaR:REC+HTH<-LiaS:SIG+TMs+HisKin<-LiaF:SIG+TM+Toast-rack<-LiaG:SIG+Toast-rack<-PspA*<-LiaI:SIG+TM<-?<-?<-ABC-ATPase<-?<-?||ADH_short->	bacteria>firmicutes	9
<-PspA*<-PspC	bacteria>firmicutes	9
<-PspF:Sigma54+HTH||PspA*->PspB->PspC+PspB->SIG+PspD->	bacteria>proteobacteria>gammaproteobacteria	9
<-Snf7*	eukaryota>archaeplastida>rhodophyta	9
<-Snf7*	eukaryota>holozoa	9
PspA*->PspB->PspC+PspB->DUF463-ATPase->TMs+IIGP1-DUF697->	bacteria>proteobacteria>gammaproteobacteria	9
Snf7*->	eukaryota>archaeplastida>rhodophyta	9
Snf7*->Snf7->	eukaryota>archaeplastida>viridiplantae	9
<-ADH_short<-ABC-ATPase<-ABC-ATPase<-OppC+BPD<-SIG+BPD<-SIG+SBP<-PspF:Sigma54+HTH||PspA*->PspB->PspC+PspB->SIG+PspD->	bacteria>proteobacteria>gammaproteobacteria	8
<-PspA*<-PspA<-TM?	bacteria>cyanobacteria	8
<-PspA*<-SIG+TMs	bacteria>firmicutes	8
<-PspF:Sigma54+HTH||PspA*->PspB->PspC+PspB->SIG+PspD->DUF463-ATPase->TMs+IIGP1-DUF697->	bacteria>proteobacteria>gammaproteobacteria	8
<-Snf7*	eukaryota>sar>rhizaria	8
2Rhodanese-><-TMs+IIGP1-DUF697<-DUF463-ATPase<-SIG+PspD<-PspC+PspB<-PspB<-PspA*	bacteria>proteobacteria>gammaproteobacteria	8
Classical-AAA->PspA*->	bacteria>firmicutes	8
DUF2170->PspA*->DUF2491->SIG+TMs-DUF350->SIG+DUF1190->SpermGS-ATPgrasp->	bacteria>proteobacteria>gammaproteobacteria	8
PspA*->	bacteria>deinococcus-thermus	8
PspA*->SIG+TMs-DUF350->DUF4178->	bacteria>firmicutes	8
PspA*->X?->HtpX:SIG+TMs-Metallopeptidase->Y?->	bacteria>actinobacteria	8
<-DUF3046<-?<-UDPGT||LEH->?-><-PspM:SIG+TMs<-PspA*<-ClgR:HTH<-PgsA:CDP-OH_P_transf+TMs	bacteria>actinobacteria	7
<-PspB<-PspB<-PspB<-PspB<-PspC+PspB<-PspB<-PspA*<-?||PspF:Sigma54+HTH->	bacteria>proteobacteria>alphaproteobacteria	7
<-PspE:SIG+Rhodanese<-SIG+PspD<-PspC+PspB<-PspB<-PspA*||PspF:Sigma54+HTH->	bacteria>proteobacteria>gammaproteobacteria	7
<-PspF:Sigma54+HTH||PspA*->PspB->PspC+PspB->SIG+PspD->PspE:SIG+Rhodanese->	bacteria>proteobacteria>gammaproteobacteria	7
<-SIG+Band_7+DUF390<-SIG+TMs-DUF1449<-PspA*	bacteria>proteobacteria>alphaproteobacteria	7
<-SIG+Band_7+DUF390<-SIG+TMs-DUF1449<-PspA*<-DUF2170	bacteria>proteobacteria>gammaproteobacteria	7
<-SIG+PspD<-PspC+PspB<-PspB<-PspA*||PspF:Sigma54+HTH->	bacteria>proteobacteria>gammaproteobacteria	7
<-SpermGS-ATPgrasp<-SIG+DUF1190<-SIG+TMs-DUF350<-DUF2491<-SIG+Ion_trans_2<-?<-PspA*<-DUF2170	bacteria>proteobacteria>gammaproteobacteria	7
<-SpermGS-ATPgrasp<-SIG+DUF1190<-SIG+TMs-DUF350<-DUF2491<-SIG+Ion_trans_2||DUF2170->PspA*->	bacteria>proteobacteria>alphaproteobacteria	7
<-Thioredoxin:trxA<-PspA*	bacteria>cyanobacteria	7
DUF2170->PspA*->SIG+Ion_trans_2->DUF2491->SIG+TMs-DUF350->SIG+DUF1190->SpermGS-ATPgrasp->?->?->ABC-ATPase->	bacteria>proteobacteria>gammaproteobacteria	7
PspA*->	bacteria>proteobacteria>gammaproteobacteria	7
PspA*->PspB->PspC+PspB->PspB->PspB->PspB->	bacteria>proteobacteria>alphaproteobacteria	7
TypeIII_chaperone-CesT-YbjN->PspA*->SIG+TMs-DUF1449->SIG+Band_7+DUF390->	bacteria>fcb group	7
<-HTH-XRE||TypeIII_chaperone-CesT-YbjN->PspA*->SIG+TMs-DUF1449->SIG+Band_7+DUF390->	bacteria>fcb group	6
<-LiaR:REC+HTH<-LiaS:SIG+TMs+HisKin<-LiaF:SIG+TM+Toast-rack<-LiaG:SIG+Toast-rack<-PspA*<-LiaI:SIG+TM<-?<-?<-ABC-ATPase	bacteria>firmicutes	6
<-LiaR:REC+HTH<-LiaS:SIG+TMs+HisKin<-LiaF:SIG+TM+Toast-rack<-LiaG:SIG+Toast-rack<-PspA*<-LiaI:SIG+TM<-?<-?||ADH_short->	bacteria>firmicutes	6
<-PspA*	bacteria>proteobacteria>deltaproteobacteria	6
<-PspA*	bacteria>pvc group	6
<-PspA*<-PspC+PspB<-PspA<-LiaI:SIG+TM	bacteria>firmicutes	6
<-PspB<-PspC+PspB<-PspB<-PspA*<-?||PspF:Sigma54+HTH->	bacteria>proteobacteria>alphaproteobacteria	6
<-PspF:Sigma54+HTH<-?<-?<-?<-TMs+IIGP1-DUF697<-DUF463-ATPase<-PspC+PspB<-PspB<-PspA*||PspF:Sigma54+HTH->SIG+SBP->SIG+BPD->OppC+BPD->ABC-ATPase->ABC-ATPase->	bacteria>proteobacteria>gammaproteobacteria	6
<-PspF:Sigma54+HTH<-?<-TMs+IIGP1-DUF697<-DUF463-ATPase<-PspC+PspB<-PspB<-PspA*	bacteria>proteobacteria>gammaproteobacteria	6
<-PspF:Sigma54+HTH<-TMs+IIGP1-DUF697<-DUF463-ATPase<-SIG+PspD<-PspC+PspB<-PspB<-PspA*||PspF:Sigma54+HTH->	bacteria>proteobacteria>gammaproteobacteria	6
<-PspM:SIG+TMs<-PspA*<-ClgR:HTH<-PgsA:CDP-OH_P_transf+TMs	bacteria>actinobacteria	6
<-SIG+PspD<-PspC+PspB<-PspB<-PspA*||PspF:Sigma54+HTH->SIG+SBP->SIG+BPD->OppC+BPD->ABC-ATPase->ABC-ATPase->ADH_short->	bacteria>proteobacteria>gammaproteobacteria	6
<-Snf7*<-Snf7	eukaryota>archaeplastida>viridiplantae	6
<-SpermGS-ATPgrasp<-SIG+DUF1190<-SIG+TMs-DUF350<-DUF2491<-PspA*<-DUF2170	bacteria>proteobacteria>gammaproteobacteria	6
<-TMs+IIGP1-DUF697<-DUF463-ATPase<-PspC+PspB<-PspB<-PspA*	bacteria>proteobacteria>gammaproteobacteria	6
<-YCII<-?||PgsA:CDP-OH_P_transf+TMs->CinA->ClgR:HTH->PspA*->PspM:SIG+TMs-><-?<-ABC-ATPase	bacteria>actinobacteria	6
LiaI:SIG+TM->PspA*->	bacteria>firmicutes	6
PspA*->PspA->	bacteria>cyanobacteria	6
SIG+TMs-MFS:EmrB-><-PspA*<-SIG+TM+TPM_phosphatase+TM	bacteria>actinobacteria	6
SIG+TMs-MFS:EmrB-><-PspF:Sigma54+HTH||PspA*->PspB->PspC+PspB->SIG+PspD->PspE:SIG+Rhodanese->DUF463-ATPase->TMs+IIGP1-DUF697->	bacteria>proteobacteria>gammaproteobacteria	6
Snf7->Snf7*->	eukaryota>metazoa	6
Snf7*->	eukaryota>sar>rhizaria	6
TM?->PspA*->	bacteria>cyanobacteria	6
<-ADH_short<-?<-?<-?<-?<-?<-PspA*	bacteria>actinobacteria	5
<-DUF4178<-PspA*	bacteria>firmicutes	5
<-PspA*	bacteria>aquificae	5
<-PspA*	bacteria>proteobacteria>gammaproteobacteria	5
<-PspB<-PspB<-PspB<-PspB<-PspC+PspB<-PspB<-PspA*	bacteria>proteobacteria>alphaproteobacteria	5
<-SIG+BPD<-SIG+SBP<-?||?->?->?-><-?<-?<-PspA*	bacteria>actinobacteria	5
<-SIG+TMs-DUF350<-PspA*	bacteria>firmicutes	5
<-Snf7*	archaea>asgard group	5
<-Snf7<-Snf7*	eukaryota>metazoa	5
DUF2170->PspA*->DUF2491->SIG+TMs-DUF350->SIG+DUF1190->SpermGS-ATPgrasp->	NA	5
DUF4178->PspA*->?->SIG+TMs-DUF350->TMs+Methylase:SpeE->	bacteria>firmicutes	5
HtpX:SIG+TMs-Metallopeptidase->Y?->PspA*->X?->	bacteria>firmicutes	5
PspA*->	bacteria>nitrospirae	5
PspA*->	NA	5
PspA*->PspC->PspG-><-?||SIG+SBP->	bacteria>proteobacteria>gammaproteobacteria	5
<-ABC-ATPase<-ABC-ATPase<-OppC+BPD<-SIG+BPD<-SIG+SBP<-PspF:Sigma54+HTH||PspA*->PspB->PspC+PspB->SIG+PspD->	bacteria>proteobacteria>gammaproteobacteria	4
<-ADH_short<-ABC-ATPase<-ABC-ATPase<-OppC+BPD<-SIG+BPD<-SIG+SBP<-PspF:Sigma54+HTH||PspA*->PspB->PspC+PspB->SIG+PspD->DUF463-ATPase->TMs+IIGP1-DUF697->PspF:Sigma54+HTH->	bacteria>proteobacteria>gammaproteobacteria	4
<-Band_7_1+ZnR<-SIG+TPM_phosphatase+TM<-ZnR+TM<-PspA*	bacteria>firmicutes	4
<-Classical-AAA<-?<-?<-?<-ABC-ATPase<-?<-SIG+TM-SRM_01347<-?<-PspA*	bacteria>proteobacteria>deltaproteobacteria	4
<-DUF3046<-?||?->ABC-ATPase->?-><-PspA*	bacteria>actinobacteria	4
<-DUF3046||?->ABC-ATPase->?-><-PspA*<-ClgR:HTH<-CinA<-PgsA:CDP-OH_P_transf+TMs	bacteria>actinobacteria	4
<-PspA*	bacteria>chloroflexi	4
<-PspA*	bacteria>other unclassified bacteria	4
<-PspA*	eukaryota>sar>stramenopiles	4
<-PspA*<-ClgR:HTH<-PgsA:CDP-OH_P_transf+TMs	bacteria>actinobacteria	4
<-PspA*<-DUF2170||SIG+Ion_trans_2->DUF2491->SIG+TMs-DUF350->SIG+DUF1190->SpermGS-ATPgrasp->	bacteria>proteobacteria>alphaproteobacteria	4
<-PspA*<-TypeIII_chaperone-CesT-YbjN	bacteria>fcb group	4
<-PspC+PspB<-PspB<-PspA*||PspF:Sigma54+HTH->	bacteria>proteobacteria>deltaproteobacteria	4
<-PspF:Sigma54+HTH<-TMs+IIGP1-DUF697<-DUF463-ATPase<-SIG+PspD<-PspC+PspB<-PspB<-PspA*||PspF:Sigma54+HTH->SIG+SBP->SIG+BPD->OppC+BPD->ABC-ATPase->ABC-ATPase->ADH_short->	bacteria>proteobacteria>gammaproteobacteria	4
<-PspF:Sigma54+HTH||PspA*->PspB->PspC+PspB->SIG+PspD->DUF463-ATPase->TMs+IIGP1-DUF697->PspF:Sigma54+HTH->	bacteria>proteobacteria>gammaproteobacteria	4
<-PspM:SIG+TMs<-PspA*<-ClgR:HTH	bacteria>actinobacteria	4
<-SIG+DUF1190<-SIG+TMs-DUF350<-DUF2491||DUF2170->PspA*->SpermGS-ATPgrasp->	bacteria>proteobacteria>alphaproteobacteria	4
<-SIG+SBP||?-><-PspG<-PspC<-PspA*	bacteria>proteobacteria>gammaproteobacteria	4
<-SpermGS-ATPgrasp<-PspA*<-DUF2170||DUF2491->SIG+TMs-DUF350->SIG+DUF1190->	bacteria>proteobacteria>alphaproteobacteria	4
<-SpermGS-ATPgrasp<-PspA*<-DUF2170||SIG+Ion_trans_2->DUF2491->SIG+TMs-DUF350->SIG+DUF1190->	bacteria>proteobacteria>alphaproteobacteria	4
<-Thioredoxin:trxA<-PspA*<-PspA<-TM?	bacteria>cyanobacteria	4
<-YCII||PgsA:CDP-OH_P_transf+TMs->CinA->ClgR:HTH->PspA*-><-?<-ABC-ATPase<-?||DUF3046->	bacteria>actinobacteria	4
ADH_short->?->?->PspA*->	bacteria>firmicutes	4
DUF2170->PspA*->?->SIG+Ion_trans_2->DUF2491->SIG+TMs-DUF350->SIG+DUF1190->SpermGS-ATPgrasp->	bacteria>proteobacteria>gammaproteobacteria	4
HTH-XRE-><-?||?->SIG+TMs-MFS:EmrB-><-PspF:Sigma54+HTH||PspA*->PspB->PspC+PspB->SIG+PspD->DUF463-ATPase->TMs+IIGP1-DUF697->	bacteria>proteobacteria>gammaproteobacteria	4
PspA*->	bacteria>chloroflexi	4
PspA*->	bacteria>proteobacteria>deltaproteobacteria	4
PspA*->PspM:SIG+TMs->	bacteria>actinobacteria	4
PspA*->PspM:SIG+TMs-><-?<-LEH||UDPGT->DUF3046->	bacteria>actinobacteria	4
PspA*->SIG+TMs-DUF1449->SIG+Band_7+DUF390->	bacteria>proteobacteria>gammaproteobacteria	4
PspA*->X?->?->?->?->?-><-?<-ABC-ATPase	bacteria>actinobacteria	4
PspA*->X?-><-Y?<-HtpX:SIG+TMs-Metallopeptidase	archaea>euryarchaeota	4
SIG+TMs->PspA*->	bacteria>firmicutes	4
<-ABC-ATPase<-ABC-ATPase<-OppC+BPD<-SIG+BPD<-SIG+SBP<-PspF:Sigma54+HTH||PspA*->PspB->PspC+PspB->	bacteria>proteobacteria>gammaproteobacteria	3
<-ADH_short<-?||?-><-?||PgsA:CDP-OH_P_transf+TMs->CinA->ClgR:HTH->PspA*->PspM:SIG+TMs-><-LEH||UDPGT->DUF3046->	bacteria>actinobacteria	3
<-ADH_short<-?||?-><-?||PgsA:CDP-OH_P_transf+TMs->ClgR:HTH->PspA*->PspM:SIG+TMs-><-LEH||UDPGT->DUF3046->	bacteria>actinobacteria	3
<-DUF3046<-?<-UDPGT||LEH->?-><-PspM:SIG+TMs<-PspA*<-ClgR:HTH<-PgsA:CDP-OH_P_transf+TMs||?-><-?||?->?->ADH_short->	bacteria>actinobacteria	3
<-DUF3046||?->ABC-ATPase->?-><-PspA*	bacteria>actinobacteria	3
<-FMO-like||?-><-SIG+TPR+TM<-PspA*	bacteria>proteobacteria>betaproteobacteria	3
<-LiaR:REC+HTH<-LiaS:SIG+TMs+HisKin<-LiaF:SIG+TM+Toast-rack<-LiaG:SIG+Toast-rack<-PspA*<-LiaI:SIG+TM	bacteria>firmicutes	3
<-LiaR:REC+HTH<-LiaS:SIG+TMs+HisKin<-LiaF:SIG+TM+Toast-rack<-LiaG:SIG+Toast-rack<-PspA*<-LiaI:SIG+TM<-?<-?<-ABC-ATPase<-?<-?||?->ADH_short->	bacteria>firmicutes	3
<-PspA*	bacteria>other proteobacteria	3
<-PspA*<-?<-?<-ADH_short	bacteria>firmicutes	3
<-PspA*<-ClgR:HTH<-CinA<-PgsA:CDP-OH_P_transf+TMs||YCII->	bacteria>actinobacteria	3
<-PspA*<-SIG+TMs||?-><-?<-?<-SIG+TM+HisKin<-LiaR:REC+HTH	bacteria>firmicutes	3
<-PspA*<-TypeIII_chaperone-CesT-YbjN	bacteria>proteobacteria>deltaproteobacteria	3
<-PspA*||?->?->?-><-?||?->LiaR:REC+HTH->	bacteria>proteobacteria>alphaproteobacteria	3
<-PspC<-PspB<-PspA*||PspF:Sigma54+HTH->	bacteria>proteobacteria>alphaproteobacteria	3
<-PspF:Sigma54+HTH<-TMs+IIGP1-DUF697<-DUF463-ATPase<-PspC+PspB<-PspB<-PspA*	bacteria>proteobacteria>gammaproteobacteria	3
<-PspF:Sigma54+HTH<-TMs+IIGP1-DUF697<-DUF463-ATPase<-PspE:SIG+Rhodanese<-SIG+PspD<-PspC+PspB<-PspB<-PspA*||PspF:Sigma54+HTH->SIG+SBP->SIG+BPD->OppC+BPD->ABC-ATPase->ABC-ATPase->	bacteria>proteobacteria>gammaproteobacteria	3
<-PspF:Sigma54+HTH||?->PspA*->PspB->PspC+PspB->PspB->PspB->PspB->	bacteria>proteobacteria>alphaproteobacteria	3
<-PspF:Sigma54+HTH||PspA*->PspB->PspC+PspB->	bacteria>proteobacteria>gammaproteobacteria	3
<-PspF:Sigma54+HTH||PspA*->PspB->PspC+PspB->SIG+PspD->PspE:SIG+Rhodanese->	NA	3
<-PspF:Sigma54+HTH||PspA*->PspB->SIG+Toast-rack->Toast-rack+PspB->?->ABC-ATPase->	bacteria>proteobacteria>alphaproteobacteria	3
<-PspN:DUF3046<-PspM:SIG+TMs<-PspA*<-ClgR:HTH<-PgsA:CDP-OH_P_transf+TMs||?-><-?||?->ADH_short->	bacteria>actinobacteria	3
<-SIG+Band_7+DUF390<-SIG+TMs-DUF1449<-PspA*<-DUF2170	bacteria>proteobacteria>betaproteobacteria	3
<-SIG+Band_7+DUF390<-SIG+TMs-NfeD<-PspA*	bacteria>firmicutes	3
<-TMs+IIGP1-DUF697<-DUF463-ATPase<-PspE:SIG+Rhodanese<-SIG+PspD<-PspC+PspB<-PspB<-PspA*||PspF:Sigma54+HTH-><-SIG+TMs-MFS:EmrB	bacteria>proteobacteria>gammaproteobacteria	3
<-TMs+IIGP1-DUF697<-DUF463-ATPase<-SIG+PspD<-PspC+PspB<-PspB<-PspA*||PspF:Sigma54+HTH-><-SIG+TMs-MFS:EmrB	bacteria>proteobacteria>gammaproteobacteria	3
<-YCII<-?||PgsA:CDP-OH_P_transf+TMs->ClgR:HTH->PspA*->UDPGT->DUF3046->?->?-><-?<-?<-?<-ABC-ATPase	bacteria>actinobacteria	3
ABC-ATPase->?-><-PspA*	bacteria>actinobacteria	3
DUF2170->PspA*->?->SIG+TMs-DUF1449->SIG+Band_7+DUF390->	bacteria>proteobacteria>gammaproteobacteria	3
LiaI:SIG+TM->PspA*->LiaG:SIG+Toast-rack->LiaF:SIG+TM+Toast-rack->LiaS:SIG+TMs+HisKin->LiaR:REC+HTH->	bacteria>firmicutes	3
LiaI:SIG+TM->PspA*->PspC+PspB->PspA->LiaF:SIG+TM+Toast-rack->LiaS:SIG+TMs+HisKin->LiaR:REC+HTH->	bacteria>firmicutes	3
PgsA:CDP-OH_P_transf+TMs->CinA->ClgR:HTH->?->PspA*->PspM:SIG+TMs->	bacteria>actinobacteria	3
PgsA:CDP-OH_P_transf+TMs->CinA->ClgR:HTH->PspA*-><-?<-ABC-ATPase<-?||DUF3046->	bacteria>actinobacteria	3
PgsA:CDP-OH_P_transf+TMs->ClgR:HTH->PspA*->PspM:SIG+TMs-><-LEH||UDPGT->DUF3046->	bacteria>actinobacteria	3
PspA*->	archaea>others	3
PspA*->	bacteria>acidobacteria	3
PspA*->	bacteria>armatimonadetes	3
PspA*->	bacteria>fcb group	3
PspA*->	bacteria>other unclassified bacteria	3
PspA*->	bacteria>pvc group	3
PspA*->	eukaryota>sar>alveolata	3
PspA*->	eukaryota>sar>stramenopiles	3
PspA*->?->?->?->?->?->?->?->HtpX:SIG+TMs-Metallopeptidase->	bacteria>firmicutes	3
PspA*->?->?-><-?<-?<-?||?->SIG+SBP->SIG+BPD->	bacteria>actinobacteria	3
PspA*->?-><-ABC-ATPase	bacteria>cyanobacteria	3
PspA*->?->SIG+NRAMP+TMs->	bacteria>firmicutes	3
PspA*->?->SIG+TM-SRM_01347->	bacteria>fcb group	3
PspA*-><-NYN	bacteria>actinobacteria	3
PspA*->SIG+TMs-DUF1449->	bacteria>proteobacteria>betaproteobacteria	3
PspA*->SIG+TMs-DUF1449->SIG+Band_7+DUF390->	bacteria>proteobacteria>betaproteobacteria	3
PspA*->SIG+TPR+TM-><-?||FMO-like->	bacteria>proteobacteria>betaproteobacteria	3
SIG+TM+TPM_phosphatase+TM->PspA*->	bacteria>firmicutes	3
Snf7*->	archaea>asgard group	3
Snf7*->Snf7->	eukaryota>fungi	3
TypeIII_chaperone-CesT-YbjN->PspA*->	bacteria>other proteobacteria	3
TypeIII_chaperone-CesT-YbjN->PspA*->	bacteria>proteobacteria>deltaproteobacteria	3
<-ABC-ATPase<-?<-Toast-rack+PspB<-SIG+Toast-rack<-PspB<-PspA*||PspF:Sigma54+HTH->	bacteria>proteobacteria>alphaproteobacteria	2
<-ABC-ATPase<-?||NYN-><-PspA*<-Thioredoxin:trxA	bacteria>actinobacteria	2
<-ABC-ATPase<-ABC-ATPase<-OppC+BPD<-SIG+BPD<-SIG+SBP<-PspF:Sigma54+HTH||PspA*->PspB->PspC+PspB->DUF463-ATPase->TMs+IIGP1-DUF697->?->?->?->PspF:Sigma54+HTH->	bacteria>proteobacteria>gammaproteobacteria	2
<-ABC-ATPase<-ABC-ATPase<-OppC+BPD<-SIG+BPD<-SIG+SBP<-PspF:Sigma54+HTH||PspA*->PspB->PspC+PspB->DUF463-ATPase->TMs+IIGP1-DUF697->?->?->ABC-ATPase->	bacteria>proteobacteria>gammaproteobacteria	2
<-ADH_short<-ABC-ATPase<-ABC-ATPase<-OppC+BPD<-SIG+BPD<-SIG+SBP<-PspF:Sigma54+HTH||PspA*->PspB->PspC+PspB->SIG+PspD->DUF463-ATPase->TMs+IIGP1-DUF697->	bacteria>proteobacteria>gammaproteobacteria	2
<-ADH_short||?->LiaI:SIG+TM->PspA*->LiaG:SIG+Toast-rack->LiaF:SIG+TM+Toast-rack->LiaS:SIG+TMs+HisKin->LiaR:REC+HTH->	bacteria>firmicutes	2
<-Classical-AAA||Snf7*->	archaea>asgard group	2
<-DUF3046<-PspA*<-ClgR:HTH<-CinA<-PgsA:CDP-OH_P_transf+TMs	bacteria>actinobacteria	2
<-DUF3046<-UDPGT||LEH-><-PspM:SIG+TMs<-PspA*<-ClgR:HTH<-PgsA:CDP-OH_P_transf+TMs	bacteria>actinobacteria	2
<-DUF3046<-UDPGT||LEH->LEH-><-?<-PspM:SIG+TMs<-PspA*<-ClgR:HTH	bacteria>actinobacteria	2
<-DUF3046<-UDPGT||LEH->LEH-><-?<-PspM:SIG+TMs<-PspA*<-ClgR:HTH<-HTH-XRE||ADH_short-><-PgsA:CDP-OH_P_transf+TMs	bacteria>actinobacteria	2
