DomArch.norep	Lineage.final	count
SIG+TM(s)	bacteria>proteobacteria>gammaproteobacteria	888
SIG+TM(s)	bacteria>proteobacteria>betaproteobacteria	452
SIG+TM(s)	bacteria>firmicutes	353
SIG+TM(s)	bacteria>proteobacteria>alphaproteobacteria	349
LiaI-LiaF-TM+Toast-rack	bacteria>firmicutes	102
SIG+TM(s)	bacteria>proteobacteria>deltaproteobacteria	72
SIG+TM(s)	bacteria>proteobacteria>epsilonproteobacteria	63
SIG+TM(s)	bacteria>spirochaetes	63
DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack	bacteria>fcb group	52
SIG+TM(s)	bacteria>other unclassified bacteria	52
SIG+TM(s)	bacteria>pvc group	51
LiaI-LiaF-TM+Toast-rack	bacteria>fcb group	49
TM(s)	bacteria>proteobacteria>alphaproteobacteria	46
SIG+TM	bacteria>firmicutes	45
LiaI-LiaF-TM	bacteria>firmicutes	41
SIG+TM(s)	bacteria>actinobacteria	30
LiaI-LiaF-TM+Toast-rack	bacteria>other unclassified bacteria	28
SIG+TM(s)	bacteria>thermotogae	25
DUF1700-alpha-helical+PspC+LiaI-LiaF-TM	bacteria>fcb group	23
SIG	bacteria>firmicutes	23
SIG+TM+Toast-rack	bacteria>firmicutes	22
SIG+TM(s)	bacteria>nitrospirae	19
LiaI-LiaF-TM	bacteria>other unclassified bacteria	17
DUF1700-alpha-helical+PspC+LiaI-LiaF-TM	bacteria>other unclassified bacteria	14
PspC(s)+LiaI-LiaF-TM+Toast-rack(s)	bacteria>fcb group	14
SIG+DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack	bacteria>fcb group	14
SIG+TM(s)	bacteria>aquificae	14
SIG+TM(s)+YTCD-HTH	bacteria>proteobacteria>betaproteobacteria	14
PspC+LiaI-LiaF-TM+Toast-rack	bacteria>fcb group	13
SIG+TM(s)	bacteria>others	13
SIG+TM(s)	bacteria>fcb group	12
TM(s)	bacteria>proteobacteria>gammaproteobacteria	12
TM(s)	bacteria>pvc group	12
SIG+TM(s)+PseuCD	bacteria>firmicutes	10
SIG+TM(s)+RNASEII	bacteria>proteobacteria>gammaproteobacteria	10
SIG+TM(s)+RPA32-HTH	bacteria>firmicutes	9
SIG+TM(s)+Toast-rack	bacteria>firmicutes	9
SIG+TM(s)+ASXM	bacteria>proteobacteria>gammaproteobacteria	8
LiaI-LiaF-TM	bacteria>fcb group	7
PspC(s)+LiaI-LiaF-TM+Toast-rack	bacteria>fcb group	7
PspC+LiaI-LiaF-TM+Toast-rack	bacteria>other unclassified bacteria	7
SIG+TM(s)	bacteria>other proteobacteria	7
SIG+TM(s)+AlphaE	bacteria>proteobacteria>betaproteobacteria	7
DUF1700-alpha-helical+PspC(s)+LiaI-LiaF-TM+Toast-rack	bacteria>fcb group	6
LiaI-LiaF-TM	bacteria>actinobacteria	6
PspC+LiaI-LiaF-TM	bacteria>other unclassified bacteria	6
SIG+LiaI-LiaF-TM	bacteria>actinobacteria	6
LiaI-LiaF-TM(s)+Toast-rack	bacteria>fcb group	5
LiaI-LiaF-TM(s)+Toast-rack	bacteria>other unclassified bacteria	5
SIG+TM(s)	bacteria>acidobacteria	5
SIG+TM(s)+AMIN	bacteria>pvc group	5
SIG+Toast-rack	bacteria>firmicutes	5
LiaI-LiaF-TM(s)	bacteria>actinobacteria	4
PspC+LiaI-LiaF-TM	bacteria>fcb group	4
SIG+TM(s)	bacteria>proteobacteria>zetaproteobacteria	4
SIG+TM(s)	bacteria>thermodesulfobacteria	4
SIG+TM(s)+P53CYTF	bacteria>firmicutes	4
SIG+TM(s)+PP2C	bacteria>firmicutes	4
SIG+TM(s)+PseuCD	bacteria>proteobacteria>deltaproteobacteria	4
TM(s)	bacteria>proteobacteria>betaproteobacteria	4
DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack	bacteria>other unclassified bacteria	3
DUF1700-alpha-helical+PspC+TM(s)+Toast-rack	bacteria>fcb group	3
LiaI-LiaF-TM+Toast-rack	archaea>euryarchaeota	3
LiaI-LiaF-TM+Toast-rack	bacteria>proteobacteria>betaproteobacteria	3
LiaI-LiaF-TM+Toast-rack	bacteria>proteobacteria>gammaproteobacteria	3
SIG+DUF1700-alpha-helical+PspC+LiaI-LiaF-TM	bacteria>other unclassified bacteria	3
SIG+TM(s)	bacteria>deferribacteres	3
SIG+TM(s)	bacteria>synergistetes	3
SIG+TM(s)+MPTase	bacteria>proteobacteria>deltaproteobacteria	3
TM(s)	bacteria>other unclassified bacteria	3
TRANSGLUTAMINASE-inactive+TM(s)	bacteria>proteobacteria>alphaproteobacteria	3
BBOX+TM(s)+LiaI-LiaF-TM	bacteria>acidobacteria	2
DUF1700-alpha-helical+PspC(s)+LiaI-LiaF-TM+Toast-rack(s)	bacteria>fcb group	2
LiaI-LiaF-TM	bacteria>proteobacteria>gammaproteobacteria	2
LiaI-LiaF-TM+MIP-T3	bacteria>firmicutes	2
LiaI-LiaF-TM+Toast-rack	bacteria>acidobacteria	2
LiaI-LiaF-TM+Toast-rack	bacteria>actinobacteria	2
PspC+LiaI-LiaF-TM	archaea>euryarchaeota	2
SIG+LiaI-LiaF-TM	bacteria>firmicutes	2
SIG+LiaI-LiaF-TM	bacteria>other unclassified bacteria	2
SIG+PspC(s)+LiaI-LiaF-TM+Toast-rack(s)	bacteria>fcb group	2
SIG+TM(s)	bacteria>armatimonadetes	2
SIG+TM(s)	bacteria>chloroflexi	2
SIG+TM(s)+BRCT	bacteria>actinobacteria	2
SIG+TM(s)+CCDC81	bacteria>proteobacteria>gammaproteobacteria	2
SIG+TM(s)+DEAM	bacteria>proteobacteria>gammaproteobacteria	2
SIG+TM(s)+PTSIIA-gutA	bacteria>proteobacteria>alphaproteobacteria	2
DUF1700-alpha-helical+PspC+LiaI-LiaF-TM(s)	bacteria>fcb group	1
DUF1700-alpha-helical+PspC+LiaI-LiaF-TM(s)+Toast-rack	bacteria>fcb group	1
DUF1700-alpha-helical+PspC+LiaI-LiaF-TM(s)+Toast-rack	bacteria>other unclassified bacteria	1
DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack+SEM1	bacteria>fcb group	1
FHA+TM(s)	bacteria>cyanobacteria	1
LiaI-LiaF-TM	bacteria>chloroflexi	1
LiaI-LiaF-TM	bacteria>proteobacteria>betaproteobacteria	1
LiaI-LiaF-TM	bacteria>thermotogae	1
LiaI-LiaF-TM(s)	eukaryota>metazoa	1
LiaI-LiaF-TM(s)+FTSK(s)-HTH	bacteria>fcb group	1
LiaI-LiaF-TM(s)+GBD-PPC	bacteria>other unclassified bacteria	1
LiaI-LiaF-TM(s)+Toast-rack	bacteria>acidobacteria	1
LiaI-LiaF-TM(s)+Toast-rack	bacteria>chloroflexi	1
LiaI-LiaF-TM(s)+Toast-rack	bacteria>firmicutes	1
LiaI-LiaF-TM+CDC27	bacteria>firmicutes	1
LiaI-LiaF-TM+DUF2089-HTH	bacteria>other unclassified bacteria	1
LiaI-LiaF-TM+PAF1	bacteria>firmicutes	1
LiaI-LiaF-TM+Toast-rack	bacteria>chloroflexi	1
LiaI-LiaF-TM+Toast-rack(s)	bacteria>acidobacteria	1
LiaI-LiaF-TM+Toast-rack+EP1	bacteria>acidobacteria	1
LiaI-LiaF-TM+Toast-rack+PspA	bacteria>acidobacteria	1
LiaI-LiaF-TM+Tox-DDRGK	bacteria>firmicutes	1
MA+PspC+LiaI-LiaF-TM+Toast-rack	bacteria>fcb group	1
PspC+LiaI-LiaF-TM(s)+TM+Toast-rack	bacteria>other unclassified bacteria	1
PspC+LiaI-LiaF-TM(s)+Toast-rack	bacteria>fcb group	1
RNA-Helicase+TM(s)+LiaI-LiaF-TM	bacteria>other unclassified bacteria	1
SIG+DUF1700-alpha-helical+PspC+LiaI-LiaF-TM(s)+Toast-rack	bacteria>fcb group	1
SIG+DUF1700-alpha-helical+TM(s)+PspC+LiaI-LiaF-TM+Toast-rack(s)	bacteria>fcb group	1
SIG+LiaI-LiaF-TM(s)+Toast-rack	bacteria>acidobacteria	1
SIG+LiaI-LiaF-TM+Toast-rack	archaea>euryarchaeota	1
SIG+LiaI-LiaF-TM+Toast-rack	bacteria>firmicutes	1
SIG+PspC+LiaI-LiaF-TM+Toast-rack	bacteria>fcb group	1
SIG+PspC+LiaI-LiaF-TM+Toast-rack	bacteria>other unclassified bacteria	1
SIG+TM	bacteria>other unclassified bacteria	1
SIG+TM(s)	bacteria>chrysiogenetes	1
