DomArch.norep	Lineage.final	count
SIG+TM(s)+A18	bacteria>proteobacteria>gammaproteobacteria	1
SIG+TM(s)+CACHE	bacteria>acidobacteria	1
SIG+TM(s)+CapsNTD1	bacteria>proteobacteria>alphaproteobacteria	1
SIG+TM(s)+CITB-HTH	bacteria>proteobacteria>deltaproteobacteria	1
SIG+TM(s)+HPC2+TM(s)	bacteria>proteobacteria>epsilonproteobacteria	1
SIG+TM(s)+Imm42	bacteria>firmicutes	1
SIG+TM(s)+LPD3	bacteria>proteobacteria>betaproteobacteria	1
SIG+TM(s)+NACHT	bacteria>firmicutes	1
SIG+TM(s)+Nop52	bacteria>proteobacteria>alphaproteobacteria	1
SIG+TM(s)+RhoN	bacteria>proteobacteria>alphaproteobacteria	1
SIG+TM(s)+Suz	bacteria>proteobacteria>epsilonproteobacteria	1
SIG+TM(s)+SWC7	bacteria>spirochaetes	1
SIG+TM(s)+TerBN	bacteria>proteobacteria>gammaproteobacteria	1
SIG+TM(s)+Terminase-LS	bacteria>proteobacteria>betaproteobacteria	1
SIG+TM(s)+Terminase-SS	bacteria>pvc group	1
SIG+TM(s)+Toast-rack	archaea>euryarchaeota	1
SIG+TM(s)+TraF-SignalPeptidase	bacteria>spirochaetes	1
SIG+TM+Toast-rack	bacteria>fcb group	1
Tail-fiber+LiaI-LiaF-TM+Phytase-like(s)+BetaPropeller+TM	archaea>euryarchaeota	1
TM(s)	archaea>euryarchaeota	1
TM(s)	bacteria>acidobacteria	1
TM(s)	bacteria>actinobacteria	1
TM(s)	bacteria>fcb group	1
TM(s)	bacteria>firmicutes	1
TM(s)	bacteria>nitrospirae	1
TM(s)	eukaryota>metazoa	1
TM(s)+Toast-rack	bacteria>fcb group	1
TM+LiaI-LiaF-TM	bacteria>proteobacteria>deltaproteobacteria	1
TRANSGLUTAMINASE-inactive+TM(s)	bacteria>firmicutes	1
