DomArch.norep	Lineage.final	count
PspC	bacteria>firmicutes	547
PspC	bacteria>proteobacteria>gammaproteobacteria	536
PspC	bacteria>actinobacteria	296
PspC	bacteria>other unclassified bacteria	256
PspC+TM(s)+Toast-rack	bacteria>actinobacteria	138
PspC	bacteria>proteobacteria>alphaproteobacteria	100
PspC	bacteria>fcb group	93
PspC+TM(s)	bacteria>actinobacteria	91
PspC	archaea>euryarchaeota	60
DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack	bacteria>fcb group	52
PspC+LiaI-LiaF-TM	bacteria>other unclassified bacteria	43
PspC	NA	33
PspC+TM(s)	bacteria>other unclassified bacteria	32
SIG	bacteria>proteobacteria>gammaproteobacteria	27
PspC+TM(s)	bacteria>firmicutes	26
DUF1700-alpha-helical+PspC+LiaI-LiaF-TM	bacteria>fcb group	24
PspC+TM	bacteria>firmicutes	23
PspC+TM(s)+HISKIN	bacteria>actinobacteria	23
PspC	bacteria>proteobacteria>deltaproteobacteria	18
PspC+TM(s)	bacteria>thermotogae	17
PspC+LiaI-LiaF-TM	bacteria>fcb group	15
PspC+TM(s)	archaea>euryarchaeota	15
DUF1700-alpha-helical+PspC+LiaI-LiaF-TM	bacteria>other unclassified bacteria	14
PspC(s)+LiaI-LiaF-TM+Toast-rack(s)	bacteria>fcb group	14
SIG+DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack	bacteria>fcb group	14
PspC	bacteria>chloroflexi	13
PspC+LiaI-LiaF-TM+Toast-rack	bacteria>fcb group	13
PspC	bacteria>proteobacteria>betaproteobacteria	11
PspC	bacteria>spirochaetes	9
SIG+PspC	bacteria>other unclassified bacteria	9
PspC+LiaI-LiaF-TM	bacteria>firmicutes	8
PspC+LiaI-LiaF-TM+Toast-rack	bacteria>other unclassified bacteria	8
DUF1700-alpha-helical+PspC(s)+LiaI-LiaF-TM+Toast-rack	bacteria>fcb group	7
DUF1700-alpha-helical+PspC+TM(s)+Toast-rack	bacteria>fcb group	7
PspC(s)+LiaI-LiaF-TM+Toast-rack	bacteria>fcb group	7
PspC+TM(s)+Toast-rack	bacteria>other unclassified bacteria	7
PspC	archaea>dpann group	6
PspC+TM	bacteria>other unclassified bacteria	6
SIG+PspC+TM(s)	bacteria>actinobacteria	6
PspC	bacteria>fusobacteria	5
PspC	bacteria>pvc group	5
PspC+LiaI-LiaF-TM(s)	bacteria>fcb group	5
PspC+LiaI-LiaF-TM(s)	bacteria>other unclassified bacteria	5
PspC+LiaI-LiaF-TM(s)+HISKIN	bacteria>actinobacteria	5
PspC+TM(s)	NA	5
PspC+TM(s)+GGDEF	bacteria>actinobacteria	5
SIG+PspC	bacteria>proteobacteria>alphaproteobacteria	5
SIG+PspC	bacteria>proteobacteria>deltaproteobacteria	5
SIG+PspC+TM(s)+Toast-rack	bacteria>actinobacteria	5
SIG+Toast-rack	bacteria>proteobacteria>alphaproteobacteria	5
ZNR+PspC	bacteria>acidobacteria	5
PspC+LiaI-LiaF-TM	bacteria>actinobacteria	4
PspC+LiaI-LiaF-TM	bacteria>chloroflexi	4
PspC+LiaI-LiaF-TM(s)	bacteria>actinobacteria	4
PspC+TM	archaea>euryarchaeota	4
PspC+TM(s)	bacteria>chloroflexi	4
PspC+TM(s)	bacteria>fcb group	4
PspC+tRNA-Endonuclease+TM	bacteria>firmicutes	4
SIG+PspC	bacteria>actinobacteria	4
SIG+PspC	bacteria>proteobacteria>gammaproteobacteria	4
SIG+TM	bacteria>proteobacteria>gammaproteobacteria	4
SIG+TM(s)	bacteria>firmicutes	4
SIG+TM+PspC	bacteria>cyanobacteria	4
DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack	bacteria>other unclassified bacteria	3
PspC	bacteria>deinococcus-thermus	3
PspC+LiaI-LiaF-TM	archaea>euryarchaeota	3
PspC+TM(s)+pPIWI	bacteria>actinobacteria	3
PspC+TM(s)+Toast-rack	bacteria>fcb group	3
SIG+DUF1700-alpha-helical+PspC+LiaI-LiaF-TM	bacteria>other unclassified bacteria	3
SIG+PspC	bacteria>fcb group	3
SIG+PspC	bacteria>firmicutes	3
DUF1700-alpha-helical+PspC(s)+LiaI-LiaF-TM+Toast-rack(s)	bacteria>fcb group	2
DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack	NA	2
PspC	bacteria>acidobacteria	2
PspC	bacteria>nitrospirae	2
PspC	bacteria>thermobaculum	2
PspC(s)	bacteria>fcb group	2
PspC+CapsNTD2+LiaI-LiaF-TM	bacteria>other unclassified bacteria	2
PspC+TM	bacteria>armatimonadetes	2
PspC+TM	bacteria>chloroflexi	2
PspC+TM	bacteria>fcb group	2
PspC+TM	bacteria>proteobacteria>gammaproteobacteria	2
PspC+TM(s)	archaea>tack group	2
PspC+TM(s)+EP1	bacteria>actinobacteria	2
PspC+TM(s)+PspC	bacteria>fcb group	2
PspC+Toast-rack	bacteria>firmicutes	2
SIG+PspC(s)+LiaI-LiaF-TM+Toast-rack(s)	bacteria>fcb group	2
SIG+PspC+TM	bacteria>other unclassified bacteria	2
SIG+PspC+TM(s)	bacteria>other unclassified bacteria	2
SIG+TM(s)+PspC	bacteria>cyanobacteria	2
SIG+TM(s)+PspC	bacteria>fcb group	2
TM(s)+PspC	bacteria>fcb group	2
Toast-rack	bacteria>proteobacteria>alphaproteobacteria	2
ZNR+PspC	bacteria>proteobacteria>deltaproteobacteria	2
BZIP+PspC	bacteria>fcb group	1
DUF1700-alpha-helical+PspC	bacteria>fcb group	1
DUF1700-alpha-helical+PspC(s)+TM(s)+Toast-rack(s)	bacteria>fcb group	1
DUF1700-alpha-helical+PspC+LiaI-LiaF-TM(s)	bacteria>fcb group	1
DUF1700-alpha-helical+PspC+LiaI-LiaF-TM(s)+Toast-rack	bacteria>fcb group	1
DUF1700-alpha-helical+PspC+LiaI-LiaF-TM(s)+Toast-rack	bacteria>other unclassified bacteria	1
DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack+SEM1	bacteria>fcb group	1
DUF1700-alpha-helical+PspC+TM(s)+Toast-rack(s)	bacteria>other unclassified bacteria	1
MA+PspC+LiaI-LiaF-TM+Toast-rack	bacteria>fcb group	1
PspB+PspC	bacteria>proteobacteria>gammaproteobacteria	1
PspC	bacteria>armatimonadetes	1
PspC	bacteria>caldiserica	1
PspC	bacteria>dictyoglomi	1
PspC	bacteria>tenericutes	1
PspC(s)	bacteria>deinococcus-thermus	1
PspC(s)	bacteria>other unclassified bacteria	1
PspC(s)	bacteria>proteobacteria>deltaproteobacteria	1
PspC(s)	bacteria>proteobacteria>gammaproteobacteria	1
PspC(s)	bacteria>pvc group	1
PspC(s)+TM(s)+Toast-rack(s)	bacteria>fcb group	1
PspC+5TMR-LYT	bacteria>other unclassified bacteria	1
