GenContext.norep	Lineage.final	count
PspC*->	bacteria>actinobacteria	107
<-PspC*	bacteria>firmicutes	64
<-PspC*<-PspB<-PspA	bacteria>proteobacteria>gammaproteobacteria	58
<-PspC*	bacteria>actinobacteria	55
PspA->PspB->PspC*->	bacteria>proteobacteria>gammaproteobacteria	49
<-PspC*	bacteria>other unclassified bacteria	47
<-PspC*	bacteria>proteobacteria>gammaproteobacteria	46
PspC*->	bacteria>firmicutes	43
<-PspC+TM(s)+Toast-rack*||PspC+TM(s)+HISKIN*->REC+LuxR-HTH->	bacteria>actinobacteria	42
PspC*->	bacteria>other unclassified bacteria	40
<-TM(s)+IIGP1<-CR-ATPase1<-Phageshock_PspD<-PspC*<-PspB<-PspA	bacteria>proteobacteria>gammaproteobacteria	38
<-Phageshock_PspD<-PspC*<-PspB<-PspA	bacteria>proteobacteria>gammaproteobacteria	31
<-PspC*<-?<-ComEA-HHH+S1	bacteria>firmicutes	31
PspC*->	bacteria>proteobacteria>gammaproteobacteria	31
ComEA-HHH+S1->?->PspC*->	bacteria>firmicutes	27
<-PspC*<-PspA	bacteria>proteobacteria>gammaproteobacteria	26
PspA->PspB->PspC*->CR-ATPase1->TM(s)+IIGP1->	bacteria>proteobacteria>gammaproteobacteria	24
PspA->PspB->PspC*->Phageshock_PspD->	bacteria>proteobacteria>gammaproteobacteria	23
<-TM(s)+IIGP1<-CR-ATPase1<-PspC*<-PspB<-PspA	bacteria>proteobacteria>gammaproteobacteria	22
<-PspC*	bacteria>fcb group	21
<-REC+LuxR-HTH<-PspC+TM(s)+HISKIN*||PspC+TM(s)+Toast-rack*->	bacteria>actinobacteria	21
PspC*->	bacteria>fcb group	17
PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*->	bacteria>fcb group	16
PspA->PspB->PspC*->Phageshock_PspD->CR-ATPase1->TM(s)+IIGP1->	bacteria>proteobacteria>gammaproteobacteria	16
