words	freq
Toast-rack	1476
SIG	861
TM(s)	54
DUF1700-alpha-helical	31
LiaI-LiaF-TM	25
Toast-rack(s)	13
LiaI-LiaF-TM(s)	12
PspC	8
DUF2089-HTH	4
CASPASE	3
ASRAH	2
Phage-tail-tape	2
SIGMA-HTH	2
BBOX	1
Beta-Roll	1
EP1	1
FN3	1
HEPN-RES-NTD1-C	1
HTH	1
IG	1
Metallopeptidase	1
PspA	1
PTSEIIC	1
SNF5	1
TBC	1
Tox-X	1
TPR(s)	1
ZetaToxin	1
