words	freq
PspC	2785
TM(s)	427
Toast-rack	287
LiaI-LiaF-TM	257
DUF1700-alpha-helical	137
SIG	128
TM	64
PspC(s)	41
HISKIN	30
LiaI-LiaF-TM(s)	28
Toast-rack(s)	23
ZNR	8
GGDEF	5
PspB	4
tRNA-Endonuclease	4
BZIP	3
pPIWI	3
CapsNTD2	2
EP1	2
5TMR-LYT	1
7TMR-DISM	1
ASRAH	1
GNTR-HTH	1
MA	1
SEM1	1
Tox-ODYAM1	1
XpaC	1
