ClustName.orig	count
CADHERIN+CADHERIN+Calx-beta+ASH-IG+Calx-beta+CADHERIN+CADHERIN+CADHERIN+CADHERIN+CADHERIN+Beta-Roll+Beta-Roll	1
ClpABN-AAA+EP1+ClpABC-AAA	1
DHH	1
DUF1043	1
DUF1700-alpha-helical+LiaI-LiaF-TM+TM	1
DUF1700-alpha-helical+MED2	1
DUF1700-alpha-helical+TM+ICP8OBfold+TM	1
DUF1700-alpha-helical+TM+MED15+MED15	1
DUF1700-alpha-helical+TM+TM+PASTA	1
DUF1700-alpha-helical+TM+TM+TM+MED15+TM+TM+TM	1
DUF1700-alpha-helical+TM+TM+TM+Ruc-ZnR+TM+TM+TM+TM+TM+TM+TM	1
DUF4178+DUF4178	1
DUF4178+DUF4178+TM	1
DUF4178+GGN	1
DUF4178+SAM-methylase	1
ENOYCOADEHYD+TIP49-AAA	1
Exonuc_VII_S	1
FHA+LiaI-LiaF-TM	1
FHIPEP-SIG+TM+TM+TM+TM+TM	1
FilH+Toast-rack+FilH+FilH+TM+DUF637+TM	1
Glyco_tran_28_C+DUF3046	1
HPT+HISKIN+CheW+REC	1
HTH+TM+TM	1
HTH+TM+Toast-rack	1
Hydant_A_N+Hydantoinase_A+Hydantoinase_B	1
Hydantoinase_B	1
LiaI-LiaF-TM+TM+FTSK+FTSK-HTH	1
MED15+MED26C+POZ	1
OmpA-beta-barrel+OmpA	1
PDZ+SH3	1
Phytase-like+Toast-rack+CASPASE	1
POLYSACPOLYMERASE+SHOCT-like	1
PspC+GNTR-HTH	1
PspC+LiaI-LiaF-TM+PspC+TM	1
PspC+TM+LiaI-LiaF-TM+TM	1
PspC+TM+TM+7TMR-DISM+Toast-rack	1
PspC+TM+TM+PspC+TM	1
PspC+XpaC	1
PspN_N	1
Rat1-Kem+Toast-rack	1
RNA-Helicase+TM+TM+LiaI-LiaF-TM	1
SHOCT-like+RADICAL-SAM	1
SHOCT-like+SH3+SAM	1
SHOCT-like+SHOCT-like	1
SIG+ASH-IG+Toast-rack+TPR+TPR+CASPASE	1
SIG+Beta-helix+CarboxypepD-reg-IG+CarboxypepD-reg-IG+CarboxypepD-reg-IG+CarboxypepD-reg-IG	1
SIG+Beta-Roll+Tox-HopH1	1
SIG+CACHE+TM+MA+PilZ	1
SIG+CALCOCO1	1
SIG+CarboxypepD-reg-IG	1
SIG+Copper-bind	1
SIG+DUF1707-SHOCT-bihelical+TM+TM	1
SIG+EP1+OmpA-beta-barrel	1
SIG+FilH+FilH+FilH+DUF637	1
SIG+FilH+FilH+FilH+FilH+TM+TM+TM+TM+TM+TM+TM+TM+TM	1
SIG+FilH+FilH+FilH+Toast-rack	1
SIG+HAMP+MA	1
SIG+HOP2+MED15	1
SIG+IG+Beta-helix+TM+TM+TM+TM+TM+TM+TM	1
SIG+IG+LINK+LINK+LINK+LINK+CLECTIN	1
SIG+MA+TM	1
SIG+MARCKS+SBP_bac_10+SBP_bac_10	1
SIG+Peptidase-S8+TM	1
SIG+Polymerase	1
SIG+SHOCT-like+NtrC-AAA	1
SIG+TM+CD20	1
SIG+TM+LiaI-LiaF-TM+TM+Toast-rack	1
SIG+TM+Metallopeptidase+TM+Toast-rack	1
SIG+TM+TM	1
SIG+TM+TM+PBPB	1
SIG+TM+TM+TM+TM+Beta-Roll+Toast-rack+Toast-rack	1
SIG+TM+TM+TM+TM+TM+TM+IG+RVT	1
SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+PspA+DUF1707-SHOCT-bihelical+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+Lysozyme	1
SIG+TM+TM+Toast-rack+TM	1
SIG+TM+TM+Toast-rack+Toast-rack+Beta-Roll	1
SIG+TM+Toast-rack+Toast-rack	1
SIG+Toast-rack+Concanavalin-like+DUF572+ABhydrolase+C58+Beta-Roll	1
SIG+Toast-rack+EFHAND	1
SIG+Toast-rack+NACHT	1
SIG+Toast-rack+PTX	1
SIG+Toast-rack+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+FN3+TM+TM+TM+TM+TM+TM	1
SIG+Toast-rack+Toast-rack+Toast-rack+CASPASE	1
SIG+Toast-rack+Toast-rack+Toast-rack+VWA+CASPASE	1
SIG+Toast-rack+VWA	1
SIG+ZNR+PspC	1
SNF	1
Snf7+HTH	1
Tail-fiber+LiaI-LiaF-TM+Phytase-like+Phytase-like+BetaPropeller+TM	1
TM+Pkinase	1
TM+Suz+Toast-rack	1
TM+TM+MA	1
TM+TM+TM	1
TM+TM+TM+TM+PspA	1
TM+TM+TM+TM+TM+TM+TM	1
TM+TM+Toast-rack	1
Toast-rack+Beta-Roll	1
Toast-rack+TM+TM	1
Toast-rack+TM+TM+TM+MIP-T3	1
Toast-rack+TM+TM+Toast-rack+TM	1
Toast-rack+Toast-rack+Beta-Roll+Beta-Roll+Beta-Roll	1
Toast-rack+Toast-rack+TM	1
Toast-rack+Toast-rack+Toast-rack+CASPASE	1
Toast-rack+Tox-MCF+Tox-DUF4347-Caspase+Beta-Roll	1
Toast-rack+VWA	1
Tox-DUF4347-Caspase+Toast-rack+PTX+ANTHRAXPAG-N+ANTHRAXPAG-N+IG	1
WD40+WD40+Snf7	1
WXG+Beta-Roll+Tox-HopH1	1
ZNR+DUF4178+DUF4178+TM+TM	1
ZNR+DUF4178+TM	1
ZNR+TM	1
