ClustName.orig	count
MIT+Classical-AAA	1432
ZNR+DUF2089-HTH+SHOCT-like	201
SIG+DUF4178	186
Beta-Propeller+AAA-ATPase	182
Psp-AA	153
DUF4178	118
SHOCT-like+X	118
DUF2089-HTH+SHOCT-like	113
ZnR+DUF4178+ZnR+DUF4178+TM+TM	94
SHOCT-like	58
SIG+HAMP+HISKIN	55
ZNR+DUF2089-HTH	42
ZNR-inactive+DUF2089-HTH+SHOCT-like	34
DUF4178+TM+TM	27
ZnR+DUF4178	12
DUF4178+DUF4178+TM+TM	11
SHOCT-like+Bactofilin	10
DUF4178+TM	8
SHOCT-like+SH3+SAM+SAM	8
Betapropeller	7
DUF5320	6
SHOCT-like+TM+TM	6
SIG+DUF4178+DUF4178+TM+TM	6
SIG+TM	5
SIG+TM+MA	5
TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM	5
35exo+SHOCT-like	4
Na	4
REase+SHOCT-like	4
SIG+DUF4178+TM	4
SIG+DUF4178+TM+TM	4
SIG+MED2	4
SIG+Na+TM+TM+TM+TM+TM+TM	4
TM+DUF4178	4
AAA-ATPase	3
Betapropeller+AAA-ATPase	3
Condensation+AMP-binding+AMP-binding_C+PP-binding+SHOCT-like	3
SIG+DUF4178+DUF4178+TM	3
SIG+DUF4178+TMM	3
SIG+MA	3
SIG+SHOCT-like	3
SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM	3
TM+TM+TM+TM+TM	3
VgrG+DUF2345	3
ASCH	2
Pkinase+BetaPropeller	2
SHOCT-like+C3RHD	2
SHOCT-like+IES1	2
SHOCT-like+TM+TM+TM	2
SHOCT-like+TM+TM+TM+TM	2
SIG+CACHE+TM+HAMP+MA	2
SIG+CACHE+TM+MA	2
SIG+Microvir_H	2
TSRP+FilH+TSRP	2
ZNR+DUF4178	2
NA	2
ANK+CR-Kinase+CR-Kinase	1
ANK+CR-Kinase+FHA+EP1+EP1+DDRP-omega+SAM	1
BACTERIALFRINGE+TM+TM+TM+TM+TM+TM+TIR	1
BACTERIALFRINGE+Toast-rack+CASPASE	1
BBOX+TM+Toast-rack	1
Beta-Roll	1
Beta-Roll+Tox-HopH1	1
