GenContext.norep	Lineage.final	count
<-PspC<-PspB*<-PspA	bacteria>proteobacteria>gammaproteobacteria	165
PspA->PspB*->PspC->	bacteria>proteobacteria>gammaproteobacteria	130
<-PspB*	bacteria>proteobacteria>gammaproteobacteria	50
PspB*->	bacteria>proteobacteria>gammaproteobacteria	40
SIG+PspB*->	bacteria>proteobacteria>gammaproteobacteria	20
<-PspC<-PspB*	bacteria>proteobacteria>gammaproteobacteria	12
<-PspB*<-PspB*<-TM+PspB*<-TM+PspB*<-PspC<-PspB*<-PspA	bacteria>proteobacteria>alphaproteobacteria	11
<-PspC*<-PspB*<-PspA	bacteria>proteobacteria>gammaproteobacteria	10
PspA->PspB*->PspC->	NA	10
PspB*->PspC->	bacteria>proteobacteria>gammaproteobacteria	10
PspA->PspB*->PspC*->	bacteria>proteobacteria>gammaproteobacteria	9
<-NtrC-AAA+FIS-HTH<-?<-?<-?<-PspC<-PspB*<-PspA	bacteria>proteobacteria>gammaproteobacteria	8
PspA->PspB*->PspC->?->?->?->NtrC-AAA+FIS-HTH->	bacteria>proteobacteria>gammaproteobacteria	7
<-PspB*<-?<-ABC-ATPase<-?||?->ABC-ATPase->	bacteria>proteobacteria>gammaproteobacteria	6
<-ABC-ATPase<-?||?->ABC-ATPase->?->PspB*->	bacteria>proteobacteria>gammaproteobacteria	5
<-Cluster12_1clades*<-PspC<-PspB*<-PspA	bacteria>proteobacteria>alphaproteobacteria	5
<-NtrC-AAA+FIS-HTH<-?<-?<-?<-?<-PspC<-PspB*<-PspA	bacteria>proteobacteria>gammaproteobacteria	5
<-PspC<-PspB*<-PspA	NA	5
TM(s)*->	bacteria>firmicutes	5
PspA->PspB*->PspC->?->?->?->?->NtrC-AAA+FIS-HTH->	bacteria>proteobacteria>gammaproteobacteria	4
<-NtrC-AAA+FIS-HTH<-?<-ELM2<-?<-?<-?<-PspC<-PspB*<-PspA	bacteria>proteobacteria>gammaproteobacteria	3
<-NtrC-AAA+FIS-HTH||PspA->PspB*->?->?->?->ABC-ATPase->	bacteria>proteobacteria>alphaproteobacteria	3
<-PspB*<-PspA	bacteria>proteobacteria>alphaproteobacteria	3
<-PspC<-PspB*<-PspA||NtrC-AAA+FIS-HTH->?->?->?->ABC-ATPase->ABC-ATPase->	bacteria>proteobacteria>gammaproteobacteria	3
<-SIG+PspB*	bacteria>proteobacteria>gammaproteobacteria	3
PspA->PspB*->PspC->	bacteria>proteobacteria>alphaproteobacteria	3
PspA->PspB*->PspC->PspB*->PspB*->	bacteria>proteobacteria>alphaproteobacteria	3
PspA->PspB*->PspC->TM+PspB*->PspB*->PspB*->	bacteria>proteobacteria>alphaproteobacteria	3
PspA->PspB*->PspC->TM+PspB*->TM+PspB*->PspB*->	bacteria>proteobacteria>alphaproteobacteria	3
PSYN+AraC-HTH(s)-><-PspB*<-?<-ABC-ATPase<-?||?->ABC-ATPase->	bacteria>proteobacteria>gammaproteobacteria	3
?*->	bacteria>proteobacteria>gammaproteobacteria	2
<-ABC-ATPase<-?<-?<-?<-PspB*<-PspA||NtrC-AAA+FIS-HTH->	bacteria>proteobacteria>alphaproteobacteria	2
<-NtrC-AAA+FIS-HTH<-?<-?<-?<-PspC<-PspB*<-PspA||NtrC-AAA+FIS-HTH->	bacteria>proteobacteria>gammaproteobacteria	2
<-PspB*	bacteria>fcb group	2
<-PspB*	NA	2
<-PspB*<-TM+PspB*<-PspB*<-PspC<-PspB*<-PspA<-?||NtrC-AAA+FIS-HTH->	bacteria>proteobacteria>alphaproteobacteria	2
<-PspC<-PspB*	NA	2
<-PspC<-PspB*<-PspA	bacteria>proteobacteria>alphaproteobacteria	2
<-PspC<-PspB*<-PspA	bacteria>proteobacteria>deltaproteobacteria	2
PspA->PspB*->PspC->	bacteria>proteobacteria>deltaproteobacteria	2
PspB*->?->?->?->ABC-ATPase->	bacteria>proteobacteria>alphaproteobacteria	2
<-?*<-?<-?<-?<-?<-ABC-ATPase	bacteria>proteobacteria>gammaproteobacteria	1
<-ABC-ATPase<-?||?->ABC-ATPase->?->?->PspB*-><-PSYN+AraC-HTH(s)	bacteria>proteobacteria>gammaproteobacteria	1
