GenContext.norep	Lineage.final	count
<-ABC-ATPase<-?||?->ABC-ATPase->?->?*->	bacteria>proteobacteria>gammaproteobacteria	1
<-ABC-ATPase<-?||?->ABC-ATPase->?->PspB*-><-PSYN+AraC-HTH(s)	bacteria>proteobacteria>gammaproteobacteria	1
<-ABC-ATPase||?-><-?<-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->PspB*->TM+PspB*->PspB*->PspB*->	bacteria>proteobacteria>alphaproteobacteria	1
<-ClpABN-AAA+EP1+ClpABC-AAA*	bacteria>actinobacteria	1
<-Cluster17_1clades*	bacteria>proteobacteria>gammaproteobacteria	1
<-Cluster36_2clades<-PspB*	bacteria>fcb group	1
<-DHH*	bacteria>firmicutes	1
<-ELM2||?-><-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->PspB*->?->?->?-><-?<-Cluster36_2clades	bacteria>proteobacteria>alphaproteobacteria	1
<-NtrC-AAA+FIS-HTH<-?<-?<-PspC<-PspB*<-PspA	bacteria>proteobacteria>gammaproteobacteria	1
<-NtrC-AAA+FIS-HTH<-?<-ELM2<-?<-?<-PspC<-PspB*<-PspA	bacteria>proteobacteria>gammaproteobacteria	1
<-NtrC-AAA+FIS-HTH<-?||PspA->PspB*->PspC->	bacteria>proteobacteria>gammaproteobacteria	1
<-NtrC-AAA+FIS-HTH||?->?->PspA->PspB*->	bacteria>proteobacteria>alphaproteobacteria	1
<-NtrC-AAA+FIS-HTH||?-><-?<-?<-?<-PspC<-PspB*<-PspA	bacteria>proteobacteria>gammaproteobacteria	1
<-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->PspB*->TM+PspB*->TM*->PspB*->PspB*->	bacteria>proteobacteria>alphaproteobacteria	1
<-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->PspB*->TM+PspB*->TM+PspB*->PspB*->PspB*->	bacteria>proteobacteria>alphaproteobacteria	1
<-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->TM+PspB*->Cluster16_1clades*->PspB*->	bacteria>proteobacteria>alphaproteobacteria	1
<-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->TM+PspB*->TM+PspB*->PspB*->PspB*->	bacteria>proteobacteria>alphaproteobacteria	1
<-NtrC-AAA+FIS-HTH||PspA->SIG+PspB*->PspC->	bacteria>proteobacteria>deltaproteobacteria	1
<-ParA-Soj-PloopNTPase<-?<-NifX<-?<-BZIP*	bacteria>other unclassified bacteria	1
<-PspB*<-?<-?||?->?->NtrC-AAA+FIS-HTH->	bacteria>fcb group	1
<-PspB*<-?<-TM*<-TM+PspB*<-TM+PspB*<-PspB*<-?*<-PspC<-PspB*<-PspA	bacteria>proteobacteria>alphaproteobacteria	1
<-PspB*<-PspA||NtrC-AAA+FIS-HTH->	bacteria>proteobacteria>alphaproteobacteria	1
<-PspB*<-PspB*<-Cluster16_1clades*<-TM+PspB*<-TM+PspB*<-PspC<-PspB*<-PspA	bacteria>proteobacteria>alphaproteobacteria	1
<-PspB*<-PspB*<-PspC<-PspA	bacteria>proteobacteria>alphaproteobacteria	1
<-PspB*<-PspB*<-TM+PspB*<-PspB*<-PspC<-PspA	bacteria>proteobacteria>alphaproteobacteria	1
<-PspB*<-PspB*<-TM+PspB*<-TM+PspB*<-PspC<-PspB*<-PspA<-?||NtrC-AAA+FIS-HTH->	bacteria>proteobacteria>alphaproteobacteria	1
<-PspB*<-TM+PspB*<-PspC<-PspB*<-PspA	bacteria>proteobacteria>alphaproteobacteria	1
<-PspB+PspC*	bacteria>proteobacteria>gammaproteobacteria	1
<-PspC<-?<-PspB*<-PspB*<-?<-PspA	bacteria>pvc group	1
<-PspC<-PspB*	bacteria>nitrospirae	1
<-PspC<-PspB*	bacteria>proteobacteria>deltaproteobacteria	1
<-PspC<-PspB*<-PspA||?->NtrC-AAA+FIS-HTH->	bacteria>proteobacteria>gammaproteobacteria	1
<-PspC<-PspB*<-PspA||?->NtrC-AAA+FIS-HTH->?->?->?->ABC-ATPase->	bacteria>proteobacteria>gammaproteobacteria	1
<-PspC<-PspB*<-PspA||NtrC-AAA+FIS-HTH->	bacteria>proteobacteria>gammaproteobacteria	1
<-PspC<-PspB*<-PspB*<-PspA	bacteria>proteobacteria>gammaproteobacteria	1
<-PspC<-SIG+PspB*<-PspA	bacteria>proteobacteria>deltaproteobacteria	1
<-PspC<-SIG+PspB*<-PspA||NtrC-AAA+FIS-HTH->	bacteria>proteobacteria>deltaproteobacteria	1
<-TM*<-TM+PspB*<-TM+PspB*<-PspB*<-PspC<-PspB*<-PspA	bacteria>proteobacteria>alphaproteobacteria	1
<-TM||?->?->?->?->?-><-PspB*<-PspB*	bacteria>proteobacteria>alphaproteobacteria	1
Cluster17_1clades*->	bacteria>proteobacteria>gammaproteobacteria	1
Cluster36_2clades->?-><-?<-?<-?<-PspB*<-?*<-PspC<-PspB*<-PspA	bacteria>proteobacteria>alphaproteobacteria	1
Cluster36_2clades->?-><-?<-?<-?<-PspB*<-PspC<-PspB*<-PspA	bacteria>proteobacteria>alphaproteobacteria	1
Cluster36_2clades->?-><-?<-?<-?<-PspB*<-PspC<-PspB*<-PspA||?->?-><-?<-TM<-?||PSYN+AraC-HTH(s)->	bacteria>proteobacteria>alphaproteobacteria	1
Cluster36_2clades->?-><-?<-?<-?<-PspC<-PspB*<-PspA||NtrC-AAA+FIS-HTH->	bacteria>proteobacteria>alphaproteobacteria	1
ENOYCOADEHYD-><-?<-PspC<-PspB*<-PspA	bacteria>proteobacteria>deltaproteobacteria	1
NtrC-AAA+FIS-HTH->PspB*->	bacteria>proteobacteria>gammaproteobacteria	1
PspA->PspB*->	bacteria>proteobacteria>alphaproteobacteria	1
PspA->PspB*->PspC->?->?->?->?->?->NtrC-AAA+FIS-HTH->	bacteria>proteobacteria>gammaproteobacteria	1
PspA->PspB*->PspC->?->?->ELM2->	bacteria>proteobacteria>gammaproteobacteria	1
PspA->PspB*->PspC->?->?->NtrC-AAA+FIS-HTH->	bacteria>proteobacteria>gammaproteobacteria	1
PspA->PspB*->PspC->?->?*->?->?*->	bacteria>proteobacteria>alphaproteobacteria	1
PspA->PspB*->PspC->?->ENOYCOADEHYD->	bacteria>proteobacteria>gammaproteobacteria	1
PspA->PspB*->PspC->?->PspB*->	bacteria>proteobacteria>alphaproteobacteria	1
PspA->PspB*->PspC->?*->PspB*->?->?->?-><-?<-Cluster36_2clades	bacteria>proteobacteria>alphaproteobacteria	1
PspA->PspB*->PspC->PspB*->?->?->?-><-?<-Cluster36_2clades	bacteria>proteobacteria>alphaproteobacteria	1
PspA->PspB*->PspC->PspB*->TM+PspB*->PspB*->	bacteria>proteobacteria>alphaproteobacteria	1
PspA->PspB*->PspC->PspB*->TM+PspB*->TM+PspB*->	bacteria>proteobacteria>alphaproteobacteria	1
PspA->PspB*->PspC->PspB*->TM+PspB*->TM+PspB*->PspB*->	bacteria>proteobacteria>alphaproteobacteria	1
PspA->PspB*->PspC->PspC->?*->	bacteria>proteobacteria>gammaproteobacteria	1
PspA->PspB*->PspC->TM+PspB*->?->PspB*->	bacteria>proteobacteria>alphaproteobacteria	1
PspA->PspB*->PspC->TM+PspB*->TM+PspB*->PspB*->PspB*->	NA	1
PspA->PspC->PspB*->PspB*->PspB*->	bacteria>proteobacteria>alphaproteobacteria	1
PspB*->	bacteria>firmicutes	1
PspB*->	bacteria>proteobacteria>epsilonproteobacteria	1
PspB*->?*->SIG+PspB*->	bacteria>proteobacteria>gammaproteobacteria	1
PspB*-><-PSYN+AraC-HTH(s)	bacteria>proteobacteria>gammaproteobacteria	1
PspB*->PspC->?-><-ABC-ATPase	bacteria>proteobacteria>gammaproteobacteria	1
PspB+STYKIN*->	bacteria>proteobacteria>deltaproteobacteria	1
SIG+TM(s)+PBPB+PspB*->	eukaryota>metazoa	1
SIG+TM*->	bacteria>proteobacteria>gammaproteobacteria	1
TM-><-?<-?<-?<-PspC<-PspB*<-PspA	bacteria>proteobacteria>gammaproteobacteria	1
TM-><-PspC<-?<-PspB*<-PspB*<-PspB*	bacteria>other unclassified bacteria	1
TM(s)+PspB+TM*->	bacteria>cyanobacteria	1
TM*->	eukaryota>others	1
