ClusterID	ClusterName	Total
000022.10	PspC+TM+TM+TM+TM	10
000023.10	PspC	10
000043.10	PspA	10
000084.10	DUF1700-alpha-helical+Toast-rack	10
000085.10	Toast-rack	10
000086.10	SIG+Toast-rack	10
000087.10	SIG+Toast-rack	10
000088.10	SIG+Toast-rack	10
000089.10	SIG+Toast-rack	10
000090.10	SIG+Toast-rack	10
000091.10	SIG+Toast-rack	10
000092.10	SIG+Toast-rack	10
000000.1	DUF1700-alpha-helical	9
000000.1	DUF1700-alpha-helical+TM	9
000015.9	PspC+LiaI-LiaF-TM+Toast-Rack	9
000016.9	LiaI-LiaF-TM	9
000019.9	SIG+DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack	9
000020.9	DUF1700-alpha-helical+TM+TM+TM	9
000024.9	PspC+TM+TM+TM+TM	9
000025.9	PspC+LiaI-LiaF-TM+Toast-rack	9
000026.9	PspC+TM+TM+TM+TM+Toast-rack	9
000044.9	SIG+TM+TM+EP1	9
000045.9	FERM+EP1	9
000093.9	PspC+TM+TM+TM+TM+Toast-rack	9
000094.9	LiaI-LiaF-TM+Toast-rack	9
000095.9	Toast-rack	9
000096.9	SIG+Toast-rack	9
000097.9	Toast-rack	9
000098.9	LiaI-LiaF-TM+Toast-rack	9
000099.9	SIG+Toast-rack	9
000100.9	SIG+Toast-rack	9
000000.1	PspC+LiaI-LiaF-TM	8
000000.1	SidE	8
000008.8	PspB	8
000017.8	PspC+LiaI-LiaF-TM+Toast-rack	8
000018.8	SIG+TM+TM+TM+TM+TM+TM	8
000021.8	DUF1700-alpha-helical+TM+TM	8
000027.8	PspC+LiaI-LiaF-TM+Toast-rack	8
000028.8	PspC+TM+TM+TM+TM+TM+Toast-rack	8
000029.8	PspC	8
000030.8	PspC	8
000031.8	PspC	8
000046.8	SIG+EP1	8
000047.8	PspA	8
000101.8	PDZ+Toast-rack	8
000104.8	PspC+TM+TM+TM+TM+TM+Toast-rack	8
000105.8	SIG+Toast-rack	8
000106.8	SIG+Toast-rack	8
000107.8	SIG+Toast-rack	8
000108.8	SIG+Toast-rack	8
000109.8	SIG+Toast-rack	8
000110.8	SIG+Toast-rack	8
000111.8	SIG+Toast-rack	8
000112.8	SIG+Toast-rack	8
000002.7	SIG+Toast-rack+DUF2345+DUF637N+DUF637+PT-VENN+Tox-Deam-DxE	7
000009.7	PspB	7
000010.7	SIG+DUF1707-SHOCT-bihelical+TM	7
000019.7	DUF1700-alpha-helical+PspC+LiaI-LiaF-TM	7
000020.7	LiaI-LiaF-TM+Toast-rack	7
000022.7	DUF1700-alpha-helical+PspC+LiaI-LiaF-TM	7
000023.7	DUF1700-alpha-helical+TM+TM+TM	7
000024.7	DUF1700-alpha-helical+TM+TM+TM	7
000025.7	DUF1700-alpha-helical+TM+TM+TM+TM	7
000032.7	DUF1700-alpha-helical+PspC+LiaI-LiaF-TM	7
000033.7	PspC+TM	7
000034.7	PspC	7
000048.7	WXG+IG+IG+IG+IG+SH3+FN3+FN3+FN3	7
000049.7	EP1+EP1+EP1	7
000050.7	PspA	7
000051.7	DISCOIDIN+MA+MA	7
000052.7	Snf7	7
000053.7	Snf7	7
000113.7	PspC+LiaI-LiaF-TM+Toast-Rack	7
000114.7	SIG+Toast-rack	7
000115.7	Toast-rack	7
000116.7	Toast-rack+TM	7
000117.7	SIG+Toast-rack	7
000118.7	SIG+Toast-rack	7
000119.7	SIG+TM+TM+Toast-rack	7
000120.7	Toast-rack	7
000121.7	SIG+Toast-rack	7
000122.7	LiaI-LiaF-TM+TM+Toast-rack	7
000123.7	SIG+Toast-rack	7
000124.7	SIG+Toast-rack	7
000125.7	Toast-rack	7
000126.7	SIG+Toast-rack	7
000127.7	Toast-rack	7
000128.7	DUF1707-SHOCT-bihelical+Toast-rack	7
000129.7	SIG+TM+Toast-rack	7
000000.1	PspC+LiaI-LiaF-TM+Toast-rack	6
000000.1	SIG+Beta-Helix+Toast-rack+CASPASE	6
000010.6	BZIP	6
000011.6	DUF1707-SHOCT-bihelical+TM+TM+TM	6
000012.6	DUF1707-SHOCT-bihelical+TM	6
000021.6	DUF1700-alpha-helical+PspC+PspC+LiaI-LiaF-TM+Toast-Rack	6
000022.6	DUF1700-alpha-helical+PspC+LiaI-LiaF-TM	6
000023.6	LiaI-LiaF-TM+Toast-rack	6
000026.6	DUF1700-alpha-helical+Toast-rack	6
000027.6	DUF1700-alpha-helical+TM+TM+TM+TM+TM	6
000028.6	DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM	6
000035.6	DUF1700-alpha-helical+PspC+PspC+LiaI-LiaF-TM+Toast-rack	6
000036.6	PspC+TM+TM+TM+TM+Toast-rack	6
000037.6	DUF1700-alpha-helical+PspC+LiaI-LiaF-TM	6
000038.6	SIG+TM+PspC	6
000039.6	PspC+LiaI-LiaF-TM	6
000040.6	SIG+PspC	6
000054.6	SIG+WW+EP1+EP1	6
000055.6	SIG+Tox-DDRGK+EP1	6
000056.6	FKBP+EP1+PspA	6
000057.6	SbcC+PspA+SIGMA-HTH+SbcC	6
000058.6	MA	6
000059.6	ClpABN-AAA+EP1+ClpABC-AAA	6
000060.6	Snf7	6
000061.6	SIG+PspA+PTSEIIA1	6
000062.6	Snf7	6
000063.6	SIG+Snf7	6
000064.6	PspA	6
000065.6	Snf7	6
000130.6	SIG+Toast-rack+TM	6
000131.6	SIG+Toast-rack	6
000132.6	PspC+TM+TM+TM+TM+Toast-rack	6
000133.6	SIG+Toast-rack	6
000134.6	Toast-rack	6
000135.6	Toast-rack	6
000136.6	SIG+Toast-rack	6
000137.6	TM+Toast-rack	6
000138.6	SIG+Toast-rack	6
000139.6	LiaI-LiaF-TM+Toast-rack	6
