Species	Lineage.final	Lineage.final.old	Domain
Haloferax gibbonsii	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Haloferax mediterranei ATCC 33500	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Haloferax volcanii DS2	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Halogeometricum borinquense DSM 11551	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Halolamina sediminis	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Halomicrobium mukohataei DSM 12286	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Halopiger xanaduensis SH6	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Haloquadratum walsbyi C23	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Haloquadratum walsbyi DSM 16790	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Halorhabdus tiamatea SARL4B	archaea>euryarchaeota	archaea>euryarchaeota	archaea
