Species	Lineage.final	Lineage.final.old	Domain
Strigomonas culicis	eukaryota>euglenozoa	eukaryota>euglenozoa	eukaryota
Trypanosoma brucei gambiense DAL972	eukaryota>euglenozoa	eukaryota>euglenozoa	eukaryota
Trypanosoma cruzi	eukaryota>euglenozoa	eukaryota>euglenozoa	eukaryota
Trypanosoma grayi	eukaryota>euglenozoa	eukaryota>euglenozoa	eukaryota
Giardia intestinalis	eukaryota>others	eukaryota>excavata	eukaryota
Giardia lamblia ATCC 50803	eukaryota>others	eukaryota>excavata	eukaryota
Spironucleus salmonicida	eukaryota>others	eukaryota>excavata	eukaryota
Emiliania huxleyi CCMP1516	eukaryota>others	eukaryota>haptophyceae	eukaryota
Naegleria gruberi	eukaryota>others	eukaryota>excavata	eukaryota
Fonticula alba	eukaryota>others	eukaryota>opisthokonta	eukaryota
Monosiga brevicollis MX1	eukaryota>holozoa	eukaryota>opisthokonta>holozoa	eukaryota
Salpingoeca rosetta	eukaryota>holozoa	eukaryota>opisthokonta>holozoa	eukaryota
Allomyces macrogynus ATCC 38327	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Conidiobolus coronatus NRRL 28638	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Mortierella verticillata NRRL 6337	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Mucor circinelloides f circinelloides 1006PhL	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Phycomyces blakesleeanus NRRL 1555	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Rhizophagus irregularis DAOM 197198w	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Rhizopus delemar RA 99880	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Rozella allomycis CSF55	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Zancudomyces culisetae	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Arthrobotrys oligospora ATCC 24927	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Aspergillus nidulans FGSC A4	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Aureobasidium namibiae CBS 14797	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Candida albicans SC5314	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Chaetomium globosum CBS 14851	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Clavispora lusitaniae ATCC 42720	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Histoplasma capsulatum NAm1	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Kluyveromyces lactis	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Neurospora crassa OR74A	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Penicillium digitatum Pd1	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Pichia membranifaciens NRRL Y2026	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Saccharomyces cerevisiae S288c	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Saitoella complicata NRRL Y17804	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Schizosaccharomyces japonicus yFS275	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Schizosaccharomyces pombe	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Sugiyamaella lignohabitans	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Tuber melanosporum	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Wickerhamomyces anomalus NRRL Y3668	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Xylona heveae TC161	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Yarrowia lipolytica CLIB122	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Agaricus bisporus var burnettii JB137S8	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Coprinopsis cinerea okayama7130	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Cryptococcus neoformans var grubii H99	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Cutaneotrichosporon oleaginosus	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Fomitopsis pinicola FP58527 SS1	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Laccaria bicolor S238NH82	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Malassezia pachydermatis	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Mixia osmundae IAM 14324	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Postia placenta Mad698R	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Puccinia graminis f sp tritici CRL 75367003	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Rhodotorula graminis WP1	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Tilletiaria anomala UBC 951	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Ustilago maydis 521	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Wallemia mellicola CBS 63366	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Batrachochytrium dendrobatidis JAM81	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Spizellomyces punctatus DAOM BR117	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Encephalitozoon cuniculi GBM1	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Enterocytozoon bieneusi H348	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Mitosporidium daphniae	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Nematocida parisii ERTm1	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Nosema ceranae BRL01	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Ordospora colligata OC4	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Vavraia culicis subsp floridensis	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Vittaforma corneae ATCC 50505	eukaryota>fungi	eukaryota>opisthokonta>fungi	eukaryota
Capsaspora owczarzaki ATCC 30864	eukaryota>holozoa	eukaryota>opisthokonta>holozoa	eukaryota
Sphaeroforma arctica JP610	eukaryota>holozoa	eukaryota>opisthokonta>holozoa	eukaryota
Amphimedon queenslandica	eukaryota>metazoa	eukaryota>opisthokonta>metazoa	eukaryota
Echinococcus granulosus	eukaryota>metazoa	eukaryota>opisthokonta>metazoa	eukaryota
Echinococcus multilocularis	eukaryota>metazoa	eukaryota>opisthokonta>metazoa	eukaryota
Intoshia linei	eukaryota>metazoa	eukaryota>opisthokonta>metazoa	eukaryota
Ixodes scapularis	eukaryota>metazoa	eukaryota>opisthokonta>metazoa	eukaryota
Limulus polyphemus	eukaryota>metazoa	eukaryota>opisthokonta>metazoa	eukaryota
Lingula anatina	eukaryota>metazoa	eukaryota>opisthokonta>metazoa	eukaryota
Opisthorchis viverrini	eukaryota>metazoa	eukaryota>opisthokonta>metazoa	eukaryota
Priapulus caudatus	eukaryota>metazoa	eukaryota>opisthokonta>metazoa	eukaryota
Schistosoma mansoni	eukaryota>metazoa	eukaryota>opisthokonta>metazoa	eukaryota
Helobdella robusta	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Branchiostoma floridae	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Ciona intestinalis	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Oikopleura dioica	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Gallus gallus	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Homo sapiens	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Macaca fascicularis	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Mus musculus	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Nomascus leucogenys	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Xenopus laevis	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Danio rerio	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Ictalurus punctatus	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Takifugu rubripes	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Tetraodon nigroviridis	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Acropora digitifera	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Exaiptasia pallida	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Hydra vulgaris	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Nematostella vectensis	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Daphnia pulex	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Strongylocentrotus purpuratus	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Saccoglossus kowalevskii	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Acyrthosiphon pisum	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Apis mellifera	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Bombyx mori	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Culex quinquefasciatus	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Drosophila melanogaster	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Harpegnathos saltator	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Tribolium castaneum	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Crassostrea gigas	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Lottia gigantea	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Octopus bimaculoides	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Ascaris suum	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Brugia malayi	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Caenorhabditis elegans	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Trichinella spiralis	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Trichoplax adhaerens	eukaryota>metazoa	eukaryota>opisthokonta>metazoa>animalia	eukaryota
Trichomonas vaginalis G3	eukaryota>others	eukaryota>excavata	eukaryota
Tritrichomonas foetus	eukaryota>others	eukaryota>excavata	eukaryota
Reticulomyxa filosa	eukaryota>sar>rhizaria	eukaryota>sar>rhizaria	eukaryota
Plasmodiophora brassicae	eukaryota>sar>rhizaria	eukaryota>sar>rhizaria	eukaryota
Chondrus crispus	eukaryota>archaeplastida>rhodophyta	eukaryota>archaeplastida>rhodophyta	eukaryota
Cyanidioschyzon merolae strain 10D	eukaryota>archaeplastida>rhodophyta	eukaryota>archaeplastida>rhodophyta	eukaryota
Galdieria sulphuraria	eukaryota>archaeplastida>rhodophyta	eukaryota>archaeplastida>rhodophyta	eukaryota
Aphanomyces astaci	eukaryota>sar>stramenopiles	eukaryota>sar>stramenopiles	eukaryota
Aphanomyces invadans	eukaryota>sar>stramenopiles	eukaryota>sar>stramenopiles	eukaryota
