DomArch.norep	Lineage.final	count
APG6+Snf7	eukaryota>sar>stramenopiles	1
bZIP_2	eukaryota>fungi	1
CALCOCO1	eukaryota>others	1
DHBP_synthase+Snf7	eukaryota>fungi	1
FBPase+Snf7+ALAD	eukaryota>archaeplastida>viridiplantae>chlorophyta	1
FCH+SH3_9+Snf7	eukaryota>holozoa	1
Flavoprotein+Snf7	NA	1
HAD_2+TM(s)+DUF3667+Snf7+TM(s)	bacteria>fcb group	1
HMGL-like+Snf7	eukaryota>sar>stramenopiles	1
Hydrolase_4+Snf7	eukaryota>sar>alveolata	1
Lactamase_B_2+Snf7	eukaryota>fungi	1
LRAT+PspA_IM30	bacteria>cyanobacteria	21
LRAT+TM+PspA_IM30	bacteria>cyanobacteria	2
Med25_SD1+Snf7	eukaryota>sar>alveolata	1
Peptidase_C14+Snf7	eukaryota>fungi	1
Pkinase+TPH	eukaryota>sar>alveolata	1
PMSR+G-patch+RRM_1+Snf7	eukaryota>sar>alveolata	1
PspA_IM30(s)	bacteria>cyanobacteria	2
PspA_IM30+ComFB	bacteria>cyanobacteria	1
PspA_IM30+PAT1	bacteria>actinobacteria	1
PspA_IM30+SPATA3	bacteria>actinobacteria	1
PspA_IM30+TFIIF_alpha	eukaryota>euglenozoa	1
SIG	bacteria>firmicutes	2
SIG	bacteria>other unclassified bacteria	2
SIG	eukaryota>others	2
SIG	eukaryota>sar>alveolata	2
SIG	archaea>euryarchaeota	1
SIG	bacteria>proteobacteria>gammaproteobacteria	1
SIG	eukaryota>amoebozoa	1
SIG	eukaryota>archaeplastida>rhodophyta	1
SIG	eukaryota>sar>stramenopiles	1
SIG+CALCOCO1	bacteria>proteobacteria>deltaproteobacteria	1
SIG+DIRP+Asp_protease_2+Snf7	eukaryota>metazoa	1
SIG+DUF1639+Snf7	eukaryota>archaeplastida>viridiplantae	1
SIG+DUF3584	bacteria>pvc group	1
SIG+HATPase_c_3+HSP90+TM(s)+HATPase_c_3+HSP90+Snf7	eukaryota>sar>alveolata	1
SIG+HMGL-like+Snf7	eukaryota>sar>stramenopiles	1
SIG+LRAT+PspA_IM30	bacteria>cyanobacteria	1
SIG+PspA_IM30	eukaryota>archaeplastida>viridiplantae	22
SIG+PspA_IM30	bacteria>proteobacteria>alphaproteobacteria	16
SIG+PspA_IM30	eukaryota>archaeplastida>viridiplantae>chlorophyta	12
SIG+PspA_IM30	bacteria>actinobacteria	8
SIG+PspA_IM30	bacteria>cyanobacteria	8
SIG+PspA_IM30	eukaryota>sar>stramenopiles	4
SIG+PspA_IM30	archaea>euryarchaeota	3
SIG+PspA_IM30	eukaryota>others	3
SIG+PspA_IM30	bacteria>proteobacteria>deltaproteobacteria	2
SIG+PspA_IM30	bacteria>proteobacteria>gammaproteobacteria	2
SIG+PspA_IM30	eukaryota>sar>alveolata	2
SIG+PspA_IM30	bacteria>chloroflexi	1
SIG+PspA_IM30	bacteria>proteobacteria>betaproteobacteria	1
SIG+PspA_IM30	eukaryota>archaeplastida>rhodophyta	1
SIG+Snf7	eukaryota>metazoa	65
SIG+Snf7	eukaryota>fungi	40
SIG+Snf7	eukaryota>sar>stramenopiles	22
SIG+Snf7	eukaryota>archaeplastida>viridiplantae	20
SIG+Snf7	eukaryota>sar>alveolata	20
SIG+Snf7	eukaryota>euglenozoa	14
SIG+Snf7	NA	13
SIG+Snf7	eukaryota>others	12
SIG+Snf7	eukaryota>amoebozoa	9
SIG+Snf7	eukaryota>archaeplastida>viridiplantae>chlorophyta	6
SIG+Snf7	archaea>asgard group	5
SIG+Snf7	eukaryota>holozoa	5
SIG+Snf7	eukaryota>archaeplastida>rhodophyta	2
SIG+Snf7	eukaryota>sar>rhizaria	1
SIG+Snf7+Acetyltransf_1	eukaryota>archaeplastida>viridiplantae>chlorophyta	1
SIG+Snf7+Trypan_PARP	eukaryota>fungi	1
SIG+Spc7	bacteria>firmicutes	4
SIG+TM	eukaryota>archaeplastida>viridiplantae>chlorophyta	1
SIG+TM	eukaryota>sar>stramenopiles	1
SIG+TM+PspA_IM30	eukaryota>others	1
SIG+TM+Snf7	eukaryota>others	1
Snf7(s)	eukaryota>metazoa	1
Snf7+Borrelia_P83+DnaJ_C	eukaryota>amoebozoa	1
Snf7+CBM_19	eukaryota>fungi	1
Snf7+DUF3584	eukaryota>holozoa	1
Snf7+eIF-3_zeta	eukaryota>metazoa	1
Snf7+HTH_psq	eukaryota>metazoa	1
Snf7+Methyltransf_25+WBS_methylT	eukaryota>archaeplastida>viridiplantae>chlorophyta	1
Snf7+Nucleoporin_FG+Nsp1_C	eukaryota>sar>alveolata	1
Snf7+Proteasome	eukaryota>sar>alveolata	2
Snf7+Reo_sigmaC	NA	1
Snf7+S1+EIF_2_alpha	eukaryota>sar>alveolata	1
Snf7+TM	eukaryota>sar>rhizaria	1
Snf7+TM	NA	1
Snf7+TM(s)	eukaryota>sar>alveolata	1
Snf7+UQ_con	eukaryota>sar>stramenopiles	1
Snf7+Vps36_ESCRT-II+EAP30	eukaryota>metazoa	1
Snf7+zf-C2H2_jaz	eukaryota>fungi	1
SRR1+Snf7	eukaryota>fungi	1
Thioredoxin_8+PspA_IM30	eukaryota>sar>alveolata	1
TM(s)+PspA_IM30	bacteria>cyanobacteria	1
TM(s)+Snf7+Atrophin-1+ParcG	eukaryota>metazoa	1
TM+Snf7	eukaryota>sar>rhizaria	1
UB2H+Snf7	eukaryota>sar>rhizaria	1
WD40(s)+Snf7	eukaryota>sar>stramenopiles	1
