DomArch.norep	Lineage.final	count
SIG+Toast-rack	bacteria>firmicutes	328
Toast-rack	bacteria>actinobacteria	250
Toast-rack	bacteria>firmicutes	166
SIG+Toast-rack	bacteria>proteobacteria>gammaproteobacteria	132
SIG+Toast-rack	bacteria>fcb group	95
SIG+Toast-rack	bacteria>actinobacteria	90
SIG+Toast-rack	bacteria>other unclassified bacteria	51
Toast-rack	archaea>euryarchaeota	25
DUF1700-alpha-helical+Toast-rack	bacteria>firmicutes	23
SIG+Toast-rack	archaea>euryarchaeota	22
LiaI-LiaF-TM+Toast-rack	bacteria>firmicutes	21
SIG+Toast-rack	eukaryota>metazoa	20
SIG+Toast-rack	bacteria>acidobacteria	15
Toast-rack	bacteria>deinococcus-thermus	14
Toast-rack	bacteria>other unclassified bacteria	13
SIG+Toast-rack	bacteria>proteobacteria>deltaproteobacteria	11
Toast-rack	bacteria>thermotogae	9
PspC+Toast-rack	bacteria>firmicutes	8
SIG+Toast-rack	bacteria>proteobacteria>alphaproteobacteria	8
TM(s)+Toast-rack	bacteria>actinobacteria	8
Toast-rack	eukaryota>metazoa	8
LiaI-LiaF-TM(s)+Toast-rack	bacteria>firmicutes	7
SIG+Toast-rack	archaea>others	7
SIG+Toast-rack	bacteria>deinococcus-thermus	7
SIG+Toast-rack	bacteria>spirochaetes	7
Toast-rack	bacteria>fcb group	7
SIG+TM(s)+Toast-rack	bacteria>firmicutes	6
SIG+TM(s)+Toast-rack	eukaryota>sar>stramenopiles	5
SIG+Toast-rack	bacteria>pvc group	5
TM(s)+Toast-rack	eukaryota>fungi	5
Toast-rack	bacteria>chloroflexi	5
SIG+TM(s)+Toast-rack	bacteria>other unclassified bacteria	4
SIG+Toast-rack	eukaryota>fungi	4
Toast-rack	bacteria>proteobacteria>deltaproteobacteria	4
SIG+Toast-rack	bacteria>chloroflexi	3
SIG+Toast-rack	bacteria>tenericutes	3
TM(s)+Toast-rack	bacteria>firmicutes	3
Toast-rack	bacteria>armatimonadetes	3
Toast-rack	eukaryota>fungi	3
DUF1700-alpha-helical+TM(s)+Toast-rack	bacteria>firmicutes	2
DUF1700-alpha-helical+TM(s)+Toast-rack	bacteria>tenericutes	2
DUF2089-HTH+Toast-rack	bacteria>firmicutes	2
Phage-tail-tape+Toast-rack	bacteria>firmicutes	2
SIG+ASRAH+Toast-rack	bacteria>other unclassified bacteria	2
SIG+LiaI-LiaF-TM(s)+Toast-rack	bacteria>acidobacteria	2
SIG+TM(s)+Toast-rack	eukaryota>fungi	2
SIG+Toast-rack	archaea>tack group	2
SIG+Toast-rack	bacteria>cyanobacteria	2
