DomArch.norep	Lineage.final	count
SIG+Toast-rack	bacteria>thermotogae	2
SIG+Toast-rack	eukaryota>holozoa	2
SIG+Toast-rack	eukaryota>sar>stramenopiles	2
SIG+Toast-rack(s)	bacteria>firmicutes	2
SIGMA-HTH+Toast-rack	bacteria>firmicutes	2
TM(s)+Toast-rack	bacteria>chloroflexi	2
Toast-rack	archaea>tack group	2
Toast-rack	bacteria>dictyoglomi	2
Toast-rack	bacteria>proteobacteria>gammaproteobacteria	2
BBOX+TM(s)+Toast-rack	bacteria>caldiserica	1
DUF1700-alpha-helical+PTSEIIC+Toast-rack	bacteria>firmicutes	1
DUF1700-alpha-helical+Toast-rack	bacteria>spirochaetes	1
DUF1700-alpha-helical+Toast-rack	bacteria>tenericutes	1
DUF1700-alpha-helical+ZetaToxin+Toast-rack	bacteria>firmicutes	1
DUF2089-HTH+Toast-rack	bacteria>other unclassified bacteria	1
HEPN-RES-NTD1-C+Toast-rack	bacteria>firmicutes	1
HTH+TM(s)+Toast-rack	bacteria>actinobacteria	1
LiaI-LiaF-TM(s)+Toast-rack	bacteria>acidobacteria	1
LiaI-LiaF-TM+Toast-rack	bacteria>acidobacteria	1
LiaI-LiaF-TM+Toast-rack(s)	bacteria>acidobacteria	1
LiaI-LiaF-TM+Toast-rack+EP1	bacteria>acidobacteria	1
LiaI-LiaF-TM+Toast-rack+PspA	bacteria>acidobacteria	1
SIG	bacteria>firmicutes	1
SIG	eukaryota>sar>alveolata	1
SIG+IG+Toast-rack+TPR(s)+CASPASE	bacteria>cyanobacteria	1
SIG+TM(s)+LiaI-LiaF-TM(s)+Toast-rack	bacteria>firmicutes	1
SIG+TM(s)+Metallopeptidase+TM(s)+Toast-rack	bacteria>pvc group	1
SIG+TM(s)+Toast-rack	archaea>euryarchaeota	1
SIG+TM(s)+Toast-rack	bacteria>fcb group	1
SIG+TM(s)+Toast-rack	bacteria>pvc group	1
SIG+TM(s)+Toast-rack(s)+Beta-Roll	eukaryota>sar>stramenopiles	1
SIG+Toast-rack	archaea>asgard group	1
SIG+Toast-rack	bacteria>elusimicrobia	1
SIG+Toast-rack	bacteria>proteobacteria>betaproteobacteria	1
SIG+Toast-rack	eukaryota>archaeplastida>viridiplantae>chlorophyta	1
SIG+Toast-rack(s)	bacteria>acidobacteria	1
SIG+Toast-rack(s)	bacteria>other unclassified bacteria	1
SIG+Toast-rack(s)	bacteria>proteobacteria>betaproteobacteria	1
SIG+Toast-rack(s)	bacteria>spirochaetes	1
SIG+Toast-rack(s)+CASPASE	bacteria>cyanobacteria	1
SIG+Toast-rack+CASPASE	bacteria>cyanobacteria	1
SIG+Toast-rack+TM(s)+FN3+TM(s)	eukaryota>archaeplastida>viridiplantae>chlorophyta	1
TBC+Toast-rack	bacteria>firmicutes	1
TM(s)+LiaI-LiaF-TM(s)+Toast-rack	bacteria>firmicutes	1
TM(s)+Toast-rack	archaea>euryarchaeota	1
TM(s)+Toast-rack	bacteria>proteobacteria>alphaproteobacteria	1
TM(s)+Toast-rack	eukaryota>others	1
Toast-rack	bacteria>caldiserica	1
Toast-rack	bacteria>cyanobacteria	1
Toast-rack	bacteria>pvc group	1
Toast-rack	bacteria>spirochaetes	1
Toast-rack	eukaryota>archaeplastida>viridiplantae	1
Toast-rack(s)	bacteria>actinobacteria	1
Toast-rack(s)	bacteria>chloroflexi	1
Toast-rack(s)	eukaryota>metazoa	1
Toast-rack(s)	eukaryota>sar>stramenopiles	1
Toast-rack+DUF2089-HTH	bacteria>thermobaculum	1
Toast-rack+SNF5	bacteria>chloroflexi	1
Tox-X+Toast-rack	bacteria>armatimonadetes	1
