words	freq
PspB*	663
PspA	438
PspC	435
NtrC-AAA+FIS-HTH	64
TM+PspB*	56
ABC-ATPase	51
SIG+PspB*	27
PspC*	19
NifX	9
Cluster36_2clades	8
PSYN+AraC-HTH(s)	7
BZIP*	6
ELM2	6
Cluster12_1clades*	5
TM(s)*	5
TM	4
TM*	4
FURR-HTH	3
ParA-Soj-PloopNTPase	3
Cluster16_1clades*	2
Cluster17_1clades*	2
ENOYCOADEHYD	2
ClpABN-AAA+EP1+ClpABC-AAA*	1
DHH*	1
PspB+PspC*	1
PspB+STYKIN*	1
SIG+TM(s)+PBPB+PspB*	1
SIG+TM*	1
TM(s)+PspB+TM*	1
