Lineage	count
bacteria>chrysiogenetes	1
bacteria>elusimicrobia>elusimicrobia	1
bacteria>fibrobacteres	1
viruses	2
archaea>thaumarchaeota	3
bacteria>deferribacteres	3
bacteria>synergistetes	3
bacteria>thermobaculum	4
bacteria>thermodesulfobacteria	4
eukaryota>fungi>microsporidia	4
bacteria>caldiserica	5
bacteria>proteobacteria>zetaproteobacteria	5
bacteria>chlorobi	6
eukaryota>fungi>neocallimastigomycota	6
bacteria>dictyoglomi	8
bacteria>fusobacteria	8
eukaryota	8
viruses>dsdna viruses, no rna stage>caudovirales	8
eukaryota>rhizaria>cercozoa>plasmodiophorida	9
bacteria>calditrichaeota	10
eukaryota>metazoa>placozoa	10
eukaryota>metazoa>platyhelminthe	10
eukaryota>apusozoa>apusomonadidae	11
eukaryota>fungi>kickxellomycotina	11
eukaryota>amoebozoa>acanthamoebidae	12
eukaryota>metazoa>crustacea	12
eukaryota>heterolobosea	13
eukaryota>metazoa>arthropoda>myriapoda	13
eukaryota>cryptophyta	14
eukaryota>metazoa>hemichordata	14
eukaryota>haptophyceae	15
eukaryota>diplomonadida	17
bacteria>ignavibacteriae	18
eukaryota>ichthyosporea	19
eukaryota>amoebozoa>entamoebidae	20
eukaryota>fungi>chytridiomycota	20
eukaryota>metazoa>echinodermata	20
eukaryota>rhodophyta	21
bacteria>proteobacteria	22
bacteria>aquificae	23
eukaryota>metazoa>annelida	23
eukaryota>rhizaria	24
archaea>crenarchaeota	25
bacteria>armatimonadetes	25
eukaryota>choanoflagellida	27
bacteria>gemmatimonadetes	29
archaea	31
bacteria>verrucomicrobia	33
eukaryota>parabasalia	33
bacteria>nitrospirae	34
bacteria>planctomycetes	36
bacteria>tenericutes	37
eukaryota>amoebozoa>mycetozoa>dictyosteliida	39
eukaryota>metazoa>nematoda	39
eukaryota>fungi>mucoromycotina	42
archaea>asgard group	44
bacteria>chlamydiae	52
eukaryota>metazoa>chordata	58
bacteria>deinococcus-thermus>deinococci	62
bacteria>thermotogae	62
eukaryota>metazoa>mollusca	67
bacteria>proteobacteria>epsilonproteobacteria	69
eukaryota>metazoa>cnidaria	69
eukaryota>alveolata>apicomplexa	71
eukaryota>alveolata>ciliophora	75
bacteria>acidobacteria	81
eukaryota>alveolata	83
bacteria>chloroflexi	92
eukaryota>viridiplantae>chlorophyta	105
eukaryota>fungi>basidiomycota	118
eukaryota>fungi	120
eukaryota>euglenozoa>kinetoplastida	152
bacteria>spirochaetes	155
eukaryota>fungi>ascomycota	155
eukaryota>metazoa	181
bacteria>proteobacteria>deltaproteobacteria	222
eukaryota>stramenopiles	241
eukaryota>viridiplantae	293
bacteria>cyanobacteria	300
archaea>euryarchaeota	317
eukaryota>metazoa>hexapoda	320
eukaryota>metazoa>chordata>vertebrata>actinopterygii	391
bacteria>proteobacteria>betaproteobacteria	753
eukaryota>metazoa>chordata>vertebrata	990
bacteria	1005
bacteria>proteobacteria>alphaproteobacteria	1167
bacteria>bacteroidetes	1513
bacteria>proteobacteria>gammaproteobacteria	3293
bacteria>actinobacteria	3861
bacteria>firmicutes	4369
