GenContext.norep	n
REC+LYTTR->PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like->||<-PspC+TM+TM+Toast-rack*||Imm68->	17
TM+OmpA->||<-SIG+TM+TM+TM+TM+TM*	15
ABhydrolase->||<-?<-PspC+TM+TM+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->	11
REC+LYTTR->PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*	10
TM->||<-sf+TM+TM<-?<-?<-PspC*	8
SIG+TM+TM+TM+TM+TM->Cluster134_2clades->ABC-ATPase->ABC-ATPase->SIG+TM+TM+TM+TM->?->Cluster73_4clades->||<-PspC+LiaI-LiaF-TM*<-LiaI-LiaF-TM+Toast-rack	7
ABC-ATPase->?->||<-?<-ABC-ATPase<-?<-PspB*	6
SIG+Peptidase_M3->||<-SIG+Toast-rack*||Na_H_Exchanger+TrkA_N->	6
TetR-HTH->||<-ABC-ATPase<-SIG+PspA+TM+TM+TM+TM+TM+TM+TM*<-Calcineurin	6
adh_short->?->||<-?||?->||<-sf+TM<-?<-PspA*	5
HTH->||<-SIG+Toast-rack*<-?||YoeB_toxin->?->Na_H_Exchanger+TrkA_N->	5
REC+LYTTR->PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like->||<-PspC+TM+TM+Toast-rack*	5
WLM->||<-SIG+Toast-rack*<-SIG+Toast-rack*	5
ABhydrolase->||<-PspC*<-?<-PspC+TM+TM+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->	4
Cluster187_2clades->||<-tRNA<-PspC*	4
Cluster539_2clades->||<-SIG+Toast-rack*	4
HTH->||<-?<-SIG+Toast-rack*	4
MACRODOMAIN->||<-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||PspC+TM+TM+TM+TM*->	4
MODE-HTH+PBPII->||<-EamA+EamA||REC+LYTTR->PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like->||<-?<-?<-PspC+TM+TM+TM+TM+TM+Toast-rack*<-?||?->||<-?||?->||<-ADH_N+ADH_zinc_N<-Aldedh	4
PhoD->||<-PspC*	4
PspC->||<-PADR-HTH<-DUF1700-alpha-helical+TM+TM+TM*<-SIG+Toast-rack<-?<-MuB-ATPase	4
PspC+TM+TM->||<-SIG+PADR-HTH<-DUF1700-alpha-helical+TM+TM+TM<-SIG+Toast-rack*<-SIG+TM+TM+TM+TM+TM+TM<-Adenine_glyco	4
SIGMA-HTH->?->?->?->||<-DUF1707-SHOCT-bihelical+Toast-rack*<-SIG+DeoC<-Aldedh	4
SpermGS-ATPgrasp->SIG+DUF1190->SIG+TM+TM+TM->DUF2491->SIG+TM->||<-DUF2170<-PspA*	4
Thy1->||<-TraJ-RHH<-Toast-rack*	4
WLM->||<-SIG+Toast-rack*	4
ABC-ATPase->?->||<-?<-ABC-ATPase<-?<-PspB*||PSYN+AraC-HTH+AraC-HTH->	3
ABC-ATPase->ABC-ATPase->?->?->?->NtrC-AAA+FIS-HTH->||<-PspA<-PspB*<-PspC	3
adh_short->?->?->||<-?||?->||<-sf+TM<-?<-PspA*	3
Cluster297_2clades->?->?->?->||<-PADR-HTH<-DUF1700-alpha-helical+PspC+LiaI-LiaF-TM*	3
Cluster73_4clades->SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->?->SIG+TM+TM+TM+TM+TM+TM->?->||<-ComEA-HHH+S1<-?<-PspC*	3
PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like->||<-PspC+TM+TM+TM+TM+Toast-rack*<-SIG+TM	3
RibD_C->SIG+TM+HISKIN->REC+NtrC-AAA+FIS-HTH->||<-?<-?<-SIG+Toast-rack*<-ABC-ATPase<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX	3
SIG+DNA_binding_1->||<-LiaI-LiaF-TM+Toast-rack*<-?<-?||?->?->?->SIG+Amino_oxidase->	3
SIG+TM+TM+TM->?->||<-PADR-HTH<-DUF1700-alpha-helical+PspC+LiaI-LiaF-TM*	3
TIMbarrel->?->?->?->?->||<-PADR-HTH<-SIG+DUF1700-alpha-helical+TM+TM+TM*	3
A18->||<-PspC+LiaI-LiaF-TM*||?->SIG+TM+TM+TM+TM+ABC-ATPase->	2
