GenContext.norep	n
AAA_28->BCCT->REC+LYTTR->PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*	2
ABC-ATPase->ABC-ATPase->SIG+TM+TM+TM+TM+TM->?->SIG+SBP_bac_5->NtrC-AAA+FIS-HTH->||<-PspA*<-PspB<-PspC	2
ABC-ATPase->SIG+TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM->Cluster134_2clades->NtrC-AAA+FIS-HTH->||<-PspA<-PspB<-PspC*<-Cluster131_2clades||STAT->SIG+PhospholipaseD+PhospholipaseD->	2
ABhydrolase->?->||<-?<-PspC+TM+TM+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->	2
ABhydrolase->?->||<-PspC+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->	2
ABhydrolase->||<-PspC*||?->?->?->||<-?<-?<-PspC+TM+TM+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->	2
ADH_N+ADH_zinc_N->?->?->?->?->||<-?<-SIG+Toast-rack*	2
Cluster115_3clades->||<-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||PspC+TM+TM+TM+TM+TM+Toast-rack*->?->PspC*->	2
Cluster192_2clades->?->||<-?<-PADR-HTH<-DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-Rack*	2
Cluster193_2clades->||<-Snf7*	2
Cluster20_3clades->||<-PADR-HTH<-DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*<-DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*	2
Cluster688_2clades->||<-Cluster531_2clades||?->||<-?<-PspC*	2
Cluster79_2clades->||<-PspA*	2
Cluster81_2clades->||<-PspC*	2
CTP_synth_N+GATase->?->?->Cluster79_2clades->||<-PspA*||?->DAGKIN->TM+TM+TM+TM->HxxxH->	2
CTP_synth_N+GATase->||<-PspA*||HxxxH->PELOTA->TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->HTH+PRTase->	2
DAGK_cat->||<-SIG+RhoN+RhoN+RNASEII+S1<-YbjQ_1<-SIG+Toast-rack*	2
DUF45->||<-?<-?||?->?->||<-SIGMA-HTH<-?<-SIG+Toast-rack*	2
EMAP->?->?->||<-PspC*	2
GatB_N+GatB_Yqey->||<-Cluster75_2clades<-SbcC+PspA+SbcC*<-SMC_ScpA<-TM+TM+S2P+TM+TM+TM+TM||?->?->||<-?||adh_short->	2
HhH-RADC+JAB->||<-?<-HMA+TM+TM+TM+TM+TM+TM+TM+TM<-?<-?||QTG->||<-?<-PspC*	2
HTH->||<-?<-SIG+Toast-rack*||Na_H_Exchanger+TrkA_N->	2
Lactamase_B->||<-?<-?<-GTP_EFTU+GTP_EFTU_D2+RF3_C<-SIG+Toast-rack*	2
LYTB->?->?->?->||<-SIG+Toast-rack*||?->SIG+tRNA_U5-meth_tr->	2
MacB_PCD+FtsX->||<-?<-IspD<-LiaI-LiaF-TM+Toast-rack*<-SIG+TM+TM+TM+HISKIN<-REC+LYTTR	2
MarR->?->?->||<-?||?->SIGMA-HTH->||<-?<-Toast-rack*	2
Methyltransf_25->?->||<-?<-Radical_SAM||?->||<-TraJ-RHH<-Toast-rack*	2
NACHT->Cluster133_3clades->?->SIG+TM->ZetaToxin->Cluster168_2clades->||<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM*<-Cluster39_2clades<-Cluster24_2clades<-SIG+TM+TM+TM<-SIG+TM	2
Nre_N+Nre_C->TOPC->?->GatB_N+GatB_Yqey->||<-Cluster75_2clades<-SbcC+PspA+SbcC*<-SMC_ScpA	2
NtrC-AAA+FIS-HTH->||<-?<-PspA<-PspB*<-PspC<-PspB*<-TM+PspB*<-PspB*	2
NtrC-AAA+FIS-HTH->||<-PspA<-PspB*<-?<-?<-?<-ABC-ATPase	2
NtrC-AAA+FIS-HTH->||<-PspA<-PspB*<-PspC<-?<-?<-?<-NtrC-AAA+FIS-HTH	2
NtrC-AAA+FIS-HTH->||<-PspA<-PspB<-PspC*<-Phageshock_PspD<-CR-ATPase1<-TM+TM+IIGP1<-NtrC-AAA+FIS-HTH	2
ParA-Soj-PloopNTPase->SIG+APATPase->?->?->?->?->?->||<-SIG+TM+TM+TM+TM+TM*	2
PSYN->?->||<-?<-SIG+TM<-CheC<-CheC<-SIG+NtrC-AAA+FIS-HTH<-SIG+TM+TM+TM+TM+TM*<-SIG+APATPase<-ParA-Soj-PloopNTPase	2
PSYN->SIG+TM+TM+TM+TM+TM+TM->?->SIG+TM+TM+TM->?->||<-PspC*||FKBP->RADICAL-SAM+TRAM->	2
REC+LYTTR->PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like->||<-PspC+TM+TM+TM+TM+Toast-rack*	2
REC+LYTTR->PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like->||<-PspC+TM+TM+TM+TM+Toast-rack*<-SIG+TM	2
RecR+Toprim_4->?->||<-DUF1707-SHOCT-bihelical+Toast-rack*<-?<-?<-?<-?<-?<-?<-SIG+TM+TM+TM+TM+TM+TM+Spermine_synth	2
RnaseIII->?->?->||<-HxxxH<-PspC*||?->?->HTH->	2
SAM-methylase->||<-?<-?||?->||<-sf+TM<-?<-PspA*	2
SIG+TM->||<-TM<-?<-?<-SIG+TM+TM<-?<-?<-SIG+TM+TM+TM+TM+TM*<-SIG+TM+TM+TM+TM+TM<-TM+TM+TM+TM<-?||?->TM->SIG+SAF->SIG+BetaPropeller->	2
SIG+TM+HISKIN->REC+NtrC-AAA+FIS-HTH->||<-?<-ABC-ATPase<-SIG+Toast-rack*<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-SIG+Toast-rack*<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-?<-DUF59+ParA	2
SIG+TM+TM+TM->||<-?<-?<-LiaI-LiaF-TM+Toast-rack*<-SIG+TM+TM+TM<-REC||?->?->||<-ABC-ATPase+ABC-ATPase	2
SIG+TM+TM+TM+ABC-ATPase->||<-?<-?<-?<-LiaI-LiaF-TM+Toast-rack*<-?||?->||<-?<-?<-AMP_N+Peptidase_M24<-Phage_holin_4_2	2
SIG+TM+TM+TM+TM+ABC-ATPase->SIG+TM+TM+TM+TM+ABC-ATPase->?->||<-?<-PspC+TM+TM+TM+TM*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->	2
SIG+TM+TM+TM+TM+TM+ABC-ATPase->SIG+TM+TM+TM+TM+TM+ABC-ATPase->?->?->||<-PADR-HTH<-DUF1700-alpha-helical+TM+TM+TM+TM*<-DUF1700-alpha-helical+TM+TM+TM+TM*<-DUF1700-alpha-helical+TM+TM+TM+TM*<-?<-?<-MuB-ATPase	2
SIG+TM+TM+TM+TM+TM+TM->?->||<-ComEA-HHH+S1<-?<-PspC*	2
TM->||<-sf+TM+TM<-?<-?<-?<-PspC*	2
TM+TM+TM+TM+TM->||<-?||?->||<-?<-?||?->||<-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||PspC+TM+TM+Toast-rack*->	2
3HCDH_N+3HCDH->MFS_1+TM->||<-?<-ABC-ATPase<-SIG+TM+TM+TM+TM+TM<-SIG+TM+HISKIN-LiaS-like<-REC+LYTTR<-DUF1707-SHOCT-bihelical+Toast-rack*	1
A18->||<-?<-?<-PspC+LiaI-LiaF-TM*	1
AAA_26->Aminotran_3->Aminotran_1_2->||<-SIG+Toast-rack*||Ribosomal_L31->	1
AAA_28->BCCT->REC+LYTTR->PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like->?->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*<-?||?->||<-?<-?<-NUDIX||?->adh_short->	1
ABC-ATPase->?->?->?->?->?->||<-DUF1707-SHOCT-bihelical+Toast-rack*	1
ABC-ATPase->?->?->?->NtrC-AAA+FIS-HTH->?->||<-PspA<-PspB*<-PspC	1
ABC-ATPase->?->?->||<-?<-?*	1
ABC-ATPase->?->?->||<-?<-?<-?<-?<-DUF1707-SHOCT-bihelical*	1
ABC-ATPase->?->?->||<-?<-LiaI-LiaF-TM+Toast-rack*	1
ABC-ATPase->?->?->||<-DUF1707-SHOCT-bihelical+Toast-rack*	1
ABC-ATPase->?->?->TRAM+METHYLASE->?->?->||<-SIG+TM+TM+TM+TM+TM*<-SIG+APATPase<-ParA-Soj-PloopNTPase<-?<-Cluster891_2clades<-?<-?||SIG+PTSEIIA1->	1
ABC-ATPase->?->||<-?<-?<-DUF1707-SHOCT-bihelical+Toast-rack*	1
ABC-ATPase->?->||<-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||PspC+TM+TM+TM+TM+TM+Toast-rack*->?->?->SIG+TM+TM+TM+TM+TM+TM+TM+TM->||<-TM	1
ABC-ATPase->||<-DUF1707-SHOCT-bihelical+Toast-rack*	1
ABC-ATPase->||<-MarR-HTH+Toast-rack*	1
ABC-ATPase->ABC-ATPase->SIG+TM+TM+TM+TM+TM->?->SIG+SBP_bac_5->NtrC-AAA+FIS-HTH->?->||<-PspA*<-PspB<-PspC	1
ABC-ATPase->adh_short->||<-Toast-rack*	1
ABC-ATPase->SIG+FecCD->||<-?<-Toast-rack*	1
ABC-ATPase->SIG+FecCD->SIG+FecCD->?->?->?->||<-DUF1707-SHOCT-bihelical+Toast-rack*<-AMP-binding	1
ABC-ATPase->SIG+TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM->Cluster134_2clades->NtrC-AAA+FIS-HTH->||<-PspA<-PspB<-PspC*<-Phageshock_PspD	1
ABC-ATPase->TM+TM+TM+TM+TM->||<-?||?->||<-?<-?<-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||PspC+TM+TM+Toast-rack*->	1
ABC-ATPase+ABC-ATPase->DNA_ligase_aden+DNA_ligase_OB+DNA_ligase_ZBD+HHH_2+BRCT->?->?->||<-?<-SIG+PADR-HTH<-DUF1700-alpha-helical+Toast-rack*||UvrD-helicase+UvrD_C->	1
ABC-ATPase+ABC-ATPase+SbcC->ATP-LIGASE+HhH-RADC+BRCT->?->?->||<-?<-PADR-HTH<-DUF1700-alpha-helical+TM+TM+Toast-rack*	1
ABhydrolase->?->||<-?<-PspC+TM+TM+TM+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->	1
ABhydrolase->||<-?<-?||?->Cluster322_2clades->||<-?<-PspC+TM+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->	1
ABhydrolase->||<-?<-?<-PspC+TM+TM+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->	1
ABhydrolase->||<-?<-PspC+TM+TM+TM+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->||<-?<-SIG+TM+TM+TM+TM+TM+TM+TM+TM||MODE-HTH+PBPII->	1
ABhydrolase->||<-?<-PspC+TM+TM+TM+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->||<-SIG+TM+TM+TM+TM+TM+TM+TM+TM||MODE-HTH+PBPII->	1
ABhydrolase->||<-?<-PspC+TM+TM+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->||<-?<-?||?->?->HMA+TM+TM+TM+TM+TM+TM+TM+TM->	1
ABhydrolase->||<-?<-PspC+TM+TM+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->	1
ABhydrolase->||<-LACI-HTH+PBPI<-?<-PspC+TM+TM+TM+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->	1
ABhydrolase->||<-PspC*<-?<-PspC*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->||<-?||?->||<-SIG+PhospholipaseD+PhospholipaseD||RNA-Helicase->	1
ABhydrolase->||<-PspC+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->||<-?||?->PSE->SIG+TM+TM+TM+TM->	1
Acetyltransf_3->Cation_efflux+ZT_dimer->?->?->||<-ZNR+DUF2089-HTH<-?<-Toast-rack*<-?<-?<-?<-?<-ABC-ATPase<-MacB_PCD+FtsX	1
Acyl-CoA_dh_N+Acyl-CoA_dh_M+Acyl-CoA_dh_1->||<-Snf7*	1
ADH_N+ADH_zinc_N->?->HI0933_like->?->GreA_GreB_N+GreA_GreB->||<-SIG+Toast-rack*<-SIG+Toast-rack*	1
adh_short->?->?->?->Aldo_ket_red->?->||<-GNTR-HTH<-DUF1707-SHOCT-bihelical+Toast-rack*	1
adh_short->?->||<-?<-DUF1707-SHOCT-bihelical+Toast-rack*||SIG+TM+TM+TM+TM+TM->ABC-ATPase->	1
adh_short->?->Acyl-CoA_dh_N+Acyl-CoA_dh_M+Acyl-CoA_dh_1->TetR_N->||<-?<-?<-PCRF+RF-1<-SIG+Toast-rack*<-?<-SIG+Aminotran_1_2||Peptidase_A8->	1
adh_short->||<-?<-?<-POR+POR_N+PFOR_II<-TPP_enzyme_C<-SIG+TM+TM+TM+TM+TM+TM+TM<-?<-SIG+EP1+TM+TM+TM+TM+TM+TM+TM+5TMR-LYT*	1
adh_short->||<-RADICAL-SAM+TRAM<-sf+TM<-?<-?<-PspA*	1
adh_short->||<-Toast-rack*||adh_short->||<-SIG+TM+TM+TM+TM+TM<-ABC-ATPase	1
adh_short_C2->ABC-ATPase->ABC-ATPase->SIG+TM+TM+TM+TM+TM->?->SIG+SBP_bac_5->NtrC-AAA+FIS-HTH->||<-PspA*<-PspB<-PspC<-SIG+Phageshock_PspD	1
AIM24->?->||<-DUF4870<-SIG+PADR-HTH<-DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-Rack*<-SIG+Toast-rack*	1
Aldedh->||<-?||?->REC+LYTTR->PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*<-?||EamA+EamA->||<-MODE-HTH+PBPII	1
Aldedh->||<-FAD_binding_3<-DUF1707-SHOCT-bihelical+Toast-rack*	1
Aldo_ket_red->?->||<-?||?->SIGMA-HTH->?->?->||<-DUF1707-SHOCT-bihelical+Toast-rack*<-SIG+Beta-lactamase<-SIG+DeoC<-Aldedh	1
Aldo_ket_red->?->||<-SIG+TM+HISKIN-LiaS-like<-REC+LYTTR<-SIG+Toast-rack*	1
Aminotran_3->||<-?<-?<-?<-?<-?||?->||<-SIG+Toast-rack*||SIG+CitMHS+TM+TM+TM+TM+TM->?->?->ABC-ATPase->	1
Aminotran_3->||<-?<-?<-?<-?<-?||?->||<-SIG+Toast-rack*||SIG+CitMHS+TM+TM+TM+TM+TM->GST_N+GST_C->?->ABC-ATPase->||<-?<-REC+LYTTR	1
ATP-cone->?->||<-SIGMA-HTH<-?<-BBOX+TM+TM+LiaI-LiaF-TM<-LiaI-LiaF-TM<-LiaI-LiaF-TM+Toast-rack*	1
BACTERIALFRINGE+TM+TM->?->Aldose_epim->||<-SIGMA-HTH<-?<-SIG+Toast-rack+Toast-rack*	1
Bax1-I->||<-?<-?<-LiaI-LiaF-TM+Toast-rack*	1
Cation_efflux+ZT_dimer->?->?->||<-ZNR+DUF2089-HTH<-?<-Toast-rack*	1
ChlI+Mg_chelatase+Mg_chelatase_C->?->?->His_Phos_1->adh_short->||<-HTH_20<-SIG+Abhydrolase_1<-SIG+Toast-rack*||?->||<-?<-?<-BACTERIALFRINGE+TM+TM	1
Cluster1086_2clades->||<-Cluster87_3clades<-?<-PspC*<-?<-?<-?<-?||?->?->Cluster372_2clades->	1
Cluster1111_2clades->||<-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||PspC+TM+TM+TM+TM+TM+Toast-rack*->?->||<-?<-ABhydrolase	1
Cluster115_3clades->?->||<-PspC*	1
Cluster115_3clades->||<-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||PspC+TM+TM+TM+TM+TM+Toast-rack*->?->PspC*->SIG+CW-binding-EndolysinC->	1
Cluster1172_2clades->?->||<-PSE||?->?->?->Cluster539_2clades->||<-tRNA<-tRNA<-PADR-HTH<-PspC+TM+TM+TM+Toast-rack*<-?||REC+LuxR-HTH->	1
Cluster131_2clades->SIG+Toast-rack->DUF1700-alpha-helical+TM+TM+TM+TM->PADR-HTH->||<-PspC*	1
Cluster187_2clades->tRNA->||<-PspC*	1
Cluster196_2clades->||<-?||?->||<-PADR-HTH<-DUF1700-alpha-helical+TM+TM+TM*	1
Cluster215_2clades->||<-?||?->||<-Cluster185_3clades<-PspC*	1
Cluster27_3clades->?->||<-REC||?->||<-Cluster57_2clades<-SIG+TM+TM+TM+TM+TM*<-NACHT<-TET-TPase<-Cluster179_2clades<-Cluster103_2clades<-SIG+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM+TM+TM	1
Cluster37_3clades->?->||<-PspC*<-Cluster357_4clades	1
Cluster372_2clades->Thymidylate-synthase->||<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM*<-SIG+APATPase<-ParA-Soj-PloopNTPase<-SIGMA-HTH	1
Cluster372_2clades->Thymidylate-synthase->||<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM*<-SIG+APATPase<-ParA-Soj-PloopNTPase<-SIGMA-HTH<-SIG+TM+TM	1
Cluster440_3clades->||<-SIG+TM<-SIG+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM+TM+TM<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM*<-SIG+APATPase<-ParA-Soj-PloopNTPase<-SIG+BetaPropeller<-SIG+BetaPropeller||SIG+Lysozyme->||<-?<-CheC	1
Cluster446_3clades->?->?->N-OB->||<-?<-PspC*	1
Cluster551_3clades->?->Cluster357_4clades->NtrC-AAA+FIS-HTH->||<-?<-PspA<-PspB<-PspC*	1
Cluster702_3clades->DHH->?->?->?->?->||<-PspC+LiaI-LiaF-TM*<-LiaI-LiaF-TM+Toast-rack||O6MGT-HTH->Cluster862_3clades->?->Cluster95_4clades->	1
Cluster73_4clades->?->?->SIG+TM+TM+TM+TM+TM+TM->?->||<-ComEA-HHH+S1<-?<-PspC*	1
Cluster775_2clades->Cluster372_2clades->Thymidylate-synthase->||<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM*<-SIG+APATPase<-ParA-Soj-PloopNTPase<-SIGMA-HTH<-SIG+TM+TM||Cluster511_3clades->	1
Cluster79_2clades->||<-PspA*||?->DAGKIN->TM+TM+TM+TM->HxxxH->	1
Cluster79_2clades->||<-PspA*<-TM+TM+TM+TM||HxxxH->||<-Usp	1
Cluster791_2clades->?->?->||<-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||PspC+TM+TM+TM+TM+TM+Toast-rack*->	1
Cluster791_2clades->?->sGTP->?->||<-?<-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||PspC+TM+TM+TM+TM+TM+Toast-rack*->	1
Cluster8_2clades->||<-?<-DUF1707-SHOCT-bihelical+Toast-rack*	1
Cluster812_2clades->?->ABC-ATPase->?->?->||<-?<-PspC*||Cluster982_2clades->	1
Cluster812_2clades->||<-SIG+TM+TM+TM+TM+ABC-ATPase<-?<-?||?->||<-?<-PspC+TM+TM+TM+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->?->HEPN->	1
Cluster85_4clades->||<-?<-PspC*||PSE->||<-?||?->||<-LRP-HTH||tRNA->tRNA->?->PELOTA->	1
CoA_binding_2->?->?->RecR+Toprim_4->||<-PspA*	1
CTP_synth_N+GATase->||<-PspA*||?->||<-HxxxH<-Usp||AIRS+AIRS_C->	1
DHH->?->?->?->?->||<-PspC<-LiaI-LiaF-TM+Toast-rack*||O6MGT-HTH->	1
DJ-1_PfpI->||<-SIG+TM+Snf7*	1
DNA_photolyase+FAD_binding_7->?->?->||<-SIG+TM+Proton_antipo_N+Proton_antipo_M+TM+TM+TM<-?<-SIG+Toast-rack*<-?||COesterase->	1
DUF2491->||<-DUF2170<-PspA*<-SpermGS-ATPgrasp||?->||<-SIG+Asparaginase_2	1
DUF488->?->ABC-ATPase->?->||<-?<-?<-DUF1707-SHOCT-bihelical+Toast-rack*	1
DUF488->||<-His_biosynth<-SIG+Toast-rack*	1
DUF520->||<-tRNA<-?||?->?->||<-?<-TraJ-RHH<-Toast-rack*	1
ENOYCOADEHYD->?->?->||<-?<-?<-TraJ-RHH<-Toast-rack*<-ABC-ATPase<-SIG+TM+TM+TM+TM+TM	1
FAD_binding_3->||<-SIG+Toast-rack*<-?<-?<-?<-3HCDH_N+3HCDH	1
GatB_N+GatB_Yqey->||<-?<-Cluster75_2clades<-SbcC+PspA+SbcC*<-SMC_ScpA<-?||?->?->SIG+TM+TM+TM+TM+TM+TM+TM->	1
GatB_N+GatB_Yqey->||<-?<-Cluster75_2clades<-SbcC+PspA+SbcC*<-SMC_ScpA<-TM+TM+S2P+TM+TM+TM+TM	1
GatB_N+GatB_Yqey->||<-Cluster75_2clades<-SbcC+PspA+SbcC*	1
Glyco_hydro_36N+Melibiase+Glyco_hydro_36C->?->||<-?<-?||Cluster539_2clades->||<-SIG+Toast-rack*	1
GreA_GreB_N+GreA_GreB->||<-SIG+Toast-rack*<-SIG+Toast-rack*	1
HhH-RADC+JAB->QTG->||<-PspC*<-sGTP	1
HI0933_like->?->||<-SIG+Toast-rack*<-SIG+Toast-rack*	1
HI0933_like->?->GreA_GreB_N+GreA_GreB->||<-SIGMA-HTH<-?<-SIG+Toast-rack*<-SIG+Toast-rack*	1
HMA+TM+TM+TM+TM+TM+TM+TM+TM->?->?->||<-Thioredoxin<-PspA*	1
HMA+TM+TM+TM+TM+TM+TM+TM+TM->?->||<-PspC<-?<-LiaI-LiaF-TM+Toast-rack*	1
HMA+TM+TM+TM+TM+TM+TM+TM+TM->?->||<-Thioredoxin<-PspA*	1
HTH->||<-?<-?<-Toast-rack*	1
Iso_dh->||<-?<-LiaI-LiaF-TM+Toast-rack*<-?<-SIG+TM+TM+TM+HISKIN<-REC+LYTTR	1
LACI-HTH+PBPI->||<-SIG+TM+HISKIN-LiaS-like<-REC+LYTTR<-TM+Toast-rack*	1
LDcluster4->||<-Snf7*	1
Lyase_1+ASL_C2->?->HTH_24+ROK->||<-?<-SIG+Toast-rack*<-?<-COesterase	1
