GenContext.orig	n
<-REC+LYTTR<-SIG+TM+HISKIN-LiaS-like<-SIG+TM+TM+Toast-rack*	33
<-DUF1700-alpha-helical+PspC+LiaI-LiaF-TM*<-PADR-HTH	32
<-Phageshock_PspD<-PspC*<-PspB<-PspA	32
DUF1700-alpha-helical+TM+TM+TM->SIG+Toast-rack*->	32
<-DUF1707-SHOCT-bihelical+TM*	31
<-PspC*<-?<-ComEA-HHH+S1	31
EP1+SAM+SAM+SAM*->	31
<-REC+LuxR-HTH<-SIG+TM+HISKIN<-?<-SIG+Toast-rack<-PspA*	30
<-REC+LYTTR<-SIG+TM+HAMP+HISKIN-LiaS-like<-LiaI-LiaF-TM+Toast-rack*<-SIG+Toast-rack*<-PspA<-LiaI-LiaF-TM	30
<-REC<-?<-LiaI-LiaF-TM+Toast-rack*<-?<-?<-LiaI-LiaF-TM*	30
PspC+LiaI-LiaF-TM*->	30
<-DUF1700-alpha-helical+TM+TM+TM+TM*<-PADR-HTH	29
<-PspC*<-PspA	29
SIG+BetaPropeller->?->?->?->?->IONCHANNEL->SIG+TM->SIG+TM+TM+TM+TM+TM*->SIG+TM+TM+TM+TM+TM->	29
<-DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-Rack*<-PADR-HTH	28
<-EP1*	27
<-PspC+TM+TM+TM+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->	27
<-SIG+Toast-rack<-DUF1700-alpha-helical+TM+TM+TM*	27
ComEA-HHH+S1->?->PspC*->	27
DUF2170->PspA*->	27
PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*->	27
<-PspC<-PspA*	26
<-SIG+TM+TM+Toast-rack*	26
<-SIG+Toast-rack*<-DUF1700-alpha-helical+TM+TM+TM	26
<-SIGMA-HTH+PspA*	26
PspA*->YiaAB->	26
Snf7*->Snf7*->	25
TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->Cluster39_2clades->Cluster24_2clades->SIG+TM+TM+TM->SIG+TM->?->FHA->	25
<-REC+LuxR-HTH<-SIG+TM+HISKIN<-?<-PspA*	24
<-REC<-?<-LiaI-LiaF-TM+Toast-rack*<-?<-SIG+TM*	24
<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM	24
PspA->PspB->PspC*->CR-ATPase1->TM+TM+IIGP1->	24
SIG+TM+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->	24
<-Cluster108_2clades<-?<-?<-FilH<-?<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-SIG+TM<-CheC<-CheC	23
<-TPR<-?<-?<-?<-SIG+TM+TM+TM+TM+TM*<-TPR<-?<-CR-REase10<-?<-CR-ATPase7	23
GNTR-HTH->ABC-ATPase->SIG+TM+TM+TM+TM+TM->SIG+Toast-rack*->	23
PspA->PspB->PspC*->Phageshock_PspD->	23
<-SIG+PADR-HTH<-Toast-rack*	22
<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*	22
<-TM+TM+IIGP1<-CR-ATPase1<-PspC*<-PspB<-PspA	22
<-DUF1700-alpha-helical+TM+TM*<-PADR-HTH	21
<-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||PspC+TM+TM+TM+TM+TM+Toast-rack*->	21
<-REC+LYTTR<-SIG+TM+HISKIN-LiaS-like<-SIG+TM+TM+Toast-rack*<-PspA<-LiaI-LiaF-TM	21
<-SIG+TM<-?<-?<-?<-Cluster27_3clades<-SIG+TM<-SIG+TM+TM+TM+TM+TM*	21
<-SIG+TM<-SIG+TM+TM+TM<-Cluster24_2clades<-Cluster39_2clades<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM	21
ABC-ATPase->?-><-PspA*<-?<-?<-sf+TM||?-><-TerC	21
DUF2170->PspA*->SIG+TM->DUF2491->SIG+TM+TM+TM->SIG+DUF1190->SpermGS-ATPgrasp->	21
LiaI-LiaF-TM+Toast-rack*->?->REC->	21
PspC+TM+TM+TM+TM+TM+Toast-rack*->	21
SIG+Snf7*->	21
Toast-rack*->SIG+PADR-HTH->	21
<-Snf7*<-Snf7*	20
PspA->PspB->PspC*->Phageshock_PspD->CR-ATPase1->TM+TM+IIGP1->	20
PspC+LiaI-LiaF-TM*->LiaI-LiaF-TM+Toast-rack->	20
SIG+PspB*->	20
SIG+RhoN+RhoN+RNASEII+S1->SIG+Toast-rack*->SIG+TM+TM+TM+TM+TM->	20
<-DUF1700-alpha-helical+TM+TM+TM*	19
<-FHA<-?<-SIG+TM<-SIG+TM+TM+TM<-Cluster24_2clades<-Cluster39_2clades<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM	19
<-PspA*<-?<-sf+TM	19
<-PspA*<-DUF2170	19
<-PspA*<-PspA*	19
<-SIG+Snf7*	19
<-SIG+TM+TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM*	19
<-SIG+Toast-rack*<-SIG+TM+TM+TM+TM+TM<-ABC-ATPase<-GNTR-HTH	19
<-YiaAB<-PspA*	19
SIG+TM+TM+Toast-rack*->	19
<-CheC<-CheW<-HPT+HISKIN+CheW<-REC<-PilZ<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-SIG+TM<-REC<-CheC	18
<-PspC+LiaI-LiaF-TM*	18
<-REC<-HPT+HISKIN+CheW<-SFII-RAD3<-REC<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-SIG+TM<-CheC<-CheC	18
<-SpermGS-ATPgrasp<-SIG+DUF1190<-SIG+TM+TM+TM<-DUF2491<-SIG+TM<-PspA*<-DUF2170	18
ABC-ATPase->?-><-PspA*	18
PspA*->PspA*->	18
<-?*	17
<-LiaI-LiaF-TM+Toast-rack<-PspC+LiaI-LiaF-TM*	17
<-SIG+LTD+IG+Calcineurin<-Phage_holin_4_2<-PspC+TM+TM<-Toast-rack*	17
CheC->CheC->SIG+TM->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->	17
Imm68-><-PspC+TM+TM+Toast-rack*||PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like->REC+LYTTR->	17
PspA*->PspB->PspC->SIG+Phageshock_PspD->SIG+Rhodanese->	17
<-Peptidase_M24<-DUF1707-SHOCT-bihelical+Toast-rack*	16
<-PspC<-PspB*	16
<-TM||sf+TM+TM->?->?->PspC*->	16
<-Toast-rack*<-TraJ-RHH	16
PspA*->SIG+TM+TM->SIG+TM-><-Calcineurin	16
TraJ-RHH->Toast-rack*->ABC-ATPase->SIG+TM+TM+TM+TM+TM->	16
<-PspA*<-PspC<-PspA*	15
<-PspA<-PspC*<-PspA	15
<-SIG+TM+TM+TM+TM+TM*||TM+OmpA->	15
<-SIG+TM+TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM*<-SIG+TM<-IONCHANNEL<-?<-?<-?<-?<-SIG+BetaPropeller	15
<-SIG+TM<-SIG+TM+TM+TM<-Cluster63_2clades<-?<-TET-TPase<-NACHT<-FHA<-SIG+TM+TM+TM+TM+TM*<-CR-ATPase7	15
CR-ATPase7->SIG+TM+TM+TM+TM+TM*->FHA->NACHT->TET-TPase->?->Cluster63_2clades->SIG+TM+TM+TM->SIG+TM->	15
CR-Kinase+EP1+PspA+C1+PH*->	15
LexA-HTH+Peptidase_S24-><-SIG+Toast-rack*<-DUF1700-alpha-helical+TM+TM+TM<-SIG+PADR-HTH	15
PADR-HTH->DUF1700-alpha-helical+TM+TM*->	15
PADR-HTH->PspC+LiaI-LiaF-TM+Toast-rack*->	15
Peptidase_M24->?->SIG+TM+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->	15
PspA*->SIG+TM+TM->SIG+TM->	15
<-DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*<-PADR-HTH	14
<-DUF4178<-SIG+TM+TM+TM<-PspA*	14
<-PspC<-?<-LiaI-LiaF-TM*	14
<-SIG+TM<-SIG+TM+TM+TM<-Cluster24_2clades<-?<-Cluster59_2clades<-NACHT<-Cluster49_2clades<-SIG+TM+TM+TM+TM+TM*<-PYRIN<-Cluster27_3clades<-AraC-HTH	14
<-SIG+Toast-rack*<-SIG+Toast-rack*	14
EP1+EP1+EP1+MA*->	14
SIG+GDSL-><-DUF1707-SHOCT-bihelical+Toast-rack*<-ABC-ATPase	14
SIG+PADR-HTH->DUF1700-alpha-helical+Toast-rack*->	14
SIG+Toast-rack*->SIG+Toast-rack*->	14
Toast-rack*->?->Phage_holin_4_2->	14
<-DUF1700-alpha-helical+Toast-rack*<-PADR-HTH	13
<-EP1+SAM+SAM+SAM*	13
<-PspC+TM+TM+TM+TM+Toast-rack*	13
<-SIG+Rhodanese<-SIG+Phageshock_PspD<-PspC<-PspB<-PspA*	13
<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-SIG+TM<-CheC<-CheC	13
<-TM+Toast-rack*	13
AraC-HTH->Cluster27_3clades->PYRIN->SIG+TM+TM+TM+TM+TM*->Cluster49_2clades->NACHT->Cluster59_2clades->?->Cluster24_2clades->SIG+TM+TM+TM->SIG+TM->	13
HxxxH->PspC*->	13
NACHT->?->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM-><-?<-SIG+TM+TM+TM+TM+TM*	13
PADR-HTH->DUF1700-alpha-helical+Toast-rack*->	13
PspA->PspC*->	13
PspC*-><-CHTH+DSBH||?->SIG+TM+TM+TM+TM-><-?<-?<-ABC-ATPase	13
Toast-rack*->ABC-ATPase->SIG+TM+TM+TM+TM+TM->	13
<-Phage_holin_4_2<-PspC+TM+TM<-PspC+Toast-rack*<-Toast-rack*	12
<-Phage_holin_4_2<-PspC+TM+TM<-Toast-rack*	12
<-SIG+Beta_helix+Toast-rack+DUF3739*	12
<-SIG+EP1*	12
<-SIG+TM+TM+TM+TM+TM*<-TPR<-?<-CR-REase10<-CR-ATPase7	12
<-SIG+TM+TM+TM<-PspC*<-PspC+Toast-rack*<-Toast-rack	12
<-SIG+TM+TM+TM<-PspC*<-Toast-rack	12
<-SIG+Toast-rack*<-DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM<-SIG+PADR-HTH	12
<-SIG+Toast-rack*<-SIG+Toast-rack*<-?<-SIGMA-HTH	12
<-SIGMA-HTH<-SIG+TM+TM+TM+TM+TM*	12
AraC-HTH->Cluster27_3clades->PYRIN->SIG+TM+TM+TM+TM+TM*->Cluster49_2clades->NACHT->?->?->Cluster24_2clades->SIG+TM+TM+TM->SIG+TM->	12
EP1+EP1*->	12
SIG+TM+TM+TM+TM+TM*->SIG+TM->Cluster27_3clades->?->?->?->SIG+TM->	12
SIG+TM+TM+TM+TM+TM*->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->?-><-?<-TM<-SIG+SAF<-SIG+BetaPropeller	12
<-DUF1700-alpha-helical+TM+TM+Toast-rack+TM*<-PADR-HTH	11
<-DUF3046*<-Cluster34_2clades	11
<-PspB*<-PspB*<-TM+PspB*<-TM+PspB*<-PspC<-PspB*<-PspA	11
<-PspC*<-?<-?<-SIG+HAMP+HISKIN<-REC+LuxR-HTH	11
<-PspC+TM+TM+Toast-rack*	11
<-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||PspC+TM+TM+TM+TM+Toast-rack*->?-><-ABhydrolase	11
<-SIG+TM<-SIG+TM+TM<-PspA*	11
ABC-ATPase->?->?->?->?->?->SIG+TM+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->	11
CR-ATPase7->?->CR-REase10->?->TPR->SIG+TM+TM+TM+TM+TM*->?->?->?->TPR->	11
LiaI-LiaF-TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->	11
RNA-Helicase+A18->ABC-ATPase+ABC-ATPase->Toast-rack*->	11
SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->SIG+BetaPropeller->CheRN-Alpha+CheR-Methylase->?->SIG+TM+TM->TM+OmpA->	11
SIG+TM+TM+TM+TM+TM*->SIGMA-HTH->	11
SIG+TM+TM+TM+TM+TM+TM+TM->TM+TM+TM+TM+TM+TM+TM->DUF2170->PspA*->?->Cluster51_2clades->	11
SIGMA-HTH->PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM+TM+TM+TM*->	11
TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->?->SIGMA-HTH->	11
<-DUF1707-SHOCT-bihelical+Toast-rack*<-ABC-ATPase	10
<-DUF1707-SHOCT-bihelical+Toast-rack*<-ENOYCOADEHYD<-Acyl-CoA_dh_N+Acyl-CoA_dh_M+Acyl-CoA_dh_1<-DADA-Ligase+BLBD<-?<-Acyl-CoA_dh_N+Acyl-CoA_dh_M+Acyl-CoA_dh_1	10
<-NACHT<-SIG+TM+TM+TM+TM+TM*	10
<-PspA*<-Thioredoxin	10
<-PspC*<-PspB*<-PspA	10
<-PspC+TM+TM+TM+TM*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->	10
<-PspC+TM+TM+TM+TM+TM+Toast-rack*||PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like->REC+LYTTR->	10
<-PspC+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->	10
<-REC+LuxR-HTH<-SIG+TM+HISKIN<-Cluster13_7clades<-PspA*	10
<-REC+LYTTR<-SIG+TM+HISKIN-LiaS-like<-SIG+TM+TM+Toast-rack*<-?<-Peptidase_M24	10
<-SIG+LTD+IG+Calcineurin<-SIG+TM+TM+TM<-PspC*<-Toast-rack	10
<-SIG+PspB<-SIG+PspB<-SIG+PspB<-SIG+PspB<-PspC<-PspB<-PspA*	10
<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM	10
<-SIG+TM<-SIG+TM+TM+TM<-Cluster24_2clades<-?<-?<-NACHT<-Cluster49_2clades<-SIG+TM+TM+TM+TM+TM*<-PYRIN<-Cluster27_3clades<-AraC-HTH	10
<-SIG+Toast-rack*<-?<-ABC-ATPase	10
<-TM+TM+IIGP1<-CR-ATPase1<-Phageshock_PspD<-PspC*<-PspB	10
ABC-ATPase->SIG+PspA+TM+TM+TM+TM+TM+TM+TM*->	10
Aldo_ket_red-><-DUF1707-SHOCT-bihelical+Toast-rack*<-ENOYCOADEHYD<-Acyl-CoA_dh_N+Acyl-CoA_dh_M+Acyl-CoA_dh_1<-DADA-Ligase+BLBD<-?<-Acyl-CoA_dh_N+Acyl-CoA_dh_M+Acyl-CoA_dh_1	10
LiaI-LiaF-TM+Toast-rack*->SIG+TM+HAMP+HISKIN-LiaS-like->REC+LYTTR->	10
PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*->SIG+Toast-rack->	10
PspA*->PspC->	10
PspB*->PspC->	10
PspC+TM+TM+TM+TM+Toast-rack*->SIG+TM->	10
SIG+EP1*->	10
TM+Toast-rack*->	10
TraJ-RHH->Toast-rack*->	10
<-Cluster39_2clades<-?<-?<-?<-?<-?<-PspC*<-PspB<-PspA	9
<-CR-Kinase+EP1+PspA+C1+PH*	9
<-PspA*<-Cluster41_7clades	9
<-PspA<-PspC*	9
<-PspC+PspC+LiaI-LiaF-TM+Toast-rack+Toast-rack*<-PADR-HTH	9
<-PspC+PspC+LiaI-LiaF-TM+Toast-Rack+Toast-rack*<-PADR-HTH	9
<-SIG+RHOD-CDC25<-Phageshock_PspD<-PspC*<-PspB<-PspA	9
<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-SIG+TM<-CheC<-CheC	9
<-SIG+TM+TM+TM+TM+TM+TM+SidE*<-TM+TM+TM+TM+TM+TM<-ABC-ATPase	9
<-SIG+TM+TM+TM+TM+TM<-ABC-ATPase<-Toast-rack*	9
<-SIG+TM+TM+TM+TM+TM<-ABC-ATPase<-Toast-rack*<-TraJ-RHH	9
ABC-ATPase->DUF1707-SHOCT-bihelical+Toast-rack*-><-SIG+GDSL	9
ABhydrolase->?-><-PspC+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->	9
CheC->CheC->?->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->SIG+BetaPropeller->	9
DUF1700-alpha-helical+TM+TM+TM*->	9
DUF1700-alpha-helical+TM+TM+TM+TM->SIG+Toast-rack*->	9
LiaI-LiaF-TM+Toast-rack*->REC->	9
LiaI-LiaF-TM+Toast-rack*->REC+LYTTR->	9
Peptidase_M24->?->SIG+TM+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR-><-Pro_CA	9
PspA->PspB*->PspC*->	9
PspA*->Cluster13_7clades->SIG+TM+HISKIN->REC+LuxR-HTH->	9
SIG->HTH-><-DUF1707-SHOCT-bihelical+Toast-rack*	9
SIG+TM+HISKIN-LiaS-like->REC+LYTTR->SIG+Toast-rack*->	9
SIGMA-HTH->?->SIG+Toast-rack*->SIG+Toast-rack*->	9
TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->	9
TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase-><-DICT<-Cluster40_2clades<-SIG+SAF	9
Toast-rack->PspC*->SIG+TM+TM+TM->	9
Toast-rack*->PspC+TM+TM->Phage_holin_4_2->	9
ZNR+DUF2089-HTH->Toast-rack*->	9
<-Cluster51_2clades<-?<-PspA*<-DUF2170<-TM+TM+TM+TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM+TM+TM	8
<-DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*	8
<-DUF1700-alpha-helical+Toast-rack*<-SIG+PADR-HTH	8
<-DUF1707-SHOCT-bihelical+Toast-rack*||?->?->?->?-><-ENOYCOADEHYD<-Acyl-CoA_dh_N+Acyl-CoA_dh_M+Acyl-CoA_dh_1<-DADA-Ligase+BLBD	8
<-NtrC-AAA+FIS-HTH<-?<-?<-?<-PspC<-PspB*<-PspA	8
<-PspC*<-?<-?<-sf+TM+TM||TM->	8
<-PspC*<-SIG+TM+TM+TM+TM+TM+TM	8
<-REC+LYTTR<-SIG+TM+TM+TM+HISKIN<-LiaI-LiaF-TM+Toast-rack*	8
<-SIG+BetaPropeller<-?<-?<-SIGMA-HTH<-PilZ<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-SIG+TM<-TM<-TM+OmpA<-SIG+TM+TM	8
<-SIG+PspA+TM+TM+TM+TM+TM+TM+TM*<-ABC-ATPase	8
<-SIG+TM+TM+TM<-PspC*	8
<-SIG+TM<-PspC+TM+TM+TM+TM+Toast-rack*	8
<-SIG+Toast-rack*<-?<-?<-ABC-ATPase<-SIG+TM+HAMP+HISKIN<-REC+LYTTR	8
<-SIG+Toast-rack*<-REC+LYTTR<-SIG+TM+HISKIN-LiaS-like	8
<-SIGMA-HTH+PspA*<-SIGMA-HTH+PspA*	8
<-SpermGS-ATPgrasp<-SIG+DUF1190<-SIG+TM+TM+TM<-DUF2491<-SIG+TM||DUF2170->PspA*->	8
<-STAT<-TM+TM+IIGP1<-CR-ATPase1<-PspC*<-PspB<-PspA	8
<-Toast-rack*<-ZNR+DUF2089-HTH	8
ABC-ATPase->?->SIG+Toast-rack*->	8
ABC-ATPase->DUF1707-SHOCT-bihelical+Toast-rack*->	8
CheC->REC->SIG+TM->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->PilZ->REC->HPT+HISKIN+CheW->CheW->CheC->	8
DUF1707-SHOCT-bihelical*->	8
DUF1707-SHOCT-bihelical+Toast-rack*-><-?||Peptidase_M24->	8
ENOYCOADEHYD-><-PspC*	8
EP1+BetaPropeller*->	8
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM*->	8
PspA->PspB->PspC*->Phageshock_PspD->SIG+RHOD-CDC25->	8
PspA*->?-><-?<-ABC-ATPase	8
PspC+TM+TM->LiaI-LiaF-TM+Toast-rack*->	8
SIG+Beta_helix+Toast-rack+DUF3739*->	8
SIG+MHYT+TM+TM+TM+TM+GGDEF+EAL->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->	8
SIG+PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*->	8
SIG+TM+TM+TM+TM+TM*->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->	8
TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+TM-><-DICT<-Cluster40_2clades<-SIG+SAF	8
Toast-rack*->SIG+PADR-HTH-><-?<-?<-ADH_N+ADH_zinc_N	8
Toast-rack+TM*->	8
<-adh_short<-Aldedh<-?<-?<-?<-?<-Peptidase_M24<-DUF1707-SHOCT-bihelical+Toast-rack*	7
<-DUF1700-alpha-helical+TM+TM+TM+TM+TM*<-PADR-HTH	7
