GenContext.orig	n
-	2744
Snf7*->	745
<-Snf7*	643
SIG+Toast-rack*->	373
<-PspA*	332
<-SIG+Toast-rack*	326
PspC*->	284
<-PspC*	276
PspA*->	267
<-DUF3046*	204
DUF1707-SHOCT-bihelical+Toast-rack*->	194
DUF3046*->	188
<-PspC<-PspB*<-PspA	174
PspA->PspB*->PspC->	145
<-DUF1707-SHOCT-bihelical+Toast-rack*	142
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack->	115
Toast-rack*->	115
<-Toast-rack*	111
<-SIG+Toast-rack<-DUF1700-alpha-helical+TM+TM+TM*<-PADR-HTH	97
<-PspC<-PspB<-PspA*	94
PspA*->PspB->PspC->	90
SIG+PADR-HTH->DUF1700-alpha-helical+TM+TM+TM->SIG+Toast-rack*->	80
<-SIG+TM+TM+TM+TM+TM*	79
LiaI-LiaF-TM+Toast-rack*->	76
CheC->REC->SIG+TM->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->REC->HPT+HISKIN+CheW->CheW->CheC->CheD->	72
<-REC<-HPT+HISKIN+CheW<-SFII-RAD3<-REC<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*	71
<-SIG+Phageshock_PspD<-PspC<-PspB<-PspA*	71
<-SIG+TM<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM	71
<-PspC*<-PspB<-PspA	70
<-DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*<-PADR-HTH	66
<-LiaI-LiaF-TM+Toast-rack*	66
SIGMA-HTH+PspA*->	66
<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM	65
<-SIG+Toast-rack*<-DUF1700-alpha-helical+TM+TM+TM<-SIG+PADR-HTH	65
PspA->PspB->PspC*->	64
SIG+TM+TM+TM+TM+TM*->	61
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->	60
<-SIG+Toast-rack*<-?<-SIGMA-HTH	55
<-PspB*	54
DUF1707-SHOCT-bihelical+TM+TM*->	53
TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->	53
SIG+TM*->?->LiaI-LiaF-TM+Toast-rack*->?->REC->	51
<-REC+LYTTR<-SIG+TM+HISKIN-LiaS-like<-SIG+TM+Toast-rack*	50
TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+TM->	50
PspA*->?->SIG+TM+HISKIN->REC+LuxR-HTH->	45
SIGMA-HTH->?->SIG+Toast-rack*->	45
<-DUF1707-SHOCT-bihelical+TM+TM*	44
PspA*->PspB->PspC->SIG+Phageshock_PspD->	44
TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->	44
SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->REC->SFII-RAD3->HPT+HISKIN+CheW->REC->	43
EP1*->	42
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM*->	42
PspB*->	42
<-CheD<-CheC<-CheW<-HPT+HISKIN+CheW<-REC<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-SIG+TM<-REC<-CheC	41
<-TM+TM+IIGP1<-CR-ATPase1<-Phageshock_PspD<-PspC*<-PspB<-PspA	41
CheC->CheC->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->	41
DUF1707-SHOCT-bihelical+TM*->	41
PspA*->Cluster13_7clades->	41
SIG+TM+TM+TM+TM+TM*->SIG+TM+TM+TM+TM+TM->	41
<-DUF1700-alpha-helical+TM+TM+TM*<-PADR-HTH	40
LiaI-LiaF-TM->PspA->SIG+TM+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->	39
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->	39
CheC->CheC->SIG+TM->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->REC->SFII-RAD3->HPT+HISKIN+CheW->REC->	38
SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->	38
SIG+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->	38
<-Cluster13_7clades<-PspA*	37
PspA*->TM+ZNR->?->Band_7+ZNR->	37
<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-CheC<-CheC	36
DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack->	36
PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-Rack*->	36
?*->	35
PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM*->	35
<-PspC+TM+TM+TM+TM+TM+Toast-rack*	33
