GenContext.norep	n
-	2744
Snf7*->	1388
SIG+Toast-rack*->	699
PspA*->	599
PspC*->	560
DUF3046*->	392
DUF1707-SHOCT-bihelical+Toast-rack*->	336
PspA->PspB*->PspC->	319
Toast-rack*->	226
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack->	212
PspA*->PspB->PspC->	184
SIG+PADR-HTH->DUF1700-alpha-helical+TM+TM+TM->SIG+Toast-rack*->	145
LiaI-LiaF-TM+Toast-rack*->	142
SIG+TM+TM+TM+TM+TM*->	140
PspA->PspB->PspC*->	134
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->	126
TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+TM->	121
TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->	118
PspA*->PspB->PspC->SIG+Phageshock_PspD->	115
SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->REC->SFII-RAD3->HPT+HISKIN+CheW->REC->	114
CheC->REC->SIG+TM->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->REC->HPT+HISKIN+CheW->CheW->CheC->CheD->	113
SIGMA-HTH->?->SIG+Toast-rack*->	100
DUF1707-SHOCT-bihelical+TM+TM*->	97
PspB*->	96
SIGMA-HTH+PspA*->	92
SIG+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->	88
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->	79
PspA*->Cluster13_7clades->	78
CheC->CheC->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->	77
SIG+TM*->?->LiaI-LiaF-TM+Toast-rack*->?->REC->	75
DUF1707-SHOCT-bihelical+TM*->	72
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM*->	71
EP1*->	69
PspA*->?->SIG+TM+HISKIN->REC+LuxR-HTH->	69
TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->	68
