GenContext.norep	n
PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM*->	67
PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-Rack*->	64
DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack->	63
PspA->PspB->PspC*->Phageshock_PspD->CR-ATPase1->TM+TM+IIGP1->	61
LiaI-LiaF-TM->PspA->SIG+TM+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->	60
SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->	60
SIG+TM+TM+TM+TM+TM*->SIG+TM+TM+TM+TM+TM->	60
ComEA-HHH+S1->?->PspC*->	58
DUF1700-alpha-helical+TM+TM+TM->SIG+Toast-rack*->	58
SIG+TM+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->	57
CheC->CheC->SIG+TM->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->REC->SFII-RAD3->HPT+HISKIN+CheW->REC->	56
PspA->PspB->PspC*->Phageshock_PspD->	55
PspC+TM+TM+TM+TM+TM+Toast-rack*->	54
?*->	52
PspC+LiaI-LiaF-TM*->	48
DUF2170->PspA*->	46
PspA->PspB->PspC*->CR-ATPase1->TM+TM+IIGP1->	46
PspA*->YiaAB->	45
SIG+TM+TM+Toast-rack*->	45
Snf7*->Snf7*->	45
EP1+SAM+SAM+SAM*->	44
SIG+BetaPropeller->?->?->?->?->IONCHANNEL->SIG+TM->SIG+TM+TM+TM+TM+TM*->SIG+TM+TM+TM+TM+TM->	44
TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->Cluster39_2clades->Cluster24_2clades->SIG+TM+TM+TM->SIG+TM->?->FHA->	44
Toast-rack*->SIG+PADR-HTH->	43
GNTR-HTH->ABC-ATPase->SIG+TM+TM+TM+TM+TM->SIG+Toast-rack*->	42
PspA->PspC*->	42
PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*->	41
PspA*->TM+ZNR->?->Band_7+ZNR->	40
SIG+Snf7*->	40
DUF2170->PspA*->SIG+TM->DUF2491->SIG+TM+TM+TM->SIG+DUF1190->SpermGS-ATPgrasp->	39
LiaI-LiaF-TM*->?->?->LiaI-LiaF-TM+Toast-rack*->?->REC->	37
PspA*->PspA*->	37
PspC+LiaI-LiaF-TM*->LiaI-LiaF-TM+Toast-rack->	37
LiaI-LiaF-TM->PspA->SIG+Toast-rack*->LiaI-LiaF-TM+Toast-rack*->SIG+TM+HAMP+HISKIN-LiaS-like->REC+LYTTR->	36
PADR-HTH->DUF1700-alpha-helical+TM+TM*->	36
PspA*->PspC->	36
PspA*->SIG+Toast-rack->?->SIG+TM+HISKIN->REC+LuxR-HTH->	36
CR-ATPase7->?->CR-REase10->?->TPR->SIG+TM+TM+TM+TM+TM*->?->?->?->TPR->	34
SIG+TM+TM+TM+TM+TM*->SIG+TM->Cluster27_3clades->?->?->?->SIG+TM->	33
CheC->CheC->SIG+TM->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->	30
CR-ATPase7->SIG+TM+TM+TM+TM+TM*->FHA->NACHT->TET-TPase->?->Cluster63_2clades->SIG+TM+TM+TM->SIG+TM->	30
PspA*->PspB->PspC->SIG+Phageshock_PspD->SIG+Rhodanese->	30
DUF1700-alpha-helical+TM+TM+TM*->	28
SIG+Toast-rack*->SIG+Toast-rack*->	28
TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->Cluster39_2clades->Cluster24_2clades->SIG+TM+TM+TM->SIG+TM->	28
AraC-HTH->Cluster27_3clades->PYRIN->SIG+TM+TM+TM+TM+TM*->Cluster49_2clades->NACHT->Cluster59_2clades->?->Cluster24_2clades->SIG+TM+TM+TM->SIG+TM->	27
LiaI-LiaF-TM+Toast-rack*->?->REC->	27
REC+LuxR-HTH->PspC+TM+TM+TM+TM+HISKIN*->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*	27
SIG+RhoN+RhoN+RNASEII+S1->SIG+Toast-rack*->SIG+TM+TM+TM+TM+TM->	27
CheC->REC->SIG+TM->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->PilZ->REC->HPT+HISKIN+CheW->CheW->CheC->	26
PADR-HTH->DUF1700-alpha-helical+Toast-rack*->	26
PspA*->SIG+TM+TM->SIG+TM->	26
PspB*->PspC->	26
TraJ-RHH->Toast-rack*->	26
CheC->CheC->SIG+TM->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->?->FilH->?->?->Cluster108_2clades->	25
Peptidase_M24->?->SIG+TM+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->	25
TraJ-RHH->Toast-rack*->ABC-ATPase->SIG+TM+TM+TM+TM+TM->	25
CR-Kinase+EP1+PspA+C1+PH*->	24
PspA*->||<-?<-ABC-ATPase	24
sf+TM->?->PspA*->	24
TerC->||<-?||sf+TM->?->?->PspA*->||<-?<-ABC-ATPase	24
ABC-ATPase->DUF1707-SHOCT-bihelical+Toast-rack*->||<-SIG+GDSL	23
SIG+PspB*->	23
SIG+TM+TM+TM+TM+TM*->SIGMA-HTH->	23
TM+Toast-rack*->	23
AraC-HTH->Cluster27_3clades->PYRIN->SIG+TM+TM+TM+TM+TM*->Cluster49_2clades->NACHT->?->?->Cluster24_2clades->SIG+TM+TM+TM->SIG+TM->	22
SIG+EP1*->	22
SIG+PADR-HTH->DUF1700-alpha-helical+TM+TM+TM->SIG+Toast-rack*->||<-LexA-HTH+Peptidase_S24	22
SIG+PADR-HTH->DUF1700-alpha-helical+Toast-rack*->	22
Toast-rack*->ABC-ATPase->SIG+TM+TM+TM+TM+TM->	22
DUF1707-SHOCT-bihelical+Toast-rack*->Peptidase_M24->	21
PspC+TM+TM+TM+TM+TM+Toast-rack*->||<-PspC+TM+TM+TM+TM+HISKIN*<-REC+LuxR-HTH	21
SIGMA-HTH->?->SIG+Toast-rack*->SIG+Toast-rack*->	21
Toast-rack->PspC*->SIG+TM+TM+TM->	21
Toast-rack*->PspC+TM+TM->Phage_holin_4_2->	21
PspA->PspC*->PspA->	20
PspA*->PspC->PspA*->	20
PspA*->SIG+TM+TM+TM->DUF4178->	20
SIG+Beta_helix+Toast-rack+DUF3739*->	20
LiaI-LiaF-TM*->?->PspC->	19
PspA->PspB*->PspC*->	19
PspA*->Cluster13_7clades->SIG+TM+HISKIN->REC+LuxR-HTH->	19
SIG+TM+TM+TM+TM+TM+TM+TM->TM+TM+TM+TM+TM+TM+TM->DUF2170->PspA*->?->Cluster51_2clades->	19
ABC-ATPase->?->SIG+Toast-rack*->	18
ABC-ATPase->DUF1707-SHOCT-bihelical+Toast-rack*->	18
ABC-ATPase->SIG+PspA+TM+TM+TM+TM+TM+TM+TM*->	18
EP1+EP1*->	18
PADR-HTH->DUF1700-alpha-helical+TM+TM+Toast-rack+TM*->	18
PADR-HTH->PspC+LiaI-LiaF-TM+Toast-rack*->	18
PspC*->||<-CHTH+DSBH||?->SIG+TM+TM+TM+TM->||<-?<-?<-ABC-ATPase	18
PspC+TM+TM+TM+TM+Toast-rack*->	18
PspC+TM+TM+TM+TM+Toast-rack*->SIG+TM->	18
HxxxH->PspC*->	17
PspA->PspB->PspC*->Phageshock_PspD->SIG+RHOD-CDC25->	17
PspA*->SIG+TM+TM->SIG+TM->||<-Calcineurin	17
REC+LYTTR->PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like->||<-PspC+TM+TM+Toast-rack*||Imm68->	17
SIG+TM+HISKIN-LiaS-like->REC+LYTTR->SIG+Toast-rack*->	17
SIGMA-HTH->PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM+TM+TM+TM*->	17
Toast-rack*->PspC+TM+TM->Phage_holin_4_2->SIG+LTD+IG+Calcineurin->	17
ZNR+DUF2089-HTH->Toast-rack*->	17
<-TM||sf+TM+TM->?->?->PspC*->	16
Acyl-CoA_dh_N+Acyl-CoA_dh_M+Acyl-CoA_dh_1->?->DADA-Ligase+BLBD->Acyl-CoA_dh_N+Acyl-CoA_dh_M+Acyl-CoA_dh_1->ENOYCOADEHYD->DUF1707-SHOCT-bihelical+Toast-rack*->	16
CR-ATPase7->CR-REase10->?->TPR->SIG+TM+TM+TM+TM+TM*->	16
EP1+EP1+EP1+MA*->	16
PspB->PspC*->Phageshock_PspD->CR-ATPase1->TM+TM+IIGP1->	16
SIG+PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM->SIG+Toast-rack*->	16
SIG+TM+TM+TM+TM+TM*->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->?->||<-?<-TM<-SIG+SAF<-SIG+BetaPropeller	16
TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->?->SIGMA-HTH->	16
LiaI-LiaF-TM+Toast-rack*->SIG+TM+HAMP+HISKIN-LiaS-like->REC+LYTTR->	15
LiaI-LiaF-TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->	15
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM*->	15
PspA->PspB*->PspC->?->?->?->NtrC-AAA+FIS-HTH->	15
PspC*->||<-ENOYCOADEHYD	15
PspC+TM+TM->LiaI-LiaF-TM+Toast-rack*->	15
REC+LuxR-HTH->SIG+HAMP+HISKIN->?->?->PspC*->	15
RNA-Helicase+A18->ABC-ATPase+ABC-ATPase->Toast-rack*->	15
SIG+MHYT+TM+TM+TM+TM+GGDEF+EAL->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->	15
TM+OmpA->||<-SIG+TM+TM+TM+TM+TM*	15
Toast-rack*->?->Phage_holin_4_2->	15
Toast-rack*->SIG+PADR-HTH->||<-?<-?<-ADH_N+ADH_zinc_N	15
Toast-rack+TM*->	15
CheC->CheC->?->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->SIG+BetaPropeller->	14
CheC->CheC->SIG+TM->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->	14
DUF1707-SHOCT-bihelical*->	14
LiaI-LiaF-TM+Toast-rack*->REC+LYTTR->	14
PspA*->PspB->PspC->SIG+Phageshock_PspD->?->?->NtrC-AAA+FIS-HTH->||<-Redoxin	14
PspC*->SIG+TM+TM+TM->	14
SIG+PspA*->	14
TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+TM->||<-DICT<-Cluster40_2clades<-SIG+SAF	14
CheC->REC->SIG+TM->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->PilZ->HPT+HISKIN+CheW->CheW->CheC->CheD->	13
Cluster41_7clades->PspA*->	13
DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->	13
LiaI-LiaF-TM+Toast-rack*->REC->	13
PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*->SIG+Toast-rack->	13
PADR-HTH->PspC+PspC+LiaI-LiaF-TM+Toast-Rack+Toast-rack*->	13
PspA*->PspB->PspC->SIG+PspB->SIG+PspB->SIG+PspB->SIG+PspB->	13
REC+LYTTR->SIG+TM+HAMP+HISKIN->ABC-ATPase->?->?->SIG+Toast-rack*->	13
SIG+TM+TM+TM+TM+TM*->?->||<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-?<-NACHT	13
TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->	13
Toast-rack->PspC+Toast-rack*->PspC*->SIG+TM+TM+TM->	13
Toast-rack*->PspC+Toast-rack*->PspC+TM+TM->Phage_holin_4_2->	13
ABC-ATPase->TM+TM+TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM+TM+SidE*->	12
LiaI-LiaF-TM+Toast-rack*->SIG+TM+TM+TM+HISKIN->REC+LYTTR->	12
NLPC+PspA*->	12
PADR-HTH->PspC+PspC+LiaI-LiaF-TM+Toast-rack+Toast-rack*->	12
Peptidase_M24->?->SIG+TM+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->||<-Pro_CA	12
PspA->PspB->PspC*->?->?->?->?->?->Cluster39_2clades->	12
PspA->PspB*->PspC->TM+PspB*->TM+PspB*->PspB*->PspB*->	12
SIG+TM+TM->TM+OmpA->TM->SIG+TM->SIG+TM+TM+TM->SIG+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->PilZ->SIGMA-HTH->?->?->SIG+BetaPropeller->	12
SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->	12
SIG+TM+TM+TM+TM+TM*->NACHT->	12
TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->||<-DICT<-Cluster40_2clades<-SIG+SAF	12
Toast-rack->PspC*->SIG+TM+TM+TM->SIG+LTD+IG+Calcineurin->||<-GNTR-HTH+UTRA	12
Toast-rack*->PspC+TM+TM->Phage_holin_4_2->SIG+LTD+IG+Calcineurin->||<-?<-G<-Amidohydro_1	12
ABC-ATPase->?->?->?->?->?->SIG+TM+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->	11
ABhydrolase->||<-?<-PspC+TM+TM+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->	11
Cluster34_2clades->DUF3046*->	11
DUF1707-SHOCT-bihelical+FHA*->	11
LiaI-LiaF-TM+Toast-rack*->SIG+TM+TM+TM->REC->	11
PspA->PspB->PspC*->Phageshock_PspD->CR-ATPase1->TM+TM+IIGP1->NtrC-AAA+FIS-HTH->||<-?||Cluster65_2clades->	11
PspA->PspB->PspC*->Phageshock_PspD->SIG+RHOD-CDC25->CR-ATPase1->TM+TM+IIGP1->	11
PspC+TM+TM+Toast-rack*->	11
SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->SIG+BetaPropeller->CheRN-Alpha+CheR-Methylase->?->SIG+TM+TM->TM+OmpA->	11
SIG+TM+TM+TM+TM+TM*->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->	11
Thioredoxin->PspA*->	11
Acyl-CoA_dh_N+Acyl-CoA_dh_M+Acyl-CoA_dh_1->?->DADA-Ligase+BLBD->Acyl-CoA_dh_N+Acyl-CoA_dh_M+Acyl-CoA_dh_1->ENOYCOADEHYD->DUF1707-SHOCT-bihelical+Toast-rack*->||<-Aldo_ket_red	10
CheRN-Alpha+CheR-Methylase->REC->REC->SFII-RAD3->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+TM->	10
CR-ATPase7->SIG+TM+TM+TM+TM+TM*->FHA->NACHT->TET-TPase->?->Cluster63_2clades->CheC->SIG+TM+TM+TM->	10
DUF1700-alpha-helical+TM+TM+TM+TM->SIG+Toast-rack*->	10
DUF2170->PspA*->SIG+TM+TM->SIG+TM->	10
ISOCOT->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->PilZ->CheC->CheD->SIGMA-HTH->	10
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM->SIG+Toast-rack->PspC*->	10
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->	10
PspA->PspB->PspC*->CR-ATPase1->TM+TM+IIGP1->STAT->	10
PspA*->?->||<-?<-ABC-ATPase	10
PspC*->PspA->	10
PspC*->SIG+TM+TM+TM+TM+FTSK+FTSK-HTH->	10
PspC+LiaI-LiaF-TM->LiaI-LiaF-TM+TM+Toast-rack*->	10
PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->	10
REC+LuxR-HTH->PspC+TM+TM+TM+TM+HISKIN*->||<-PspC+TM+TM+TM+TM*	10
REC+LuxR-HTH->PspC+TM+TM+TM+TM+HISKIN*->||<-PspC+TM+TM+Toast-rack*	10
REC+LYTTR->PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*	10
SIG+PADR-HTH->DUF1700-alpha-helical+TM+TM+TM->SIG+Toast-rack*->PspC+TM+TM->	10
SIG+TM->?->?->?->Cluster57_2clades->SIG+TM+TM+TM+TM+TM*->NACHT->TET-TPase->?->?->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->	10
SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->	10
SIG+TM+TM+TM+TM+TM*->SIG+APATPase->	10
SIG+TM+TM+TM+TM+TM*->SIG+TM->Cluster27_3clades->	10
SIG+TM+TM+TM+TM+TM+TM->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->DUF1707-SHOCT-bihelical+Toast-rack*->	10
SIGMA-HTH+PspA*->SIGMA-HTH+PspA*->	10
Toast-rack->PspC*->SIG+TM+TM+TM->SIG+LTD+IG+Calcineurin->	10
ABC-ATPase->MacB_PCD+FtsX->||<-?<-?<-?||LiaI-LiaF-TM->SIG+Toast-rack*->	9
DUF1707-SHOCT-bihelical+TM+TM+TM*->	9
DUF1707-SHOCT-bihelical+Toast-rack*->||<-HTH<-SIG	9
DUF1707-SHOCT-bihelical+Toast-rack*->DUF1707-SHOCT-bihelical+Toast-rack*->	9
DUF2170->PspA*->SIG+TM+TM->SIG+TM->GspA-ATPase->PhospholipaseD->	9
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack->PspC->	9
PADR-HTH->PspC+LiaI-LiaF-TM+Toast-Rack*->	9
PADR-HTH->SIG+DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*->	9
PspA->PspB*->PspC->?->?->?->?->NtrC-AAA+FIS-HTH->	9
PspA*->PspC->?->||<-?||?->||<-SIG+TM+TM+TM+TM+TM+TM+TM	9
REC+LuxR-HTH->PspC+TM+TM+TM+TM+HISKIN*->||<-PspC+TM+TM+Toast-rack*||?->ABhydrolase->	9
REC+LuxR-HTH->SIG+HAMP+HISKIN->?->?->PspC*->||<-?<-?||?->||<-MODE-HTH+PBPII	9
SIG+PADR-HTH->PspC+PspC+LiaI-LiaF-TM+Toast-Rack+Toast-rack*->	9
SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->REC->TM->	9
SIG+TM+TM+TM+TM+TM+TM->PspC*->	9
SIG+TM+TM+TM+TM+TM+TM+TM->TM+TM+TM+TM+TM+TM+TM->DUF2170->PspA*->	9
TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->SIG+TM+TM->TM+OmpA->||<-DICT<-Cluster40_2clades	9
<-SpermGS-ATPgrasp<-SIG+DUF1190<-SIG+TM+TM+TM<-DUF2491<-SIG+TM||DUF2170->PspA*->	8
ABC-ATPase->TM+MA+TM+TM+TM+TM+TM+TM+TM*->	8
CheC->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->	8
DADA-Ligase+BLBD->Acyl-CoA_dh_N+Acyl-CoA_dh_M+Acyl-CoA_dh_1->ENOYCOADEHYD->||<-?<-?<-?<-?||DUF1707-SHOCT-bihelical+Toast-rack*->	8
DUF1707-SHOCT-bihelical+TM*->DUF1707-SHOCT-bihelical+TM*->	8
DUF1707-SHOCT-bihelical+Toast-rack*->||<-?||Peptidase_M24->	8
DUF2170->PspA*->?->SIG+TM->DUF2491->SIG+TM+TM+TM->SIG+DUF1190->SpermGS-ATPgrasp->	8
DUF2170->PspA*->DUF2491->SIG+TM+TM+TM->SIG+DUF1190->SpermGS-ATPgrasp->Acyl-CoA_dh_M+Acyl-CoA_dh_1->	8
EP1+BetaPropeller*->	8
PADR-HTH->DUF1700-alpha-helical+TM*->	8
PspA*->?->Acyltransferase->	8
PspA*->PspB->PspC->SIG+Phageshock_PspD->SIG+Rhodanese->?->?->NtrC-AAA+FIS-HTH->	8
PspA*->PspB->PspC->SIG+PspB->SIG+PspB->SIG+PspB->	8
PspA*->Thioredoxin->	8
SIG+BetaPropeller->?->TM->SIG+TM->SIG+TM+TM+TM->SIG+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->PilZ->SIGMA-HTH->?->?->SIG+BetaPropeller->	8
SIG+PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*->	8
SIG+PADR-HTH->PspC+LiaI-LiaF-TM+Toast-Rack*->	8
SIG+PspC*->	8
SIG+SidE*->	8
SIG+TarH+TM+HAMP+MA->SIG+TarH+TM+HAMP+MA->CheRN-Alpha+CheR-Methylase->REC->REC->SFII-RAD3->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+TM->	8
SIG+TM+HISKIN-LiaS-like->REC+LYTTR->TM+Toast-rack*->	8
SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->SIG+BetaPropeller->SIG+BetaPropeller->SIG+SAF->TM->	8
SIG+TM+TM+TM+TM+TM+TM*->TM+TM+TM+TM->	8
SIG+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->?->Pro_isomerase->	8
SIGMA-HTH->?->SIG+Toast-rack*->DnaB+DnaB_C->	8
TerC->sf+TM->?->?->PspA*->||<-?<-ABC-ATPase	8
TM->||<-sf+TM+TM<-?<-?<-PspC*	8
TM->SIG+TM->SIG+TM+TM+TM->SIG+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->PilZ->SIGMA-HTH->?->?->SIG+BetaPropeller->	8
TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->SIG+TM->	8
<-REC+LYTTR<-PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like||PspC+TM+TM+TM+TM+Toast-rack*->SIG+TM->	7
ABC-ATPase->?->ABC-ATPase->?->||<-?||?->DUF1700-alpha-helical+TM+TM+TM->SIG+Toast-rack*->	7
ABC-ATPase->?->ABC-ATPase->?->||<-?||?->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack->	7
ABC-ATPase->SIG+Toast-rack*->	7
ABC-ATPase->SIG+Toast-rack*->?->GNTR-HTH->	7
BACTERIALFRINGE+TM+TM->Toast-rack*->?->SIG+Aminotran_1_2->	7
CheC->CheC->SIG+TM->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->?->SIGMA-HTH->FilH->	7
CheC->CheC->SIG+TM->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->SIG+TM+TM->TM+OmpA->	7
CheC->SIG+TM->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->	7
ClpABN-AAA+EP1+ClpABC-AAA*->	7
Cluster110_2clades->PspC*->?->Cluster110_2clades->||<-?||sGTP->	7
Cluster41_7clades->PspA*->SIG+TM+TM->SIG+TM->GspA-ATPase->	7
Cluster57_2clades->SIG+TM+TM+TM+TM+TM*->NACHT->TET-TPase->Cluster179_2clades->Cluster103_2clades->	7
CR-Kinase+SidE+EP1+C1+PH*->	7
DUF1707-SHOCT-bihelical+Toast-rack*->Peptidase_M24->?->?->?->?->Aldedh->adh_short->	7
DUF2170->PspA*->Cluster51_2clades->	7
FHA+TM->?->TPR->SIG+TM+TM+TM+TM+TM*->SIG+TPR->	7
Glu-tRNAGln->Amidase->?->?->?->?->LiaI-LiaF-TM+TM+Toast-rack*->	7
LiaI-LiaF-TM->PspA->PspC+TM+TM->PspA->SIG+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->	7
MA*->	7
NUDIX->PspC*->	7
