ClustName	n
CASPASE+Snf7	1
CR-Kinase+PspA	1
CR-Kinase+PspA+EP1+C1+PH+TM(s)	1
CR-Kinase+PspA+EP1+LIM(s)	1
DDRP-ZNR+Snf7+DDRP-betaprime+BBM2-DDRP+SBHM-DDRP	1
DISCOIDIN+TM(s)+PspA+LAMG(s)	1
DUF1700-alpha-helical+LiaI-LiaF-TM(s)	1
DUF1700-alpha-helical+TM(s)+PASTA	1
DUF2089-HTH+Toast-rack	1
DYN-MID-AAA(s)+Classical-AAA+PspA	1
DYN-MID-AAA+Snf7	1
EP1(s)+PspA	1
EP1(s)+SPX+PspA+EP1+PspA	1
EP1+DISCOIDIN+TM+DISCOIDIN+PspA	1
EP1+PspA+MA+EP1(s)	1
EP1+PspA+WXG+TM(s)+PH+NACHT+BetaPropeller	1
EP1+Snf7+EP1	1
FHA+PspA	1
FHA+PspA+PH	1
Glyco_tran_28_C+DUF3046	1
GPATCH+RRM+Snf7	1
GspA-ATPase+TraI-VirD2-RCRE+Snf7	1
HerA+PspA+ARSR-HTH	1
ImmLRR+PspA+SIGMA-HTH	1
JOR+PspA	1
KELCH+EP1+PspA+ANK	1
LPD14+Snf7	1
MA+PspA+SidE	1
MA+PspA+TM	1
Mbetalac+Snf7	1
MglB+PspA	1
MNS+TM+PspA+BetaPropeller	1
Ntox43+Snf7	1
PAS+GAF+PspA+HISKIN	1
PHD+Snf7	1
Phytase-like+Toast-rack+CASPASE	1
PspA(s)+EP1	1
PspA+BetaPropeller	1
PspA+CR-Kinase	1
PspA+EP1+PspA	1
PspA+HEPN-RES-NTD1-C	1
PspA+MA	1
PspA+Phage-tail-tape+TM(s)	1
PspA+Phage-tail-tape+TM(s)+Lysozyme+MA	1
PspA+SidE(s)	1
PspA+SidE+EP1	1
PspA+SIGMA-HTH+PspA	1
PspA+TM+WWE+PUG+TM	1
PspA+Tox-ODYAM1+MA	1
PspB+STYKIN	1
PspC+PspB	1
RING+EP1(s)+MA+PspA+ANK	1
SbcC+EP1+PspA+SbcC	1
SbcC+MA+PspA+RNA-Helicase	1
SbcC+PspA(s)+SbcC	1
SbcC+PspA+MA+SbcC	1
SH3+Snf7	1
SidE+PspA+EP1	1
SIG+ANK+SbcC+DUF572+PspA	1
SIG+ASH-IG+Toast-rack+TPR(s)+CASPASE	1
SIG+CR-Kinase+EP1+PspA+C1	1
SIG+CR-Kinase+PspA(s)+EP1	1
SIG+DISCOIDIN+PspA+MA+LAMG(s)	1
SIG+DISCOIDIN+PspA+TM	1
SIG+DISCOIDIN+Snf7+PspA+C58+LAMG	1
SIG+DUF1707-SHOCT-bihelical+TM(s)	1
SIG+EP1+PspA	1
SIG+MORC+TM(s)+MORC+Snf7	1
SIG+PspA+CR-ATPase2	1
SIG+PspA+EP1+PspA+BetaPropeller	1
SIG+PspA+SidE	1
SIG+PspA+TM(s)+SM-MscS	1
SIG+SH2+PspA+EP1	1
SIG+SIGMA-HTH+PspA	1
SIG+SIGMA-HTH+PspA+TM	1
SIG+Snf7+HD	1
SIG+TM(s)+PBPB+PspB	1
SIG+TM(s)+PspA+EP1(s)	1
SIG+TM(s)+PspA+TM(s)	1
SIG+TM(s)+PspA+VirB5+DUF1707-SHOCT-bihelical+TM(s)+Lysozyme	1
SIG+TM+C2+Snf7	1
SIG+Toast-rack(s)+VWA+CASPASE	1
SIGMA-HTH+DISCOIDIN+MIP-T3+DISCOIDIN+PspA	1
Snf7+ACET	1
Snf7+PG-binding	1
Snf7+PIPSQUEAK	1
Snf7+PTSEIIA1	1
Snf7+RnaseH+Synaptojanin+ZNF	1
Snf7+S1	1
Snf7+SAM-methylase	1
Snf7+TM(s)	1
Snf7+UBC	1
TM(s)+EP1+DOC+EP1(s)+Snf7	1
TM(s)+PspA	1
TM(s)+PspB+TM	1
TM(s)+S1COLD+PP2C+PspA+PP2C	1
TM(s)+Snf7	1
TM(s)+Snf7+TM(s)	1
TM+PspA	1
TM+PspA+PTSEIIA1	1
Toast-rack+DUF2089-HTH	1
Toast-rack+Tox-MCF+Tox-DUF4347-Caspase+Beta-Roll	1
Tox-DUF4347-Caspase+Toast-rack+PTX+ANTHRAXPAG-N(s)+IG	1
Tox-ODYAM1+Snf7	1
WXG+Beta-Roll+Toast-rack	1
