

       operon                                                                                                                                                                                                                                                                                                                                                               count   clade
-----  ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ------  ------
77     PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->                                                                                                                                                                                                                                                                                                                   125      12
277    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM*->                                                                                                                                                                                                                                                                                                                          70       7
1164   SIGMA-HTH->ZF+TM+TPR->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                                                 13       6
596    SIG+TM+TM->SIG+Band_7+DUF5401->Betapropeller+AAA-ATPase*->                                                                                                                                                                                                                                                                                                              55       6
1938   PspA*->SIG+TM+TM->SIG+Band_7+DUF5401->                                                                                                                                                                                                                                                                                                                                  45       6
913    MIT+Classical-AAA*->TPR+TM+TM+TM+TM+TM+TM->                                                                                                                                                                                                                                                                                                                             16       5
990    SIG+Toast-rack*->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                                                      33       5
511    PADR-HTH->DUF1700-alpha-helical+TM+TM*->                                                                                                                                                                                                                                                                                                                                36       5
329    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->                                                                                                                                                                                                                                                                                                                             64       5
1958   CesT_Tir->PspA*->                                                                                                                                                                                                                                                                                                                                                       14       5
1940   PspA*->SIG+TM+TM->                                                                                                                                                                                                                                                                                                                                                       8       4
2232   RHH->PspA*->SIG+TM+TM->SIG+Band_7+DUF5401->                                                                                                                                                                                                                                                                                                                              6       4
1614   ZNR+DUF2089-HTH->Toast-rack*->                                                                                                                                                                                                                                                                                                                                          19       4
1961   PspA*->PspB*->PspC+PspB*->                                                                                                                                                                                                                                                                                                                                             184       4
640    PADR-HTH->DUF1700-alpha-helical+TM*->                                                                                                                                                                                                                                                                                                                                    9       4
335    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                           121       4
2060   Snf7*->Snf7*->                                                                                                                                                                                                                                                                                                                                                           7       4
1832   TM+TM+Metallopeptidase+TM+TM->Tfu_1009*->||<-Psp-AA*<-PspA*                                                                                                                                                                                                                                                                                                              6       4
2084   PspA*->TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->                                                                                                                                                                                                                                                                                                                       5       3
1799   PspC+TM+TM*->LiaI-LiaF-TM+Toast-rack->                                                                                                                                                                                                                                                                                                                                  10       3
674    LiaI-LiaF-TM+Toast-rack*->SIG+TM+TM+TM+HISKIN->REC+GerE-HTH->                                                                                                                                                                                                                                                                                                           16       3
1831   PspA*->Psp-AA*->                                                                                                                                                                                                                                                                                                                                                        71       3
1294   SIGMA-HTH->?->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                                                         17       3
1812   TM+TM+Metallopeptidase+TM+TM->Tfu_1009*->                                                                                                                                                                                                                                                                                                                               64       3
