

       operon                                                                                                                                                                                                                                                                                                                                                               count   clade
598    SIG+Band_7+DUF5401->Betapropeller+AAA-ATPase*->                                                                                                                                                                                                                                                                                                                         14       3
1373   Toast-rack*->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                                                           4       3
1001   SIG+TM+TM+TM+TM+TM->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                                                    3       3
703    PspC+TM+TM*->LiaI-LiaF-TM+Toast-rack*->                                                                                                                                                                                                                                                                                                                                 30       3
1471   SIG+Toast-rack*->Toast-rack*->                                                                                                                                                                                                                                                                                                                                           3       3
1751   Toast-rack*->ZNR+DUF2089-HTH->                                                                                                                                                                                                                                                                                                                                           2       2
95     PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM*->                                                                                                                                                                                                                                                                                                                    33       2
1301   ADH_N+ADH_zinc_N->?->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                                                   3       2
1834   PspA*->Psp-AA*->||<-Tfu_1009*<-TM+TM+Metallopeptidase+TM+TM                                                                                                                                                                                                                                                                                                              3       2
2150   CesT_Tir-DUF2170->PspA*->                                                                                                                                                                                                                                                                                                                                               51       2
69     PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+Toast-rack*->                                                                                                                                                                                                                                                                                                                   3       2
10     PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM*->                                                                                                                                                                                                                                                                                                   3       2
2155   CesT_Tir-DUF2170->PspA*->RHH->                                                                                                                                                                                                                                                                                                                                           4       2
1727   ZNR+DUF2089-HTH->DUF2089-HTH->Toast-rack*->                                                                                                                                                                                                                                                                                                                              4       2
1532   PspC+TM+TM*->LiaI-LiaF-TM*->                                                                                                                                                                                                                                                                                                                                             4       2
310    PADR-HTH->DUF1700-alpha-helical+Toast-rack*->                                                                                                                                                                                                                                                                                                                           21       2
2050   PspA*->Classical-AAA->                                                                                                                                                                                                                                                                                                                                                   3       2
2318   PspC*->PspC*->                                                                                                                                                                                                                                                                                                                                                           3       2
1166   ZF+TM+TPR->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                                                             2       2
613    CesT_Tir-DUF2170->PspA*->SIG+TM+TM->SIG+Band_7+DUF5401->Betapropeller+AAA-ATPase*->                                                                                                                                                                                                                                                                                      5       2
1867   SIG+TM+TM->SIG+Band_7+DUF5401->PspA*->                                                                                                                                                                                                                                                                                                                                   2       2
337    DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                                      54       2
1923   SIG+TM+TM->PspA*->                                                                                                                                                                                                                                                                                                                                                       6       2
1866   PspA*->DUF4178->                                                                                                                                                                                                                                                                                                                                                         6       2
1956   PspA*->Band_7+ZNR->                                                                                                                                                                                                                                                                                                                                                      2       2
1411   SIGMA-HTH->ZF+TM->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                                                      2       2
1121   DUF1700-alpha-helical+TM+TM+TM->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                                        7       2
997    SIG+Toast-rack*->SIGMA-HTH->                                                                                                                                                                                                                                                                                                                                             7       2
936    PADR-HTH->PspC+LiaI-LiaF-TM*->                                                                                                                                                                                                                                                                                                                                           2       2
958    PspC+TM+TM*->SIG+TM+Toast-rack*->                                                                                                                                                                                                                                                                                                                                        2       2
1168   SIGMA-HTH->ZF+TM+TPR->SIG+Toast-rack*->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                                 9       2
1043   SIG+Toast-rack*->SIG+Toast-rack*->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                                      2       2
1985   <-pspF-NtrC-AAA+FIS-HTH||PspA*->PspB*->PspC+PspB*->                                                                                                                                                                                                                                                                                                                      2       2
1992   PspA*->PspB*->PspC*->                                                                                                                                                                                                                                                                                                                                                    2       2
1218   PADR-HTH->TM+TM+TM+TM->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                                                16       2
1056   SIG+Toast-rack*->REC+GerE-HTH->                                                                                                                                                                                                                                                                                                                                          2       2
127    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM*->                                                                                                                                                                                                                                                                                                                       15       2
2279   REC+GerE-HTH->SIG+HAMP+HISKIN->?->?->PspC*->                                                                                                                                                                                                                                                                                                                            11       2
2230   RHH->PspA*->                                                                                                                                                                                                                                                                                                                                                             2       2
802    PADR-HTH->DUF1700-alpha-helical*->                                                                                                                                                                                                                                                                                                                                       4       2
27     PADR-HTH->PspC+LiaI-LiaF-TM+Toast-rack*->                                                                                                                                                                                                                                                                                                                               13       2
2313   PspC*->SIG+TM+TM+TM->                                                                                                                                                                                                                                                                                                                                                   14       2
2250   Snf7*->Snf7->                                                                                                                                                                                                                                                                                                                                                            2       2
1863   Thioredoxin->PspA*->                                                                                                                                                                                                                                                                                                                                                    14       2
1136   SIG+PagL->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                                                             14       1
979    REC+GerE-HTH->PspC+LiaI-LiaF-TM+HISKIN*->||<-PspC+TM+TM+TM+TM*                                                                                                                                                                                                                                                                                                          14       1
2018   PspA*->PspB*->PspC+PspB*->Phageshock_PspD->?->?->pspF-NtrC-AAA+FIS-HTH->||<-Redoxin                                                                                                                                                                                                                                                                                     14       1
697    LiaI-LiaF-TM+Toast-rack*->REC+GerE-HTH->                                                                                                                                                                                                                                                                                                                                14       1
3      PADR-HTH->PspC+PspC+LiaI-LiaF-TM+Toast-rack+Toast-rack*->                                                                                                                                                                                                                                                                                                               13       1
646    PspC+LiaI-LiaF-TM+HISKIN*->REC+GerE-HTH->                                                                                                                                                                                                                                                                                                                               14       1
363    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack->                                                                                                                                                                                                                                                                                                             13       1
982    Toast-rack*->PspC+Toast-rack*->PspC*->SIG+TM+TM+TM->                                                                                                                                                                                                                                                                                                                    13       1
1620   Toast-rack*->PADR-HTH->||<-?<-?<-ADH_N+ADH_zinc_N                                                                                                                                                                                                                                                                                                                       15       1
1968   PspA*->PspB*->PspC+PspB*->SIG+PspB*->SIG+PspB*->SIG+PspB*->SIG+PspB*->                                                                                                                                                                                                                                                                                                  13       1
624    CesT_Tir-DUF2170->PspA*->SIG+TM+TM->SIG+Band_7+DUF5401->Betapropeller+AAA-ATPase*->PhospholipaseD->                                                                                                                                                                                                                                                                     12       1
1607   Toast-rack*->PspC*->SIG+TM+TM+TM->?->||<-?<-ISOCOT<-Amidohydro_1                                                                                                                                                                                                                                                                                                        12       1
2153   <-SIG+DUF1190<-SIG+TM+TM+TM<-DUF2491<-SIG+TM||CesT_Tir-DUF2170->PspA*->                                                                                                                                                                                                                                                                                                 12       1
2301   SIG+HAMP+HISKIN*->?->?->PspC*->                                                                                                                                                                                                                                                                                                                                         12       1
74     PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->                                                                                                                                                                                                                                                                          11       1
600    CesT_Tir->PspA*->SIG+TM+TM->SIG+Band_7+DUF5401->Betapropeller+AAA-ATPase*->                                                                                                                                                                                                                                                                                             11       1
2109   HTH->PspA*->PspM*->||<-?||?->DUF3046*->                                                                                                                                                                                                                                                                                                                                 11       1
798    Coiled-coil+Toast-rack*->?->SIG+TM+TM+TM->                                                                                                                                                                                                                                                                                                                              15       1
171    SIG+TM+TM+TM+TM+TM+TM->SIG+TM+TM+TM+TM+HISKIN->REC+GerE-HTH->DUF1707-SHOCT-bihelical+Toast-rack*->                                                                                                                                                                                                                                                                      10       1
523    SIG+LiaI-LiaF-TM*->PspA*->LiaI-LiaF-TM+Toast-rack*->SIG+TM+TM+TM+TM+HISKIN->REC+GerE-HTH->                                                                                                                                                                                                                                                                              10       1
822    SIG+TM+TM+Toast-rack*->SIG+TM+TM+TM+TM+HISKIN->REC+GerE-HTH->||<-SIG+TM+TM+TM+TM+TM+TM                                                                                                                                                                                                                                                                                  10       1
998    SIGMA-HTH->TM->SIG+Toast-rack*->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                                       10       1
1514   LiaI-LiaF-TM*->PspA*->PspC*->PspA*->SIG+TM+Toast-rack*->SIG+TM+TM+TM+TM+HISKIN->REC+GerE-HTH->                                                                                                                                                                                                                                                                          10       1
1825   HTH->||<-?||DUF3046*->                                                                                                                                                                                                                                                                                                                                                  16       1
1803   <-SIG+TM+TM+TM+TM+TM<-SIG+SBP_bac_5<-?<-?<-?<-?<-?||PspC+TM+TM*->LiaI-LiaF-TM+Toast-rack->                                                                                                                                                                                                                                                                              10       1
2068   PspA*->||<-?<-ABC-ATPase<-?||DUF3046*->                                                                                                                                                                                                                                                                                                                                 10       1
2341   SIG+TM+TM+TM+TM+TM+TM->PspC*->                                                                                                                                                                                                                                                                                                                                          10       1
352    ABC-ATPase->?->ABC-ATPase->?->||<-?||?->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->                                                                                                                                                                                                                                                                               9       1
566    DUF1707-SHOCT-bihelical+TM*->DUF1707-SHOCT-bihelical+TM*->                                                                                                                                                                                                                                                                                                               9       1
1209   SIG+TM+TM+TM+TM+HISKIN->REC+GerE-HTH->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                                 16       1
25     PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                        16       1
1216   SIG+TM+TM+TM->||<-?<-?<-?||LiaI-LiaF-TM->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                               9       1
1945   PspC*->PspA*->                                                                                                                                                                                                                                                                                                                                                           9       1
2011   PspA*->PspB*->PspC+PspB*->Phageshock_PspD->?->?->?->pspF-NtrC-AAA+FIS-HTH->                                                                                                                                                                                                                                                                                              9       1
2181   SIG+TM+TM+TM+TM+TM+TM+TM->TM+TM+TM+TM+TM+TM+TM->CesT_Tir-DUF2170->PspA*->                                                                                                                                                                                                                                                                                                9       1
2303   REC+GerE-HTH->SIG+HAMP+HISKIN*->?->?->PspC*->                                                                                                                                                                                                                                                                                                                            9       1
2336   sf+TM+TM->?->ABhydrolase->?->PspC*->                                                                                                                                                                                                                                                                                                                                     9       1
24     TM+TM+TM->PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*->SIG+Toast-rack*->                                                                                                                                                                                                                                                                               8       1
36     PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*->SIG+Toast-rack*->SIG+Toast-rack*->                                                                                                                                                                                                                                                                        8       1
185    DUF1707-SHOCT-bihelical+Toast-rack*->||<-?||Peptidase_M24->                                                                                                                                                                                                                                                                                                              8       1
244    NAD_binding_10->DUF1707-SHOCT-bihelical+Toast-rack*->                                                                                                                                                                                                                                                                                                                    8       1
371    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->PspC*->                                                                                                                                                                                                                                                                                                      8       1
535    <-CBS<-CBS<-?<-?||?->PspC+TM+TM+TM+TM+Toast-rack*->||<-PspC+LiaI-LiaF-TM+HISKIN*<-REC+GerE-HTH                                                                                                                                                                                                                                                                           8       1
808    REC+GerE-HTH->PspC+LiaI-LiaF-TM+HISKIN*->||<-PspC+TM+TM+Toast-rack*                                                                                                                                                                                                                                                                                                      8       1
1032   SIG+Toast-rack*->?->||<-SUA                                                                                                                                                                                                                                                                                                                                              8       1
1101   SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->?->||<-?||SIGMA-HTH->TM+TPR->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                     8       1
1174   REC+GerE-HTH->SIG+HISKIN->?->?->?->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                                     8       1
1251   SIG+Toast-rack*->?->||<-ISOCOT                                                                                                                                                                                                                                                                                                                                           8       1
1839   PspA->Psp-AA*->                                                                                                                                                                                                                                                                                                                                                          8       1
