ClustName	n
EP1(s)+RING+TM+SAM+TM(s)	1
EP1(s)+SidE+EP1	1
EP1(s)+TM	1
EP1(s)+TM(s)+35exo+GspA-ATPase	1
EP1(s)+TM(s)+BACTERIALFRINGE+TM(s)	1
EP1+A18	1
EP1+HINT	1
EP1+KH	1
EP1+MA	1
EP1+MA(s)+EP1+SFII-RAD3+MA+EP1+SIGMA-HTH+EP1+MA	1
EP1+PTSEIIA1	1
EP1+RIFIN	1
EP1+SGS	1
EP1+SH3(s)	1
EP1+SidE	1
EP1+SidE+EP1	1
EP1+SIGMA-HTH	1
EP1+Subtilisin	1
EP1+TM	1
EP1+TM(s)+PyocinS+ColE7	1
EP1+TM(s)+SIGMA-HTH+EP1(s)+TM(s)+PrsW+TM+EP1+HISKIN+TM(s)	1
EP1+Tox-DDRGK+EP1	1
EP1+TRANSGLUTAMINASE	1
EP1+VWA+TM	1
EP1+WW	1
FHA+SFII-RAD3	1
FN3+SidE	1
FYVE+SFII-RAD3(s)	1
GDResolvase+SidE	1
IG+NIT+EP1(s)	1
KELCH+EP1	1
KELCH+EP1+ZU5	1
LRR+MIP-T3	1
MA(s)+EP1	1
MA+DYN-MID-AAA+SidE+IMP	1
MA+SAM-methylase(s)	1
MATH(s)+EIIBC-GUT-N+EP1	1
MIP-T3	1
MIP-T3+EP1(s)	1
MIP-T3+TM(s)+RING+BBOX(s)	1
MIP-T3+TPR	1
MIP-T3+VirB5+PTSEIIA1	1
PAS(s)+HAMP+MA	1
PDZ+EP1	1
PDZ+EP1+DUF572+EP1	1
RHOD-CDC25+EP1+DUF874+WW+UBHYD	1
RnaseH+MA+EP1	1
SAM-methylase+MA	1
SbcC+EP1(s)+SbcC	1
SbcC+SidE(s)+SbcC	1
SbcC+SidE+SbcC	1
SbcC+SIGMA-HTH+SbcC	1
SFII-RAD3+MA	1
SFII-RAD3+PH	1
SidE+DUF572+TM	1
SidE+EP1(s)	1
SidE+MIP-T3+TM(s)	1
SIG+ANK+EP1+VirB5+EP1	1
SIG+CART+EP1+BetaPropeller	1
SIG+CR-Kinase+EP1	1
SIG+DHHC-ZNF+Tox-ODYAM1	1
SIG+DUF572+LINK	1
SIG+DYN-MID-AAA+EP1	1
SIG+EP1(s)+PP2C	1
SIG+EP1(s)+SLH	1
SIG+EP1(s)+TM	1
SIG+EP1+HECT+EP1(s)+TM(s)	1
SIG+EP1+LIM	1
SIG+EP1+MIP-T3	1
SIG+EP1+SIGMA-HTH+SLH	1
SIG+EP1+SLH	1
SIG+EP1+TM(s)+5TMR-LYT	1
SIG+EP1+TM+HISKIN	1
SIG+EP1+TPR(s)	1
SIG+FKBP+EP1	1
SIG+IG(s)+Nop52+EP1(s)	1
SIG+IMM+PEP-utilisers(s)-C+FHA+EP1+TM(s)+BetaPropeller+RING	1
SIG+KH(s)+MIP-T3	1
SIG+MA+TM(s)	1
SIG+NIT+MIP-T3+IG(s)	1
SIG+Ntox1	1
SIG+RRM+EP1(s)	1
SIG+SbcC+SIGMA-HTH+SidE+SbcC	1
SIG+SidE+CASPASE	1
SIG+SIGMA-HTH+MA+NIT	1
SIG+TM(s)+EP1(s)	1
SIG+TM(s)+EP1+RNA-Helicase	1
SIG+TM(s)+EP1+TM(s)	1
SIG+TM(s)+MA	1
SIG+TM(s)+MIP-T3	1
SIG+TM+CR-Kinase+PCC1+IWS1	1
SIG+TM+EP1+7TMR-HDED+DUF572	1
SIG+TM+EP1+VirB5+EP1(s)	1
SIG+TM+HAMP+MA	1
SIG+TM+IG+EP1	1
SIG+TPR+EP1(s)	1
SIG+VirB11+EP1(s)	1
SIG+VirB5+NLPC	1
SIG+WW(s)+EP1(s)	1
SIG+ZetaToxin+EP1	1
SIGMA-HTH	1
SMAD+TM(s)+EP1(s)+Nop52+EP1+7TMR-HDED+EP1(s)	1
Sulfotransfer+EP1	1
Sulfotransfer+EP1+MA+BACTERIALFRINGE	1
SUN(s)+EP1+MA+DISCOIDIN(s)	1
SWACOS+SidE(s)	1
TIR(s)+EP1+BetaPropeller	1
TM(s)+7TMR-DISM+TM(s)+EP1(s)	1
TM(s)+EP1+DUF572+EP1+SPX	1
TM(s)+EP1+Nop52+EP1	1
TM(s)+EP1+TM(s)+Lysozyme	1
TM(s)+MA+TM+PTSEIIA1	1
TM(s)+SIGMA-HTH	1
TM+BACTERIALFRINGE+TM(s)+EP1(s)	1
TM+CR-Kinase+DED+EP1	1
TM+EP1+SidE	1
TM+Phage-tail-tape+TM(s)+EP1	1
TM+TSP1+EP1	1
Tox-DDRGK	1
Tox-DDRGK+EP1+Ntox38	1
TPR(s)+MIP-T3+TPR(s)	1
