ClustName	n
SIG+TM(s)	2744
	344
EP1+SAM(s)	315
EP1	136
EP1(s)	126
EP1(s)+MA	108
SIG+TM	101
SIG+FHA+EP1+PH	55
SIG+EP1	41
SIG+SidE	28
CR-Kinase+SidE+EP1+C1+PH	24
TAMMBD+EP1+DDT+WHIM1+WHIM2(s)-3+PHD+BROMO	18
SIG+TM(s)+EP1	17
EP1+BetaPropeller	15
TM+MA+TM(s)	15
SIG+TM(s)+SidE	14
MA	13
Cluster66_1clades	12
Terminase-SS	12
FERM+EP1	9
SIG+EP1(s)	9
TM(s)+EP1	9
BZIP	8
Cluster83_1clades	8
SidE	8
ClpABN-AAA+EP1+ClpABC-AAA	7
DISCOIDIN+MA(s)	7
WXG+IG(s)+SH3+FN3(s)	7
SIG+Tox-DDRGK+EP1	6
SIG+WW+EP1(s)	6
TM	6
Cluster12_1clades	5
SIG+EP1+PTSEIIA1	5
SIG+Peptidase-S8	5
SIG+TM(s)+AMIN	5
SPX	5
TM(s)	5
Cluster239_1clades	4
CR-Kinase+EP1	4
EFHAND+EP1	4
FN3+SIGMA-HTH	4
SbcC+EP1+SbcC	4
SIG+EP1+RING	4
SIG+EP1+TM	4
SIG+TM+EP1+HISKIN+REC(s)	4
CR-Kinase+EP1+C1+PH	3
EP1+EP2+EP1	3
FERM(s)+FHA+PDZ+EP1+Tox-DDRGK	3
SidE+RNASEII	3
SIG+EP1(s)+SidE	3
SIG+EP1+TM(s)	3
SIG+SIGMA-HTH+TM(s)	3
VgrG+DUF2345	3
ASCH	2
BetaPropeller+EP1(s)	2
Cluster16_1clades	2
Cluster17_1clades	2
Cluster380_1clades	2
Cluster4_1clades	2
DUF572+EP1+MATH(s)	2
EFHAND(s)+EP1	2
EFHAND+EP1(s)+SH3(s)	2
EFHAND+EP1+Tox-DDRGK+SH3(s)+PH+C2	2
EFHAND+SIGMA-HTH+SH3(s)+PH+C2	2
EP1+CXC	2
FHA+EP1	2
PINT+DUF572	2
RING+EP1+CR-Kinase	2
RING+UBP-ZNF+EP1	2
SbcC+EP1	2
SbcC+SIGMA-HTH+SidE+SbcC	2
SidE+BetaPropeller	2
SidE+Phage-tail-tape	2
SIG+ApeA-NTD1+EP1	2
SIG+IG(s)+Phytase-like+SUN+TM(s)+EP1(s)	2
SIG+MA+BRCT	2
SIG+PAS(s)+SIGMA-HTH+MIP-T3	2
SIG+SIGMA-HTH+CW-binding-betahairpin(s)	2
SIGMA-HTH+SPX	2
WXG+TM(s)+SidE	2
ABC-ATPase(s)	1
ACET+EP1	1
APATPase+TPR(s)+EP1	1
BetaPropeller(s)+EP1	1
CASPASE+MIP-T3	1
CHASE3	1
CR-Kinase+EP1(s)	1
CR-Kinase+EP1(s)+C1+PH	1
CR-Kinase+MIP-T3	1
DEOR-HTH+SIGMA-HTH+EP1+TM	1
DHH	1
DNAJ+EP1+SIGMA-HTH+TM(s)	1
DNAJ+MIP-T3	1
EFHAND+EP1+SH3(s)+C2	1
EFHAND+EP1+SH3(s)+C2+TM	1
EP1(s)+DUF572	1
